country_code,year,value,indicator,indicator_cn,country_cn,country_en
ARE,2021,1.49469,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,阿联酋,United Arab Emirates
ARE,2020,1.48831,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,阿联酋,United Arab Emirates
ARE,2019,1.31065,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,阿联酋,United Arab Emirates
ARE,2018,1.26389,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,阿联酋,United Arab Emirates
ARE,2016,0.9318,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,阿联酋,United Arab Emirates
ARE,2015,0.8657,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,阿联酋,United Arab Emirates
CAN,2023,1.70133,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,加拿大,Canada
CAN,2022,1.71166,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,加拿大,Canada
CAN,2021,1.86431,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,加拿大,Canada
CAN,2020,1.93414,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,加拿大,Canada
CAN,2019,1.75578,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,加拿大,Canada
CAN,2018,1.7372,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,加拿大,Canada
CAN,2017,1.68702,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,加拿大,Canada
CAN,2016,1.72903,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,加拿大,Canada
CAN,2015,1.69359,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,加拿大,Canada
CHN,2022,2.55518,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,中国,China
CHN,2021,2.4326,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,中国,China
CHN,2020,2.40666,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,中国,China
CHN,2019,2.24463,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,中国,China
CHN,2018,2.14058,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,中国,China
CHN,2017,2.11603,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,中国,China
CHN,2016,2.10033,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,中国,China
CHN,2015,2.05701,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,中国,China
DEU,2022,3.13236,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,德国,Germany
DEU,2021,3.12882,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,德国,Germany
DEU,2020,3.13136,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,德国,Germany
DEU,2019,3.16701,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,德国,Germany
DEU,2018,3.11011,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,德国,Germany
DEU,2017,3.0471,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,德国,Germany
DEU,2016,2.94039,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,德国,Germany
DEU,2015,2.93379,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,德国,Germany
FRA,2022,2.23312,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,法国,France
FRA,2021,2.21808,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,法国,France
FRA,2020,2.27464,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,法国,France
FRA,2019,2.19179,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,法国,France
FRA,2018,2.19666,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,法国,France
FRA,2017,2.19888,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,法国,France
FRA,2016,2.22238,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,法国,France
FRA,2015,2.22702,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,法国,France
GBR,2021,2.89711,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,英国,United Kingdom
GBR,2020,2.93883,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,英国,United Kingdom
GBR,2019,2.6708,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,英国,United Kingdom
GBR,2018,2.71124,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,英国,United Kingdom
GBR,2017,2.32602,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,英国,United Kingdom
GBR,2016,2.32052,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,英国,United Kingdom
GBR,2015,2.27566,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,英国,United Kingdom
IND,2020,0.64558,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,印度,India
IND,2019,0.65942,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,印度,India
IND,2018,0.66001,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,印度,India
IND,2017,0.66603,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,印度,India
IND,2016,0.66984,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,印度,India
IND,2015,0.6931,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,印度,India
JPN,2022,3.40537,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,日本,Japan
JPN,2021,3.27677,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,日本,Japan
JPN,2020,3.26458,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,日本,Japan
JPN,2019,3.21824,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,日本,Japan
JPN,2018,3.2192,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,日本,Japan
JPN,2017,3.16636,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,日本,Japan
JPN,2016,3.10666,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,日本,Japan
JPN,2015,3.24071,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,日本,Japan
KOR,2022,5.21081,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,韩国,South Korea
KOR,2021,4.90988,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,韩国,South Korea
KOR,2020,4.79571,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,韩国,South Korea
KOR,2019,4.62703,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,韩国,South Korea
KOR,2018,4.51633,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,韩国,South Korea
KOR,2017,4.29206,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,韩国,South Korea
KOR,2016,3.98704,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,韩国,South Korea
KOR,2015,3.9782,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,韩国,South Korea
USA,2022,3.58623,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,美国,United States
USA,2021,3.48313,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,美国,United States
USA,2020,3.42467,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,美国,United States
USA,2019,3.14704,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,美国,United States
USA,2018,2.99045,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,美国,United States
USA,2017,2.88357,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,美国,United States
USA,2016,2.83676,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,美国,United States
USA,2015,2.77328,SDG_9.5.1,研发支出占GDP比例（SDG 9.5.1）,美国,United States
ARE,2021,2606.78477,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,阿联酋,United Arab Emirates
ARE,2020,2581.47405,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,阿联酋,United Arab Emirates
ARE,2019,2476.63113,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,阿联酋,United Arab Emirates
ARE,2018,2464.56964,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,阿联酋,United Arab Emirates
ARE,2016,2509.55341,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,阿联酋,United Arab Emirates
ARE,2015,2168.42732,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,阿联酋,United Arab Emirates
CAN,2021,5411.82682,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,加拿大,Canada
CAN,2020,5155.65021,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,加拿大,Canada
CAN,2019,4850.93689,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,加拿大,Canada
CAN,2018,4715.91861,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,加拿大,Canada
CAN,2017,4429.05796,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,加拿大,Canada
CAN,2016,4400.49278,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,加拿大,Canada
CAN,2015,4545.96875,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,加拿大,Canada
CHN,2022,1849.23669,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,中国,China
CHN,2021,1685.97511,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,中国,China
CHN,2020,1600.30633,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,中国,China
CHN,2019,1483.85803,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,中国,China
CHN,2018,1317.48914,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,中国,China
CHN,2017,1235.84935,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,中国,China
CHN,2016,1208.86205,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,中国,China
CHN,2015,1162.7108,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,中国,China
DEU,2022,5787.44181,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,德国,Germany
DEU,2021,5520.57631,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,德国,Germany
DEU,2020,5390.05249,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,德国,Germany
DEU,2019,5398.63462,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,德国,Germany
DEU,2018,5209.2143,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,德国,Germany
DEU,2017,5058.39528,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,德国,Germany
DEU,2016,4839.84645,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,德国,Germany
DEU,2015,4755.29531,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,德国,Germany
FRA,2022,5181.84576,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,法国,France
FRA,2021,5058.05374,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,法国,France
FRA,2020,4883.2219,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,法国,France
FRA,2019,4773.97249,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,法国,France
FRA,2018,4670.53241,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,法国,France
FRA,2017,4546.76212,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,法国,France
FRA,2016,4392.04699,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,法国,France
FRA,2015,4310.70957,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,法国,France
GBR,2017,4472.69458,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,英国,United Kingdom
GBR,2016,4434.65942,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,英国,United Kingdom
GBR,2015,4389.5625,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,英国,United Kingdom
IND,2020,259.26325,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,印度,India
IND,2018,250.00794,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,印度,India
IND,2015,214.34935,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,印度,India
JPN,2022,5629.79566,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,日本,Japan
JPN,2021,5589.76698,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,日本,Japan
JPN,2020,5450.44287,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,日本,Japan
JPN,2019,5376.11987,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,日本,Japan
JPN,2018,5339.51713,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,日本,Japan
JPN,2017,5319.83455,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,日本,Japan
JPN,2016,5232.70894,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,日本,Japan
JPN,2015,5198.48902,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,日本,Japan
KOR,2022,9434.7613,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,韩国,South Korea
KOR,2021,9071.4503,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,韩国,South Korea
KOR,2020,8620.009,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,韩国,South Korea
KOR,2019,8328.96727,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,韩国,South Korea
KOR,2018,7918.46916,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,韩国,South Korea
KOR,2017,7453.21918,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,韩国,South Korea
KOR,2016,7057.16003,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,韩国,South Korea
KOR,2015,7020.43916,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,韩国,South Korea
USA,2021,4825.1804,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,美国,United States
USA,2020,4464.09495,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,美国,United States
USA,2019,4265.92083,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,美国,United States
USA,2018,4226.79136,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,美国,United States
USA,2017,3931.60035,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,美国,United States
USA,2016,3809.11997,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,美国,United States
USA,2015,3858.04036,SDG_9.5.2,每百万人口科研人员数（SDG 9.5.2）,美国,United States
ARE,2021,2606.78477,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,阿联酋,United Arab Emirates
ARE,2020,2581.47405,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,阿联酋,United Arab Emirates
ARE,2019,2476.63113,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,阿联酋,United Arab Emirates
ARE,2018,2464.56964,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,阿联酋,United Arab Emirates
ARE,2016,2509.55341,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,阿联酋,United Arab Emirates
ARE,2015,2168.42732,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,阿联酋,United Arab Emirates
CAN,2021,5411.82682,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,加拿大,Canada
CAN,2020,5155.65021,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,加拿大,Canada
CAN,2019,4850.93689,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,加拿大,Canada
CAN,2018,4715.91861,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,加拿大,Canada
CAN,2017,4429.05796,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,加拿大,Canada
CAN,2016,4400.49278,RESEARCHERS_PER_MILLION,每百万人口科研人员数（FTE）,加拿大,Canada
