country_code,year,value,indicator
ARE,2021,2606.78477,SP.POP.SCIE.RD.P6
ARE,2020,2581.47405,SP.POP.SCIE.RD.P6
ARE,2019,2476.63113,SP.POP.SCIE.RD.P6
ARE,2018,2464.56964,SP.POP.SCIE.RD.P6
ARE,2016,2509.55341,SP.POP.SCIE.RD.P6
ARE,2015,2168.42732,SP.POP.SCIE.RD.P6
CAN,2021,5411.82682,SP.POP.SCIE.RD.P6
CAN,2020,5155.65021,SP.POP.SCIE.RD.P6
CAN,2019,4850.93689,SP.POP.SCIE.RD.P6
CAN,2018,4715.91861,SP.POP.SCIE.RD.P6
CAN,2017,4429.05796,SP.POP.SCIE.RD.P6
CAN,2016,4400.49278,SP.POP.SCIE.RD.P6
CAN,2015,4545.96875,SP.POP.SCIE.RD.P6
CHN,2022,1849.23669,SP.POP.SCIE.RD.P6
CHN,2021,1685.97511,SP.POP.SCIE.RD.P6
CHN,2020,1600.30633,SP.POP.SCIE.RD.P6
CHN,2019,1483.85803,SP.POP.SCIE.RD.P6
CHN,2018,1317.48914,SP.POP.SCIE.RD.P6
CHN,2017,1235.84935,SP.POP.SCIE.RD.P6
CHN,2016,1208.86205,SP.POP.SCIE.RD.P6
CHN,2015,1162.7108,SP.POP.SCIE.RD.P6
DEU,2022,5787.44181,SP.POP.SCIE.RD.P6
DEU,2021,5520.57631,SP.POP.SCIE.RD.P6
DEU,2020,5390.05249,SP.POP.SCIE.RD.P6
DEU,2019,5398.63462,SP.POP.SCIE.RD.P6
DEU,2018,5209.2143,SP.POP.SCIE.RD.P6
DEU,2017,5058.39528,SP.POP.SCIE.RD.P6
DEU,2016,4839.84645,SP.POP.SCIE.RD.P6
DEU,2015,4755.29531,SP.POP.SCIE.RD.P6
FRA,2022,5181.84576,SP.POP.SCIE.RD.P6
FRA,2021,5058.05374,SP.POP.SCIE.RD.P6
FRA,2020,4883.2219,SP.POP.SCIE.RD.P6
FRA,2019,4773.97249,SP.POP.SCIE.RD.P6
FRA,2018,4670.53241,SP.POP.SCIE.RD.P6
FRA,2017,4546.76212,SP.POP.SCIE.RD.P6
FRA,2016,4392.04699,SP.POP.SCIE.RD.P6
FRA,2015,4310.70957,SP.POP.SCIE.RD.P6
GBR,2017,4472.69458,SP.POP.SCIE.RD.P6
GBR,2016,4434.65942,SP.POP.SCIE.RD.P6
GBR,2015,4389.5625,SP.POP.SCIE.RD.P6
IND,2020,259.26325,SP.POP.SCIE.RD.P6
IND,2018,250.00794,SP.POP.SCIE.RD.P6
IND,2015,214.34935,SP.POP.SCIE.RD.P6
JPN,2022,5629.79566,SP.POP.SCIE.RD.P6
JPN,2021,5589.76698,SP.POP.SCIE.RD.P6
JPN,2020,5450.44287,SP.POP.SCIE.RD.P6
JPN,2019,5376.11987,SP.POP.SCIE.RD.P6
JPN,2018,5339.51713,SP.POP.SCIE.RD.P6
JPN,2017,5319.83455,SP.POP.SCIE.RD.P6
JPN,2016,5232.70894,SP.POP.SCIE.RD.P6
JPN,2015,5198.48902,SP.POP.SCIE.RD.P6
KOR,2022,9434.7613,SP.POP.SCIE.RD.P6
KOR,2021,9071.4503,SP.POP.SCIE.RD.P6
KOR,2020,8620.009,SP.POP.SCIE.RD.P6
KOR,2019,8328.96727,SP.POP.SCIE.RD.P6
KOR,2018,7918.46916,SP.POP.SCIE.RD.P6
KOR,2017,7453.21918,SP.POP.SCIE.RD.P6
KOR,2016,7057.16003,SP.POP.SCIE.RD.P6
KOR,2015,7020.43916,SP.POP.SCIE.RD.P6
USA,2021,4825.1804,SP.POP.SCIE.RD.P6
USA,2020,4464.09495,SP.POP.SCIE.RD.P6
USA,2019,4265.92083,SP.POP.SCIE.RD.P6
USA,2018,4226.79136,SP.POP.SCIE.RD.P6
USA,2017,3931.60035,SP.POP.SCIE.RD.P6
USA,2016,3809.11997,SP.POP.SCIE.RD.P6
USA,2015,3858.04036,SP.POP.SCIE.RD.P6
