country_code,year,value,indicator
ARE,2021,1.49469,GB.XPD.RSDV.GD.ZS
ARE,2020,1.48831,GB.XPD.RSDV.GD.ZS
ARE,2019,1.31065,GB.XPD.RSDV.GD.ZS
ARE,2018,1.26389,GB.XPD.RSDV.GD.ZS
ARE,2016,0.9318,GB.XPD.RSDV.GD.ZS
ARE,2015,0.8657,GB.XPD.RSDV.GD.ZS
CAN,2023,1.70133,GB.XPD.RSDV.GD.ZS
CAN,2022,1.71166,GB.XPD.RSDV.GD.ZS
CAN,2021,1.86431,GB.XPD.RSDV.GD.ZS
CAN,2020,1.93414,GB.XPD.RSDV.GD.ZS
CAN,2019,1.75578,GB.XPD.RSDV.GD.ZS
CAN,2018,1.7372,GB.XPD.RSDV.GD.ZS
CAN,2017,1.68702,GB.XPD.RSDV.GD.ZS
CAN,2016,1.72903,GB.XPD.RSDV.GD.ZS
CAN,2015,1.69359,GB.XPD.RSDV.GD.ZS
CHN,2022,2.55518,GB.XPD.RSDV.GD.ZS
CHN,2021,2.4326,GB.XPD.RSDV.GD.ZS
CHN,2020,2.40666,GB.XPD.RSDV.GD.ZS
CHN,2019,2.24463,GB.XPD.RSDV.GD.ZS
CHN,2018,2.14058,GB.XPD.RSDV.GD.ZS
CHN,2017,2.11603,GB.XPD.RSDV.GD.ZS
CHN,2016,2.10033,GB.XPD.RSDV.GD.ZS
CHN,2015,2.05701,GB.XPD.RSDV.GD.ZS
DEU,2022,3.13236,GB.XPD.RSDV.GD.ZS
DEU,2021,3.12882,GB.XPD.RSDV.GD.ZS
DEU,2020,3.13136,GB.XPD.RSDV.GD.ZS
DEU,2019,3.16701,GB.XPD.RSDV.GD.ZS
DEU,2018,3.11011,GB.XPD.RSDV.GD.ZS
DEU,2017,3.0471,GB.XPD.RSDV.GD.ZS
DEU,2016,2.94039,GB.XPD.RSDV.GD.ZS
DEU,2015,2.93379,GB.XPD.RSDV.GD.ZS
FRA,2022,2.23312,GB.XPD.RSDV.GD.ZS
FRA,2021,2.21808,GB.XPD.RSDV.GD.ZS
FRA,2020,2.27464,GB.XPD.RSDV.GD.ZS
FRA,2019,2.19179,GB.XPD.RSDV.GD.ZS
FRA,2018,2.19666,GB.XPD.RSDV.GD.ZS
FRA,2017,2.19888,GB.XPD.RSDV.GD.ZS
FRA,2016,2.22238,GB.XPD.RSDV.GD.ZS
FRA,2015,2.22702,GB.XPD.RSDV.GD.ZS
GBR,2021,2.89711,GB.XPD.RSDV.GD.ZS
GBR,2020,2.93883,GB.XPD.RSDV.GD.ZS
GBR,2019,2.6708,GB.XPD.RSDV.GD.ZS
GBR,2018,2.71124,GB.XPD.RSDV.GD.ZS
GBR,2017,2.32602,GB.XPD.RSDV.GD.ZS
GBR,2016,2.32052,GB.XPD.RSDV.GD.ZS
GBR,2015,2.27566,GB.XPD.RSDV.GD.ZS
IND,2020,0.64558,GB.XPD.RSDV.GD.ZS
IND,2019,0.65942,GB.XPD.RSDV.GD.ZS
IND,2018,0.66001,GB.XPD.RSDV.GD.ZS
IND,2017,0.66603,GB.XPD.RSDV.GD.ZS
IND,2016,0.66984,GB.XPD.RSDV.GD.ZS
IND,2015,0.6931,GB.XPD.RSDV.GD.ZS
JPN,2022,3.40537,GB.XPD.RSDV.GD.ZS
JPN,2021,3.27677,GB.XPD.RSDV.GD.ZS
JPN,2020,3.26458,GB.XPD.RSDV.GD.ZS
JPN,2019,3.21824,GB.XPD.RSDV.GD.ZS
JPN,2018,3.2192,GB.XPD.RSDV.GD.ZS
JPN,2017,3.16636,GB.XPD.RSDV.GD.ZS
JPN,2016,3.10666,GB.XPD.RSDV.GD.ZS
JPN,2015,3.24071,GB.XPD.RSDV.GD.ZS
KOR,2022,5.21081,GB.XPD.RSDV.GD.ZS
KOR,2021,4.90988,GB.XPD.RSDV.GD.ZS
KOR,2020,4.79571,GB.XPD.RSDV.GD.ZS
KOR,2019,4.62703,GB.XPD.RSDV.GD.ZS
KOR,2018,4.51633,GB.XPD.RSDV.GD.ZS
KOR,2017,4.29206,GB.XPD.RSDV.GD.ZS
KOR,2016,3.98704,GB.XPD.RSDV.GD.ZS
KOR,2015,3.9782,GB.XPD.RSDV.GD.ZS
USA,2022,3.58623,GB.XPD.RSDV.GD.ZS
USA,2021,3.48313,GB.XPD.RSDV.GD.ZS
USA,2020,3.42467,GB.XPD.RSDV.GD.ZS
USA,2019,3.14704,GB.XPD.RSDV.GD.ZS
USA,2018,2.99045,GB.XPD.RSDV.GD.ZS
USA,2017,2.88357,GB.XPD.RSDV.GD.ZS
USA,2016,2.83676,GB.XPD.RSDV.GD.ZS
USA,2015,2.77328,GB.XPD.RSDV.GD.ZS
