country_code,country_cn,country_en,year,rd_expenditure_pct_gdp,researchers_per_million,technicians_per_million,tertiary_gross_enrollment_pct,education_expenditure_pct_gdp,population_total,pop_15_64_pct,stem_graduates_pct,tertiary_completion_25_34_pct
ARE,阿联酋,United Arab Emirates,2015,0.8657,2168.42732,,,,8505237.0,81.6642098864586,,
ARE,阿联酋,United Arab Emirates,2016,0.9318,2509.55341,,,,8935095.0,81.7037621944191,,
ARE,阿联酋,United Arab Emirates,2017,,,,,,9223225.0,81.7573549214794,,
ARE,阿联酋,United Arab Emirates,2018,1.26389,2464.56964,889.5377,53.2113281680102,,9346701.0,81.7897488678028,,
ARE,阿联酋,United Arab Emirates,2019,1.305325,2476.63113,,53.8814655213653,3.86020994186401,9445785.0,81.8226037478217,,
ARE,阿联酋,United Arab Emirates,2020,1.48831,2581.47405,,54.9746998074699,3.98417997360229,9401038.0,81.8563407363944,,
ARE,阿联酋,United Arab Emirates,2021,1.49469,2606.78477,,56.4520334436146,3.89403009414673,9575152.0,81.87240475274,,
ARE,阿联酋,United Arab Emirates,2022,,,,60.4188226013954,,10074977.0,81.8846579747203,,
ARE,阿联酋,United Arab Emirates,2023,,,,61.3456114422447,,10483751.0,81.9654257470884,,
ARE,阿联酋,United Arab Emirates,2024,,,,63.7384451086316,,10986400.0,82.1220600575181,,
CAN,加拿大,Canada,2015,1.69359,4545.96875,1455.58808,67.2690963745117,4.7393798828125,35704498.0,67.7571212622664,,
CAN,加拿大,Canada,2016,1.72903,4400.49278,1247.83745,69.2459411621094,4.81642007827759,36110803.0,67.3902081027321,,
CAN,加拿大,Canada,2017,1.68702,4429.05796,1268.37307,70.2687072753906,4.95996999740601,36545075.0,67.0699290855306,,
CAN,加拿大,Canada,2018,1.7372,4715.91861,,69.3507232666016,4.8889799118042,37072620.0,66.7853309042324,,
CAN,加拿大,Canada,2019,1.75578,4850.93689,,73.1128768920898,4.77293014526367,37618495.0,66.4846890068848,,
CAN,加拿大,Canada,2020,1.93414,5155.65021,,75.2389068603516,4.88794994354248,38028638.0,66.1382867429556,,
CAN,加拿大,Canada,2021,1.777155,5411.82682,,79.7657318115234,4.74860000610352,38239864.0,65.7746528539238,24.0,
CAN,加拿大,Canada,2022,1.71166,,,78.8984985351562,4.88021993637085,38935934.0,65.5113452142292,,66.0
CAN,加拿大,Canada,2023,1.70133,,,76.2586212158203,,40083484.0,65.3373373940366,,
CAN,加拿大,Canada,2024,,,,,,41288599.0,65.0890886641808,,
CHN,中国,China,2015,2.05701,1162.7108,,47.1192619330726,,1379860000.0,71.6284345359877,,
CHN,中国,China,2016,2.10033,1208.86205,,49.309077375597,,1387790000.0,71.2044525051679,,
CHN,中国,China,2017,2.11603,1235.84935,,51.0678812273407,,1396215000.0,70.6659121055216,,
CHN,中国,China,2018,2.14058,1317.48914,,53.3987984572814,,1402760000.0,70.1553162360731,,
CHN,中国,China,2019,2.24463,1483.85803,,56.6050917923292,,1407745000.0,69.74115264804,,
CHN,中国,China,2020,2.40666,1600.30633,,61.6124675996947,,1411100000.0,69.3999249325134,35.0,
CHN,中国,China,2021,2.4313000000000002,1685.97511,,66.8186077597542,,1412360000.0,69.2124049434275,,
CHN,中国,China,2022,2.55518,1849.23669,,71.5799465086024,,1412175000.0,69.0962698960779,,
CHN,中国,China,2023,,,,74.5933014618366,4.00127983093262,1410710000.0,69.0943118083391,,
CHN,中国,China,2024,,,,76.8757843123403,,1408975000.0,69.3269188307508,,
DEU,德国,Germany,2015,2.93379,4755.29531,1909.85383,68.23291015625,4.76157999038696,81686611.0,65.7365353514053,,
DEU,德国,Germany,2016,2.94039,4839.84645,1945.70514,67.9464111328125,4.74631023406982,82348669.0,65.5385099359924,,
DEU,德国,Germany,2017,3.0471,5058.39528,2006.65327,68.4692306518555,4.77830982208252,82657002.0,65.2493405041228,,
DEU,德国,Germany,2018,3.11011,5209.2143,,69.1634292602539,4.88400983810425,82905782.0,64.9876223341919,,
DEU,德国,Germany,2019,3.16701,5398.63462,,72.705078125,5.02757978439331,83092962.0,64.709009583285,,
DEU,德国,Germany,2020,3.13136,5390.05249,,72.3894195556641,5.51600980758667,83160871.0,64.3935455490144,,
DEU,德国,Germany,2021,3.12941,5520.57631,,75.6655426025391,5.36734008789062,83196078.0,64.007731691245,35.0,
DEU,德国,Germany,2022,3.13236,5787.44181,,77.3656997680664,5.23916006088257,83177813.0,63.6285624993021,,37.0
DEU,德国,Germany,2023,,,,78.5947494506836,,83287273.0,63.2943857808214,,
DEU,德国,Germany,2024,,,,,,83516593.0,62.8942524078782,,
FRA,法国,France,2015,2.22702,4310.70957,1798.3546,62.7859306335449,,66548272.0,62.9034115542196,,
FRA,法国,France,2016,2.22238,4392.04699,1804.90705,64.7276763916016,,66724104.0,62.632173096763,,
FRA,法国,France,2017,2.19888,4546.76212,1805.54395,65.8022308349609,5.46482992172241,66918020.0,62.3980765439097,,
FRA,法国,France,2018,2.19666,4670.53241,,67.5435180664062,5.42540979385376,67158348.0,62.1793955597294,,
FRA,法国,France,2019,2.19179,4773.97249,,67.7331314086914,5.36638021469116,67382061.0,61.9811666181521,,
FRA,法国,France,2020,2.27464,4883.2219,,68.8709411621094,5.65872001647949,67601110.0,61.8134010588151,,
FRA,法国,France,2021,2.21404,5058.05374,,69.9397888183594,5.41742992401123,67842811.0,61.7040398746753,27.0,
FRA,法国,France,2022,2.23312,5181.84576,,71.5107269287109,5.32435989379883,68184457.0,61.5912351189772,,51.0
FRA,法国,France,2023,,,,70.4536437988281,,68372286.0,61.4660792751563,,
FRA,法国,France,2024,,,,,,68551653.0,61.3483170751607,,
GBR,英国,United Kingdom,2015,2.27566,4389.5625,1349.98182,56.4859008789062,5.55452013015747,65088000.0,64.349417600625,,
GBR,英国,United Kingdom,2016,2.32052,4434.65942,1305.4251,58.110481262207,5.42795991897583,65607000.0,64.1335648731091,,
GBR,英国,United Kingdom,2017,2.32602,4472.69458,,59.6335182189941,5.45256996154785,65966000.0,63.9059468954247,,
GBR,英国,United Kingdom,2018,2.71124,,,61.1251182556152,5.20437002182007,66289000.0,63.6924638374832,,
GBR,英国,United Kingdom,2019,2.6708,,,65.4840774536133,5.26115989685059,66631000.0,63.5198822523142,,
GBR,英国,United Kingdom,2020,2.93883,,,69.3701629638672,5.43935012817383,66744000.0,63.4278786786019,,
GBR,英国,United Kingdom,2021,2.913555,,,76.7174911499023,5.90682983398438,66984000.0,63.4465589396069,27.0,
GBR,英国,United Kingdom,2022,,,,79.7250823974609,,67604000.0,63.4404279110136,,57.0
GBR,英国,United Kingdom,2023,,,,80.4987716674805,,68492000.0,63.3527288517877,,
GBR,英国,United Kingdom,2024,,,,,,69226000.0,63.3151859345352,,
IND,印度,India,2015,0.6931,214.34935,95.54919,27.0646411471569,4.11457014083862,1328024498.0,65.6177857140772,,
IND,印度,India,2016,0.66984,,,27.0875990028504,4.25407981872559,1343944296.0,65.9731160836743,,
IND,印度,India,2017,0.66603,,,27.7311089156625,4.30544996261597,1359657400.0,66.3274225183491,,
IND,印度,India,2018,0.66001,250.00794,73.05997,28.3540737878038,4.36373996734619,1374659064.0,66.6529850197096,,
IND,印度,India,2019,0.65942,,,28.7996949674505,3.89732003211975,1389030312.0,66.944203338595,,
IND,印度,India,2020,0.6477900000000001,259.26325,,29.5619706114824,4.29335021972656,1402617695.0,67.2377729174314,32.0,
IND,印度,India,2021,,,,31.3171017843903,4.62949991226196,1414203896.0,67.5490478920304,,
IND,印度,India,2022,,,,32.4539938196142,4.09865814174589,1425423212.0,67.8132963616236,,
IND,印度,India,2023,,,,34.0091701770575,,1438069596.0,68.0210944742065,,
IND,印度,India,2024,,,,34.4184659748952,,1450935791.0,68.2295801537644,,
JPN,日本,Japan,2015,3.24071,5198.48902,521.95125,62.4726600646973,3.31221008300781,127141000.0,60.2326202870854,,
JPN,日本,Japan,2016,3.10666,5232.70894,502.55447,63.1872291564941,3.14643001556396,127076000.0,59.7647226208824,,
JPN,日本,Japan,2017,3.16636,5319.83455,520.66338,62.4629783630371,3.13057994842529,126972000.0,59.4143459524436,,
JPN,日本,Japan,2018,3.2192,5339.51713,524.29128,62.2089385986328,3.07782006263733,126811000.0,59.1635617451289,,
JPN,日本,Japan,2019,3.21824,5376.11987,,62.1184997558594,3.15533995628357,126633000.0,59.0046702146202,,
JPN,日本,Japan,2020,3.26458,5450.44287,,62.1358413696289,3.30628991127014,126261000.0,58.861072796091,,
JPN,日本,Japan,2021,3.288385,5589.76698,,63.1702690124512,3.33563995361328,125681593.0,58.7347384818338,22.0,
JPN,日本,Japan,2022,3.40537,5629.79566,,64.6288299560547,,125124989.0,58.7384165155584,,66.0
JPN,日本,Japan,2023,,,,64.8912200927734,,124516650.0,58.7888993029413,,
JPN,日本,Japan,2024,,,,,,123975371.0,58.7831280041029,,
KOR,韩国,"Korea, Rep.",2015,3.9782,7020.43916,1212.13441,93.9676513671875,4.45423984527588,51014947.0,73.2814791976092,,
KOR,韩国,"Korea, Rep.",2016,3.98704,7057.16003,1227.80109,93.6577224731445,4.33309984207153,51217803.0,73.2815119171004,,
KOR,韩国,"Korea, Rep.",2017,4.29206,7453.21918,1251.10685,93.7230224609375,4.32823991775513,51361911.0,73.1104702951829,,
KOR,韩国,"Korea, Rep.",2018,4.51633,7918.46916,1311.43521,93.3281784057617,4.45807981491089,51585058.0,72.8334079576546,,
KOR,韩国,"Korea, Rep.",2019,4.62703,8328.96727,,93.9989166259766,4.68465995788574,51764822.0,72.5261052970989,,
