序号,Institution,Country/Region,Count（Geometric mean count of papers published across all areas）,Faculty（Number of faculty who have published in these areas）
1,Carnegie Mellon University,United States,7.5,45
2,Tsinghua University,China,6.4,46
3,Peking University,China,4.9,41
4,Stanford University,United States,4.7,28
5,Massachusetts Inst. of Technology,United States,4.6,34
5,Univ. of Illinois at Urbana-Champaign,United States,4.6,27
7,Univ. of California - Berkeley,United States,4.4,31
8,Cornell University,United States,4.1,30
8,Nanyang Technological University,Singapore,4.1,25
10,Chinese Academy of Sciences,China,4.0,31
11,Univ. of California - San Diego,United States,3.9,24
12,Technion,Israel,3.7,27
13,National University of Singapore,Singapore,3.6,20
14,Chinese University of Hong Kong,Hong Kong,3.5,17
14,Univ. of Maryland - College Park,United States,3.5,19
16,MBZUAI,United Arab Emirates,3.4,19
16,University of Edinburgh,United Kingdom,3.4,20
16,University of Pennsylvania,United States,3.4,17
16,University of Washington,United States,3.4,19
20,Nanjing University,China,3.3,29
20,University of Texas at Austin,United States,3.3,17
22,HKUST,Hong Kong,3.2,16
22,Johns Hopkins University,United States,3.2,14
24,ETH Zurich,Switzerland,3.1,12
25,New York University,United States,3.0,20
25,University of Amsterdam,Netherlands,3.0,16
27,Georgia Institute of Technology,United States,2.9,23
27,KAIST,South Korea,2.9,26
29,Hebrew University of Jerusalem,Israel,2.8,14
29,Imperial College London,United Kingdom,2.8,14
29,Northeastern University,United States,2.8,15
29,University of Cambridge,United Kingdom,2.8,19
33,Columbia University,United States,2.7,13
33,EPFL,Switzerland,2.7,20
33,Fudan University,China,2.7,19
33,Max Planck Society,Germany,2.7,15
33,Shanghai Jiao Tong University,China,2.7,24
33,Univ. of Massachusetts Amherst,United States,2.7,17
39,University of Alberta,Canada,2.6,17
39,University of Michigan,United States,2.6,15
41,University of Illinois at Chicago,United States,2.5,11
42,Harvard University,United States,2.4,14
42,Renmin University of China,China,2.4,19
42,Rutgers University,United States,2.4,12
42,Seoul National University,South Korea,2.4,20
42,Univ. of California - Los Angeles,United States,2.4,14
42,University of Waterloo,Canada,2.4,14
42,University of Wisconsin - Madison,United States,2.4,12
49,Australian National University,Australia,2.3,13
49,Harbin Institute of Technology,China,2.3,15
49,Northwestern University,United States,2.3,11
49,Princeton University,United States,2.3,13
49,University of North Carolina,United States,2.3,6
49,University of Tokyo,Japan,2.3,15
49,Westlake University,China,2.3,5
49,Zhejiang University,China,2.3,23
57,Boston University,United States,2.2,9
57,Pennsylvania State University,United States,2.2,16
57,USTC,China,2.2,22
57,University of British Columbia,Canada,2.2,14
57,University of Melbourne,Australia,2.2,16
62,Arizona State University,United States,2.1,11
62,Heidelberg University,Germany,2.1,9
62,KAUST,Saudi Arabia,2.1,9
62,Oregon State University,United States,2.1,10
62,Sapienza University of Rome,Italy,2.1,13
62,ShanghaiTech University,China,2.1,8
62,TU Darmstadt,Germany,2.1,8
62,TU Munich,Germany,2.1,11
70,Brown University,United States,2.0,12
70,Duke University,United States,2.0,14
70,University of Toronto,Canada,2.0,15
73,Adelaide University,Australia,1.9,12
73,Czech Technical University,Czech Republic,1.9,10
73,King's College London,United Kingdom,1.9,9
73,Sun Yat-sen University,China,1.9,10
73,Tel Aviv University,Israel,1.9,10
73,Univ. of California - Davis,United States,1.9,8
73,University College London,United Kingdom,1.9,13
73,University of Arizona,United States,1.9,9
73,University of Montreal,Canada,1.9,8
73,University of Oxford,United Kingdom,1.9,7
73,University of Southern California,United States,1.9,14
84,Ben-Gurion University of the Negev,Israel,1.8,9
84,Kyoto University,Japan,1.8,7
84,Monash University,Australia,1.8,10
84,NWPU,China,1.8,5
84,National Inst. of Informatics,Japan,1.8,9
84,Purdue University,United States,1.8,12
84,Rice University,United States,1.8,8
84,Singapore Management University,Singapore,1.8,11
84,Univ. of California - Irvine,United States,1.8,10
84,University at Buffalo,United States,1.8,7
84,University of Colorado Boulder,United States,1.8,9
84,University of Copenhagen,Denmark,1.8,7
84,Washington University in St. Louis,United States,1.8,8
97,Bar-Ilan University,Israel,1.7,6
97,CUHK (SZ),China,1.7,8
