ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),All works,Article,600.2500006437301,2000
All AI research,CHN,China (People's Republic of),All works,Article,800.5000011493762,2001
All AI research,CHN,China (People's Republic of),All works,Article,3104.530954575539,2002
All AI research,CHN,China (People's Republic of),All works,Article,2779.383337671559,2003
All AI research,CHN,China (People's Republic of),All works,Article,3809.9222241212915,2004
All AI research,CHN,China (People's Republic of),All works,Article,5681.621432242295,2005
All AI research,CHN,China (People's Republic of),All works,Article,7992.751591336727,2006
All AI research,CHN,China (People's Republic of),All works,Article,9077.978117012055,2007
All AI research,CHN,China (People's Republic of),All works,Article,11660.075509734079,2008
All AI research,CHN,China (People's Republic of),All works,Article,12505.887184936802,2009
All AI research,CHN,China (People's Republic of),All works,Article,13653.68385148977,2010
All AI research,CHN,China (People's Republic of),All works,Article,11577.792466286319,2011
All AI research,CHN,China (People's Republic of),All works,Article,10076.406174974996,2012
All AI research,CHN,China (People's Republic of),All works,Article,9075.5002071628,2013
All AI research,CHN,China (People's Republic of),All works,Article,8582.520647488038,2014
All AI research,CHN,China (People's Republic of),All works,Article,7500.311286597257,2015
All AI research,CHN,China (People's Republic of),All works,Article,7055.57413787324,2016
All AI research,CHN,China (People's Republic of),All works,Article,8230.998296065025,2017
All AI research,CHN,China (People's Republic of),All works,Article,11642.319927904942,2018
All AI research,CHN,China (People's Republic of),All works,Article,15308.69660401231,2019
All AI research,CHN,China (People's Republic of),All works,Article,18433.479426307735,2020
All AI research,CHN,China (People's Republic of),All works,Article,24680.660772152456,2021
All AI research,CHN,China (People's Republic of),All works,Article,30423.209270878157,2022
All AI research,CHN,China (People's Republic of),All works,Article,32465.31302173414,2023
All AI research,CHN,China (People's Republic of),All works,Article,30183.31043824793,2024
All AI research,CHN,China (People's Republic of),All works,Article,15396.958026048862,2025
All AI research,USA,United States,All works,Article,3133.31861759805,2000
All AI research,USA,United States,All works,Article,2887.3277825742966,2001
All AI research,USA,United States,All works,Article,13893.3486410695,2002
All AI research,USA,United States,All works,Article,7946.251778243337,2003
All AI research,USA,United States,All works,Article,5244.205201199272,2004
All AI research,USA,United States,All works,Article,7268.6696071986635,2005
All AI research,USA,United States,All works,Article,6395.574144968579,2006
All AI research,USA,United States,All works,Article,5633.312851767057,2007
All AI research,USA,United States,All works,Article,5882.0445002881925,2008
All AI research,USA,United States,All works,Article,6070.021596450173,2009
All AI research,USA,United States,All works,Article,6602.41534527764,2010
All AI research,USA,United States,All works,Article,6258.396887613259,2011
All AI research,USA,United States,All works,Article,6046.483995054638,2012
All AI research,USA,United States,All works,Article,6018.031714173974,2013
All AI research,USA,United States,All works,Article,6105.386455797234,2014
All AI research,USA,United States,All works,Article,6369.272603932192,2015
All AI research,USA,United States,All works,Article,6623.345928522815,2016
All AI research,USA,United States,All works,Article,7390.511363213372,2017
