ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),All works,Article,5.573351901828589,2000
All AI research,CHN,China (People's Republic of),All works,Article,8.000199877964862,2001
All AI research,CHN,China (People's Republic of),All works,Article,6.951479961104933,2002
All AI research,CHN,China (People's Republic of),All works,Article,10.662050537144967,2003
All AI research,CHN,China (People's Republic of),All works,Article,16.858062916253683,2004
All AI research,CHN,China (People's Republic of),All works,Article,19.109449159318338,2005
All AI research,CHN,China (People's Republic of),All works,Article,24.958629710631733,2006
All AI research,CHN,China (People's Republic of),All works,Article,29.152145482826977,2007
All AI research,CHN,China (People's Republic of),All works,Article,31.62997908733151,2008
All AI research,CHN,China (People's Republic of),All works,Article,33.232055598746754,2009
All AI research,CHN,China (People's Republic of),All works,Article,31.944419599381558,2010
All AI research,CHN,China (People's Republic of),All works,Article,29.759902436070234,2011
All AI research,CHN,China (People's Republic of),All works,Article,25.579828782267047,2012
All AI research,CHN,China (People's Republic of),All works,Article,23.134081534322792,2013
All AI research,CHN,China (People's Republic of),All works,Article,21.210262518595314,2014
All AI research,CHN,China (People's Republic of),All works,Article,18.39393581008899,2015
All AI research,CHN,China (People's Republic of),All works,Article,16.646786799044186,2016
All AI research,CHN,China (People's Republic of),All works,Article,17.762955393052994,2017
All AI research,CHN,China (People's Republic of),All works,Article,20.38935182242442,2018
All AI research,CHN,China (People's Republic of),All works,Article,23.10118994186598,2019
All AI research,CHN,China (People's Republic of),All works,Article,24.29037444065088,2020
All AI research,CHN,China (People's Republic of),All works,Article,26.959257083831897,2021
All AI research,CHN,China (People's Republic of),All works,Article,31.865438913708,2022
All AI research,CHN,China (People's Republic of),All works,Article,31.355334060624525,2023
All AI research,CHN,China (People's Republic of),All works,Article,34.697448339451945,2024
All AI research,CHN,China (People's Republic of),All works,Article,36.34787051675955,2025
All AI research,USA,United States,All works,Article,29.09302333643809,2000
All AI research,USA,United States,All works,Article,28.855964198162503,2001
All AI research,USA,United States,All works,Article,31.109155000918236,2002
All AI research,USA,United States,All works,Article,30.48278259863423,2003
All AI research,USA,United States,All works,Article,23.204447762172386,2004
All AI research,USA,United States,All works,Article,24.447294486466202,2005
All AI research,USA,United States,All works,Article,19.97119077792644,2006
All AI research,USA,United States,All works,Article,18.090278880188016,2007
All AI research,USA,United States,All works,Article,15.956066869339844,2008
All AI research,USA,United States,All works,Article,16.12994681591197,2009
All AI research,USA,United States,All works,Article,15.447137084247919,2010
All AI research,USA,United States,All works,Article,16.086769677718827,2011
All AI research,USA,United States,All works,Article,15.34952270109333,2012
All AI research,USA,United States,All works,Article,15.340381595932419,2013
All AI research,USA,United States,All works,Article,15.088440194179686,2014
All AI research,USA,United States,All works,Article,15.620150545356694,2015
All AI research,USA,United States,All works,Article,15.626995821160985,2016
All AI research,USA,United States,All works,Article,15.949137510983311,2017
All AI research,USA,United States,All works,Article,16.99071214085823,2018
All AI research,USA,United States,All works,Article,15.917334798321498,2019
All AI research,USA,United States,All works,Article,15.842070353486017,2020
All AI research,USA,United States,All works,Article,15.50675200425821,2021
All AI research,USA,United States,All works,Article,12.27652417016372,2022
All AI research,USA,United States,All works,Article,12.134460963157458,2023
All AI research,USA,United States,All works,Article,10.898719082247082,2024
All AI research,USA,United States,All works,Article,12.002871984118777,2025
All AI research,JPN,Japan,All works,Article,9.60399256200817,2000
All AI research,JPN,Japan,All works,Article,9.354054225250955,2001
All AI research,JPN,Japan,All works,Article,11.105502912232563,2002
All AI research,JPN,Japan,All works,Article,10.605570365632863,2003
All AI research,JPN,Japan,All works,Article,9.796690031246682,2004
All AI research,JPN,Japan,All works,Article,9.686379902915457,2005
All AI research,JPN,Japan,All works,Article,7.832971993777566,2006
All AI research,JPN,Japan,All works,Article,6.341816723167178,2007
All AI research,JPN,Japan,All works,Article,6.568032657255801,2008
All AI research,JPN,Japan,All works,Article,5.622746530796348,2009
All AI research,JPN,Japan,All works,Article,5.8134235871963105,2010
All AI research,JPN,Japan,All works,Article,5.504381957138716,2011
All AI research,JPN,Japan,All works,Article,5.914355817547769,2012
All AI research,JPN,Japan,All works,Article,5.775262452134536,2013
All AI research,JPN,Japan,All works,Article,5.217387010828937,2014
All AI research,JPN,Japan,All works,Article,5.084675999070224,2015
All AI research,JPN,Japan,All works,Article,5.567299117383805,2016
All AI research,JPN,Japan,All works,Article,5.040719270048948,2017
All AI research,JPN,Japan,All works,Article,4.760081877088794,2018
All AI research,JPN,Japan,All works,Article,4.173916949245583,2019
All AI research,JPN,Japan,All works,Article,3.884219144592912,2020
All AI research,JPN,Japan,All works,Article,3.279025961078249,2021
All AI research,JPN,Japan,All works,Article,3.0261090852211363,2022
All AI research,JPN,Japan,All works,Article,2.9112541458313275,2023
All AI research,JPN,Japan,All works,Article,3.0631176840776604,2024
All AI research,JPN,Japan,All works,Article,2.8649258660961805,2025
All AI research,IND,India,All works,Article,1.2099640782690761,2000
All AI research,IND,India,All works,Article,1.1742954207509857,2001
All AI research,IND,India,All works,Article,1.1862582558290096,2002
All AI research,IND,India,All works,Article,1.421154927898291,2003
All AI research,IND,India,All works,Article,1.7109144541862422,2004
All AI research,IND,India,All works,Article,1.8083850630643632,2005
All AI research,IND,India,All works,Article,1.7228051178332964,2006
All AI research,IND,India,All works,Article,1.9594916964814937,2007
All AI research,IND,India,All works,Article,2.019630714780032,2008
All AI research,IND,India,All works,Article,2.554681270342865,2009
All AI research,IND,India,All works,Article,3.6262525006788784,2010
All AI research,IND,India,All works,Article,3.92444775658275,2011
All AI research,IND,India,All works,Article,5.583299621829439,2012
All AI research,IND,India,All works,Article,5.565663914499057,2013
All AI research,IND,India,All works,Article,6.753779164774817,2014
All AI research,IND,India,All works,Article,8.489829150950678,2015
All AI research,IND,India,All works,Article,9.163758789917672,2016
All AI research,IND,India,All works,Article,9.233635435468306,2017
All AI research,IND,India,All works,Article,8.49076489107018,2018
All AI research,IND,India,All works,Article,7.36781566054481,2019
All AI research,IND,India,All works,Article,8.233436648966086,2020
All AI research,IND,India,All works,Article,8.649815995720674,2021
All AI research,IND,India,All works,Article,10.11855783029118,2022
All AI research,IND,India,All works,Article,11.008564728599143,2023
All AI research,IND,India,All works,Article,11.611747814730283,2024
All AI research,IND,India,All works,Article,10.06064913458903,2025
All AI research,GBR,United Kingdom,All works,Article,7.8016385535435715,2000
All AI research,GBR,United Kingdom,All works,Article,7.309836321795959,2001
All AI research,GBR,United Kingdom,All works,Article,5.451783124088629,2002
All AI research,GBR,United Kingdom,All works,Article,5.82088573069706,2003
All AI research,GBR,United Kingdom,All works,Article,5.274969357060876,2004
All AI research,GBR,United Kingdom,All works,Article,4.9096246650995905,2005
All AI research,GBR,United Kingdom,All works,Article,4.979023294567159,2006
All AI research,GBR,United Kingdom,All works,Article,4.844088657237297,2007
All AI research,GBR,United Kingdom,All works,Article,4.501073948757178,2008
All AI research,GBR,United Kingdom,All works,Article,3.9784127187996714,2009
All AI research,GBR,United Kingdom,All works,Article,3.6931509973560903,2010
All AI research,GBR,United Kingdom,All works,Article,3.7665857214289638,2011
All AI research,GBR,United Kingdom,All works,Article,3.387031213094732,2012
All AI research,GBR,United Kingdom,All works,Article,3.9926115098394908,2013
All AI research,GBR,United Kingdom,All works,Article,3.8968759724528534,2014
All AI research,GBR,United Kingdom,All works,Article,4.023971136550929,2015
All AI research,GBR,United Kingdom,All works,Article,3.937577231600375,2016
All AI research,GBR,United Kingdom,All works,Article,3.6710356713608068,2017
All AI research,GBR,United Kingdom,All works,Article,3.4365699853447316,2018
All AI research,GBR,United Kingdom,All works,Article,3.4414022310374746,2019
All AI research,GBR,United Kingdom,All works,Article,3.2834435767044217,2020
All AI research,GBR,United Kingdom,All works,Article,3.182347218508926,2021
All AI research,GBR,United Kingdom,All works,Article,2.7301737660696683,2022
All AI research,GBR,United Kingdom,All works,Article,2.865874285000117,2023
All AI research,GBR,United Kingdom,All works,Article,2.6574835337533025,2024
All AI research,GBR,United Kingdom,All works,Article,2.5255340796549812,2025
All AI research,DEU,Germany,All works,Article,5.414373206175845,2000
All AI research,DEU,Germany,All works,Article,5.642788930851117,2001
All AI research,DEU,Germany,All works,Article,4.891140791127916,2002
All AI research,DEU,Germany,All works,Article,3.9628620848492306,2003
All AI research,DEU,Germany,All works,Article,4.381352401739512,2004
All AI research,DEU,Germany,All works,Article,3.673665248320845,2005
All AI research,DEU,Germany,All works,Article,3.4936027428322785,2006
All AI research,DEU,Germany,All works,Article,3.7118643816403054,2007
All AI research,DEU,Germany,All works,Article,3.7547695706879574,2008
