ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,All works,Book,28.333333373069763,2000
All AI research,USA,United States,All works,Book,20.73333340883255,2001
All AI research,USA,United States,All works,Book,29.33333331346512,2002
All AI research,USA,United States,All works,Book,15.333333452542623,2003
All AI research,USA,United States,All works,Book,22.16666673620542,2004
All AI research,USA,United States,All works,Book,22.066666742165882,2005
All AI research,USA,United States,All works,Book,31.51666671037674,2006
All AI research,USA,United States,All works,Book,31.400000164906185,2007
All AI research,USA,United States,All works,Book,32.64285716840199,2008
All AI research,USA,United States,All works,Book,27.300000190734863,2009
All AI research,USA,United States,All works,Book,30.133333384990692,2010
All AI research,USA,United States,All works,Book,56.566666674613955,2011
All AI research,USA,United States,All works,Book,43.907903996593866,2012
All AI research,USA,United States,All works,Book,68.45138910412788,2013
All AI research,USA,United States,All works,Book,46.7166668176651,2014
All AI research,USA,United States,All works,Book,28.7272729575634,2015
All AI research,USA,United States,All works,Book,24.06666675209999,2016
All AI research,USA,United States,All works,Book,34.486580193042755,2017
All AI research,USA,United States,All works,Book,55.97976206243038,2018
All AI research,USA,United States,All works,Book,35.12380958454949,2019
All AI research,USA,United States,All works,Book,46.98917759954929,2020
All AI research,USA,United States,All works,Book,37.63333338499069,2021
All AI research,USA,United States,All works,Book,34.36666691303253,2022
All AI research,USA,United States,All works,Book,30.983333498239517,2023
All AI research,USA,United States,All works,Book,15.78571429848671,2024
All AI research,USA,United States,All works,Book,2,2025
All AI research,DEU,Germany,All works,Book,4,2000
All AI research,DEU,Germany,All works,Book,17.733333379030228,2001
All AI research,DEU,Germany,All works,Book,13.333333313465118,2002
All AI research,DEU,Germany,All works,Book,8.166666706403097,2003
All AI research,DEU,Germany,All works,Book,16.333333412806194,2004
All AI research,DEU,Germany,All works,Book,13.56666667262713,2005
All AI research,DEU,Germany,All works,Book,10.166666686534882,2006
All AI research,DEU,Germany,All works,Book,6.333333392937979,2007
All AI research,DEU,Germany,All works,Book,8.46666669845581,2008
All AI research,DEU,Germany,All works,Book,10.300000071525574,2009
All AI research,DEU,Germany,All works,Book,18.28571429848671,2010
All AI research,DEU,Germany,All works,Book,21.80000007947286,2011
All AI research,DEU,Germany,All works,Book,18.768213210300996,2012
All AI research,DEU,Germany,All works,Book,21.388889029622078,2013
All AI research,DEU,Germany,All works,Book,20.66666668653488,2014
All AI research,DEU,Germany,All works,Book,6.063636377453804,2015
All AI research,DEU,Germany,All works,Book,16.196969747543335,2016
All AI research,DEU,Germany,All works,Book,10.997835546731949,2017
All AI research,DEU,Germany,All works,Book,16.6083336075147,2018
All AI research,DEU,Germany,All works,Book,16.083333373069763,2019
All AI research,DEU,Germany,All works,Book,22.476190581917763,2020
All AI research,DEU,Germany,All works,Book,22.958333373069763,2021
All AI research,DEU,Germany,All works,Book,11.400000005960464,2022
All AI research,DEU,Germany,All works,Book,13.58333346247673,2023
All AI research,DEU,Germany,All works,Book,7.40476194024086,2024
All AI research,DEU,Germany,All works,Book,3,2025
All AI research,GBR,United Kingdom,All works,Book,13.400000005960464,2000
All AI research,GBR,United Kingdom,All works,Book,9,2001
All AI research,GBR,United Kingdom,All works,Book,16,2002
All AI research,GBR,United Kingdom,All works,Book,9.333333373069763,2003
All AI research,GBR,United Kingdom,All works,Book,12.83333334326744,2004
All AI research,GBR,United Kingdom,All works,Book,10.133333375056583,2005
All AI research,GBR,United Kingdom,All works,Book,9.783333390951157,2006
All AI research,GBR,United Kingdom,All works,Book,10.400000005960464,2007
All AI research,GBR,United Kingdom,All works,Book,7.5,2008
All AI research,GBR,United Kingdom,All works,Book,15.900000110268593,2009
All AI research,GBR,United Kingdom,All works,Book,9.550000071525574,2010
All AI research,GBR,United Kingdom,All works,Book,9.666666686534882,2011
All AI research,GBR,United Kingdom,All works,Book,20.00000011920929,2012
All AI research,GBR,United Kingdom,All works,Book,16.055555626749992,2013
All AI research,GBR,United Kingdom,All works,Book,15.138888910412788,2014
All AI research,GBR,United Kingdom,All works,Book,16.03030303120613,2015
All AI research,GBR,United Kingdom,All works,Book,16.216017425060272,2016
All AI research,GBR,United Kingdom,All works,Book,11.952381044626236,2017
All AI research,GBR,United Kingdom,All works,Book,21.116666808724403,2018
All AI research,GBR,United Kingdom,All works,Book,15.319047846964427,2019
All AI research,GBR,United Kingdom,All works,Book,9.233333379030228,2020
All AI research,GBR,United Kingdom,All works,Book,10.096428617835045,2021
All AI research,GBR,United Kingdom,All works,Book,17.616666726768017,2022
All AI research,GBR,United Kingdom,All works,Book,12.666666746139526,2023
All AI research,GBR,United Kingdom,All works,Book,1.0357142984867096,2024
All AI research,CHN,China (People's Republic of),All works,Book,2.6666666865348816,2001
All AI research,CHN,China (People's Republic of),All works,Book,5,2004
All AI research,CHN,China (People's Republic of),All works,Book,2.6666667461395264,2005
All AI research,CHN,China (People's Republic of),All works,Book,3.466666728258133,2006
All AI research,CHN,China (People's Republic of),All works,Book,2.7666667103767395,2007
All AI research,CHN,China (People's Republic of),All works,Book,2.4000000953674316,2008
All AI research,CHN,China (People's Republic of),All works,Book,5.333333343267441,2009
All AI research,CHN,China (People's Republic of),All works,Book,10.166666746139526,2010
All AI research,CHN,China (People's Republic of),All works,Book,2.933333396911621,2011
All AI research,CHN,China (People's Republic of),All works,Book,3,2012
All AI research,CHN,China (People's Republic of),All works,Book,11.0625,2013
All AI research,CHN,China (People's Republic of),All works,Book,9.050000011920929,2014
All AI research,CHN,China (People's Republic of),All works,Book,22.5,2015
All AI research,CHN,China (People's Republic of),All works,Book,15.552381068468094,2016
All AI research,CHN,China (People's Republic of),All works,Book,19.233333587646484,2017
All AI research,CHN,China (People's Republic of),All works,Book,32.46666702628136,2018
All AI research,CHN,China (People's Republic of),All works,Book,22.800000071525574,2019
All AI research,CHN,China (People's Republic of),All works,Book,18.85555560141802,2020
All AI research,CHN,China (People's Republic of),All works,Book,12.666666716337204,2021
All AI research,CHN,China (People's Republic of),All works,Book,11.000000029802322,2022
All AI research,CHN,China (People's Republic of),All works,Book,29.345238387584686,2023
All AI research,CHN,China (People's Republic of),All works,Book,9.5,2024
All AI research,CHN,China (People's Republic of),All works,Book,6,2025
All AI research,IND,India,All works,Book,2.666666626930237,2000
All AI research,IND,India,All works,Book,6.666666746139526,2001
All AI research,IND,India,All works,Book,2.9999999403953552,2002
All AI research,IND,India,All works,Book,2,2003
All AI research,IND,India,All works,Book,0.6666666865348816,2004
All AI research,IND,India,All works,Book,1,2007
All AI research,IND,India,All works,Book,5,2008
All AI research,IND,India,All works,Book,1.0000000298023224,2009
All AI research,IND,India,All works,Book,4,2010
All AI research,IND,India,All works,Book,6.333333313465118,2011
All AI research,IND,India,All works,Book,6.333333343267441,2012
All AI research,IND,India,All works,Book,11.000000059604645,2013
All AI research,IND,India,All works,Book,7,2014
All AI research,IND,India,All works,Book,14,2015
All AI research,IND,India,All works,Book,15.500000011175871,2016
All AI research,IND,India,All works,Book,12.5,2017
All AI research,IND,India,All works,Book,30.76666669547558,2018
All AI research,IND,India,All works,Book,27.38571427123887,2019
All AI research,IND,India,All works,Book,22.501082330942154,2020
All AI research,IND,India,All works,Book,18.866666823625565,2021
All AI research,IND,India,All works,Book,12.83333334326744,2022
All AI research,IND,India,All works,Book,10.566666841506958,2023
All AI research,IND,India,All works,Book,5.833333373069763,2024
All AI research,FRA,France,All works,Book,5,2000
All AI research,FRA,France,All works,Book,4.000000059604645,2001
All AI research,FRA,France,All works,Book,0,2002
All AI research,FRA,France,All works,Book,1.6666666865348816,2003
All AI research,FRA,France,All works,Book,3,2004
All AI research,FRA,France,All works,Book,7.166666686534882,2005
All AI research,FRA,France,All works,Book,2.6666666865348816,2006
All AI research,FRA,France,All works,Book,8.100000023841858,2007
All AI research,FRA,France,All works,Book,12.166666805744171,2008
All AI research,FRA,France,All works,Book,5.166666686534882,2009
All AI research,FRA,France,All works,Book,12.085714399814606,2010
All AI research,FRA,France,All works,Book,15.900000125169754,2011
All AI research,FRA,France,All works,Book,12.466666728258133,2012
All AI research,FRA,France,All works,Book,7.666666686534882,2013
All AI research,FRA,France,All works,Book,20.50000003973643,2014
All AI research,FRA,France,All works,Book,14.333333353201548,2015
All AI research,FRA,France,All works,Book,16.166666731238365,2016
All AI research,FRA,France,All works,Book,9.250000059604645,2017
All AI research,FRA,France,All works,Book,15.08809545636177,2018
All AI research,FRA,France,All works,Book,11.366666734218597,2019
All AI research,FRA,France,All works,Book,6.476190522313118,2020
All AI research,FRA,France,All works,Book,2.333333373069763,2021
All AI research,FRA,France,All works,Book,11.900000005960464,2022
All AI research,FRA,France,All works,Book,7.400000065565109,2023
All AI research,FRA,France,All works,Book,8.035714268684387,2024
All AI research,FRA,France,All works,Book,1,2025
All AI research,CAN,Canada,All works,Book,1,2000
All AI research,CAN,Canada,All works,Book,1.9999999403953552,2001
All AI research,CAN,Canada,All works,Book,2.6666666865348816,2002
All AI research,CAN,Canada,All works,Book,2,2003
All AI research,CAN,Canada,All works,Book,9,2004
All AI research,CAN,Canada,All works,Book,1.5,2005
