ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,All works,Book,33.73015868172714,2000
All AI research,USA,United States,All works,Book,17.570621475219202,2001
All AI research,USA,United States,All works,Book,26.190476172736712,2002
All AI research,USA,United States,All works,Book,17.424242500698107,2003
All AI research,USA,United States,All works,Book,16.54228857415713,2004
All AI research,USA,United States,All works,Book,22.517006763352892,2005
All AI research,USA,United States,All works,Book,32.829861034341675,2006
All AI research,USA,United States,All works,Book,34.13043478495608,2007
All AI research,USA,United States,All works,Book,27.20238087908734,2008
All AI research,USA,United States,All works,Book,18.95833332453751,2009
All AI research,USA,United States,All works,Book,17.1212120664873,2010
All AI research,USA,United States,All works,Book,29.461805468233287,2011
All AI research,USA,United States,All works,Book,20.327733235432753,2012
All AI research,USA,United States,All works,Book,29.252730283924393,2013
All AI research,USA,United States,All works,Book,21.830218063092197,2014
All AI research,USA,United States,All works,Book,15.444770368934648,2015
All AI research,USA,United States,All works,Book,12.405498249595322,2016
All AI research,USA,United States,All works,Book,17.072564346210836,2017
All AI research,USA,United States,All works,Book,16.963564141082063,2018
All AI research,USA,United States,All works,Book,13.613879622603353,2019
All AI research,USA,United States,All works,Book,18.64649894696603,2020
All AI research,USA,United States,All works,Book,17.106060525263885,2021
All AI research,USA,United States,All works,Book,19.980620235958217,2022
All AI research,USA,United States,All works,Book,14.344135778869349,2023
All AI research,USA,United States,All works,Book,22.551020378404388,2024
All AI research,USA,United States,All works,Book,11.11111111111111,2025
All AI research,DEU,Germany,All works,Book,4.76190474838897,2000
All AI research,DEU,Germany,All works,Book,15.028248576954454,2001
All AI research,DEU,Germany,All works,Book,11.904761887022428,2002
All AI research,DEU,Germany,All works,Book,9.280303044029134,2003
All AI research,DEU,Germany,All works,Book,12.189054759922605,2004
All AI research,DEU,Germany,All works,Book,13.843537349479902,2005
All AI research,DEU,Germany,All works,Book,10.590277759021976,2006
All AI research,DEU,Germany,All works,Book,6.884058000121991,2007
All AI research,DEU,Germany,All works,Book,7.055555557514781,2008
All AI research,DEU,Germany,All works,Book,7.152777774155968,2009
All AI research,DEU,Germany,All works,Book,10.389610345848125,2010
All AI research,DEU,Germany,All works,Book,11.354166672810809,2011
All AI research,DEU,Germany,All works,Book,8.688987556188504,2012
All AI research,DEU,Germany,All works,Book,9.140550835345909,2013
All AI research,DEU,Germany,All works,Book,9.657320847935624,2014
All AI research,DEU,Germany,All works,Book,3.2600195496745163,2015
All AI research,DEU,Germany,All works,Book,8.348953426812399,2016
All AI research,DEU,Germany,All works,Book,5.444473009199809,2017
All AI research,DEU,Germany,All works,Book,5.032828330234114,2018
All AI research,DEU,Germany,All works,Book,6.233850116517175,2019
All AI research,DEU,Germany,All works,Book,8.91912319873326,2020
All AI research,DEU,Germany,All works,Book,10.435606015053354,2021
All AI research,DEU,Germany,All works,Book,6.62790695953814,2022
All AI research,DEU,Germany,All works,Book,6.2885802628854215,2023
All AI research,DEU,Germany,All works,Book,10.578231320682953,2024
All AI research,DEU,Germany,All works,Book,16.666666666666668,2025
All AI research,GBR,United Kingdom,All works,Book,15.952380914198839,2000
All AI research,GBR,United Kingdom,All works,Book,7.627118619025627,2001
All AI research,GBR,United Kingdom,All works,Book,14.285714285714286,2002
All AI research,GBR,United Kingdom,All works,Book,10.606060615296864,2003
All AI research,GBR,United Kingdom,All works,Book,9.577114415039192,2004
All AI research,GBR,United Kingdom,All works,Book,10.340136043540175,2005
All AI research,GBR,United Kingdom,All works,Book,10.190972244276459,2006
All AI research,GBR,United Kingdom,All works,Book,11.304347773975145,2007
All AI research,GBR,United Kingdom,All works,Book,6.249999978269139,2008
All AI research,GBR,United Kingdom,All works,Book,11.04166666097525,2009
All AI research,GBR,United Kingdom,All works,Book,5.426136377630255,2010
All AI research,GBR,United Kingdom,All works,Book,5.034722216940416,2011
All AI research,GBR,United Kingdom,All works,Book,9.259259270573425,2012
All AI research,GBR,United Kingdom,All works,Book,6.861348534408914,2013
All AI research,GBR,United Kingdom,All works,Book,7.074247129768944,2014
All AI research,GBR,United Kingdom,All works,Book,8.618442468491637,2015
All AI research,GBR,United Kingdom,All works,Book,8.358771817224714,2016
All AI research,GBR,United Kingdom,All works,Book,5.91702028245695,2017
All AI research,GBR,United Kingdom,All works,Book,6.398989896673082,2018
All AI research,GBR,United Kingdom,All works,Book,5.937615417810885,2019
All AI research,GBR,United Kingdom,All works,Book,3.664021162411764,2020
All AI research,GBR,United Kingdom,All works,Book,4.5892857074036035,2021
All AI research,GBR,United Kingdom,All works,Book,10.242248065014138,2022
All AI research,GBR,United Kingdom,All works,Book,5.86419752679738,2023
All AI research,GBR,United Kingdom,All works,Book,1.4795918518313513,2024
All AI research,CHN,China (People's Republic of),All works,Book,2.2598870150672856,2001
All AI research,CHN,China (People's Republic of),All works,Book,3.7313432756983165,2004
All AI research,CHN,China (People's Republic of),All works,Book,2.7210885024014466,2005
All AI research,CHN,China (People's Republic of),All works,Book,3.611111161816451,2006
All AI research,CHN,China (People's Republic of),All works,Book,3.0072464087359467,2007
All AI research,CHN,China (People's Republic of),All works,Book,2.000000072518984,2008
All AI research,CHN,China (People's Republic of),All works,Book,3.703703683007647,2009
All AI research,CHN,China (People's Republic of),All works,Book,5.776515168303972,2010
All AI research,CHN,China (People's Republic of),All works,Book,1.5277778061486227,2011
All AI research,CHN,China (People's Republic of),All works,Book,1.3888888823075909,2012
All AI research,CHN,China (People's Republic of),All works,Book,4.727564086006236,2013
All AI research,CHN,China (People's Republic of),All works,Book,4.228971953463847,2014
All AI research,CHN,China (People's Republic of),All works,Book,12.096774163505723,2015
All AI research,CHN,China (People's Republic of),All works,Book,8.016691223145198,2016
All AI research,CHN,China (People's Republic of),All works,Book,9.521452212112228,2017
All AI research,CHN,China (People's Republic of),All works,Book,9.838383877610337,2018
All AI research,CHN,China (People's Republic of),All works,Book,8.837209290237025,2019
All AI research,CHN,China (People's Republic of),All works,Book,7.482363293578325,2020
All AI research,CHN,China (People's Republic of),All works,Book,5.757575745055498,2021
All AI research,CHN,China (People's Republic of),All works,Book,6.395348834590115,2022
All AI research,CHN,China (People's Republic of),All works,Book,13.585758418109572,2023
All AI research,CHN,China (People's Republic of),All works,Book,13.571428542538564,2024
All AI research,CHN,China (People's Republic of),All works,Book,33.333333333333336,2025
All AI research,FRA,France,All works,Book,5.952380935486212,2000
All AI research,FRA,France,All works,Book,3.389830547857134,2001
All AI research,FRA,France,All works,Book,0,2002
All AI research,FRA,France,All works,Book,1.8939394101028435,2003
All AI research,FRA,France,All works,Book,2.23880596541899,2004
All AI research,FRA,France,All works,Book,7.312925152535424,2005
All AI research,FRA,France,All works,Book,2.7777777881258063,2006
All AI research,FRA,France,All works,Book,8.804347806368973,2007
All AI research,FRA,France,All works,Book,10.138888969534523,2008
All AI research,FRA,France,All works,Book,3.587962950027927,2009
All AI research,FRA,France,All works,Book,6.86688314799226,2010
All AI research,FRA,France,All works,Book,8.281250039484197,2011
All AI research,FRA,France,All works,Book,5.771604939437223,2012
All AI research,FRA,France,All works,Book,3.276353273368835,2013
All AI research,FRA,France,All works,Book,9.579439237553293,2014
All AI research,FRA,France,All works,Book,7.706093181507703,2015
All AI research,FRA,France,All works,Book,8.333333315410973,2016
All AI research,FRA,France,All works,Book,4.579207921924164,2017
All AI research,FRA,France,All works,Book,4.572150105877919,2018
All AI research,FRA,France,All works,Book,4.405684760857263,2019
All AI research,FRA,France,All works,Book,2.5699168600861233,2020
All AI research,FRA,France,All works,Book,1.0606060722026942,2021
All AI research,FRA,France,All works,Book,6.918604633050103,2022
All AI research,FRA,France,All works,Book,3.425925932409413,2023
All AI research,FRA,France,All works,Book,11.479591787969232,2024
All AI research,FRA,France,All works,Book,5.555555555555555,2025
All AI research,IND,India,All works,Book,3.1746031182873726,2000
All AI research,IND,India,All works,Book,5.649717562924419,2001
All AI research,IND,India,All works,Book,2.6785713753529956,2002
All AI research,IND,India,All works,Book,2.272727265030392,2003
All AI research,IND,India,All works,Book,0.4975124515868016,2004
All AI research,IND,India,All works,Book,1.086956516105421,2007
All AI research,IND,India,All works,Book,4.166666652179426,2008
All AI research,IND,India,All works,Book,0.6944444599664873,2009
All AI research,IND,India,All works,Book,2.2727272615667955,2010
All AI research,IND,India,All works,Book,3.298611090522846,2011
All AI research,IND,India,All works,Book,2.9320987561373713,2012
All AI research,IND,India,All works,Book,4.700854709862452,2013
All AI research,IND,India,All works,Book,3.2710280259948328,2014
All AI research,IND,India,All works,Book,7.526881701736895,2015
All AI research,IND,India,All works,Book,7.98969067831512,2016
All AI research,IND,India,All works,Book,6.188118773536371,2017
All AI research,IND,India,All works,Book,9.323232265866732,2018
All AI research,IND,India,All works,Book,10.614617886769834,2019
All AI research,IND,India,All works,Book,8.929000876864318,2020
All AI research,IND,India,All works,Book,8.575757594825316,2021
All AI research,IND,India,All works,Book,7.4612402925826915,2022
All AI research,IND,India,All works,Book,4.891975355500872,2023
All AI research,IND,India,All works,Book,8.333333372360183,2024
All AI research,JPN,Japan,All works,Book,1.428571481283019,2000
All AI research,JPN,Japan,All works,Book,3.389830497344723,2001
All AI research,JPN,Japan,All works,Book,2.6785714285714284,2002
All AI research,JPN,Japan,All works,Book,4.545454530060784,2003
All AI research,JPN,Japan,All works,Book,6.840796020273939,2004
All AI research,JPN,Japan,All works,Book,2.040816315980019,2005
All AI research,JPN,Japan,All works,Book,2.7777777881258063,2006
All AI research,JPN,Japan,All works,Book,1.2681159570522103,2007
All AI research,JPN,Japan,All works,Book,3.333333321743541,2008
All AI research,JPN,Japan,All works,Book,5.97222223567466,2009
All AI research,JPN,Japan,All works,Book,0.28409090769584944,2010
All AI research,JPN,Japan,All works,Book,2.4305555480101178,2011
All AI research,JPN,Japan,All works,Book,5.92592590336467,2012
All AI research,JPN,Japan,All works,Book,0.8547008517073421,2013
All AI research,JPN,Japan,All works,Book,3.4267912838963452,2014
All AI research,JPN,Japan,All works,Book,4.838709665402289,2015
All AI research,JPN,Japan,All works,Book,4.158075619861786,2016
All AI research,JPN,Japan,All works,Book,0.8475847711069513,2017
All AI research,JPN,Japan,All works,Book,4.464646501028652,2018
All AI research,JPN,Japan,All works,Book,4.6511627466416,2019
All AI research,JPN,Japan,All works,Book,3.6375661435892885,2020
All AI research,JPN,Japan,All works,Book,1.3181818128555767,2021
All AI research,JPN,Japan,All works,Book,4.069767429167481,2022
All AI research,JPN,Japan,All works,Book,4.567901220216932,2023
All AI research,JPN,Japan,All works,Book,0.4761904893683738,2024
All AI research,JPN,Japan,All works,Book,11.11111111111111,2025
All AI research,CAN,Canada,All works,Book,1.1904761870972425,2000
All AI research,CAN,Canada,All works,Book,1.6949151981599508,2001
All AI research,CAN,Canada,All works,Book,2.3809523986918584,2002
All AI research,CAN,Canada,All works,Book,2.272727265030392,2003
All AI research,CAN,Canada,All works,Book,6.71641789625697,2004
All AI research,CAN,Canada,All works,Book,1.5306122369850144,2005
All AI research,CAN,Canada,All works,Book,2.083333325572312,2006
All AI research,CAN,Canada,All works,Book,5.615942021473895,2007
All AI research,CAN,Canada,All works,Book,7.499999973922967,2008
All AI research,CAN,Canada,All works,Book,5.092592582244564,2009
All AI research,CAN,Canada,All works,Book,8.030303020220117,2010
All AI research,CAN,Canada,All works,Book,3.6458333220151773,2011
All AI research,CAN,Canada,All works,Book,3.448331642672864,2012
All AI research,CAN,Canada,All works,Book,1.0238604122558006,2013
All AI research,CAN,Canada,All works,Book,2.367601249932403,2014
All AI research,CAN,Canada,All works,Book,4.838709665402289,2015
All AI research,CAN,Canada,All works,Book,1.5463917430750378,2016
All AI research,CAN,Canada,All works,Book,3.7835926542024074,2017
All AI research,CAN,Canada,All works,Book,1.7550504986290263,2018
All AI research,CAN,Canada,All works,Book,2.3255813964233756,2019
All AI research,CAN,Canada,All works,Book,5.52248677426644,2020
All AI research,CAN,Canada,All works,Book,2.5757575871489595,2021
All AI research,CAN,Canada,All works,Book,4.360465137333306,2022
All AI research,CAN,Canada,All works,Book,6.17283948155901,2023
All AI research,KOR,Korea,All works,Book,1.6949152486723615,2001
All AI research,KOR,Korea,All works,Book,2.23880596541899,2004
All AI research,KOR,Korea,All works,Book,2.083333325572312,2006
All AI research,KOR,Korea,All works,Book,1.0416666796017022,2009
All AI research,KOR,Korea,All works,Book,0.28409090769584944,2010
All AI research,KOR,Korea,All works,Book,0.8680555632087851,2011
All AI research,KOR,Korea,All works,Book,0.18518518706715306,2012
