ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,All works,Dissertation,6,2000
All AI research,USA,United States,All works,Dissertation,2,2001
All AI research,USA,United States,All works,Dissertation,5.999999940395355,2002
All AI research,USA,United States,All works,Dissertation,6,2003
All AI research,USA,United States,All works,Dissertation,21,2004
All AI research,USA,United States,All works,Dissertation,29.000000059604645,2005
All AI research,USA,United States,All works,Dissertation,34.999999940395355,2006
All AI research,USA,United States,All works,Dissertation,41.999999940395355,2007
All AI research,USA,United States,All works,Dissertation,62.66666662693024,2008
All AI research,USA,United States,All works,Dissertation,43.000000059604645,2009
All AI research,USA,United States,All works,Dissertation,53.6000000834465,2010
All AI research,USA,United States,All works,Dissertation,33.999999940395355,2011
All AI research,USA,United States,All works,Dissertation,68.00000008940697,2012
All AI research,USA,United States,All works,Dissertation,45.33333343267441,2013
All AI research,USA,United States,All works,Dissertation,39.000000059604645,2014
All AI research,USA,United States,All works,Dissertation,30,2015
All AI research,USA,United States,All works,Dissertation,35.99999997019768,2016
All AI research,USA,United States,All works,Dissertation,48,2017
All AI research,USA,United States,All works,Dissertation,49.999999955296516,2018
All AI research,USA,United States,All works,Dissertation,63.00000014901161,2019
All AI research,USA,United States,All works,Dissertation,73.00000012914339,2020
All AI research,USA,United States,All works,Dissertation,48.49999988079071,2021
All AI research,USA,United States,All works,Dissertation,47.66666668653488,2022
All AI research,USA,United States,All works,Dissertation,58.50000011920929,2023
All AI research,USA,United States,All works,Dissertation,33.999999940395355,2024
All AI research,USA,United States,All works,Dissertation,8,2025
All AI research,CAN,Canada,All works,Dissertation,2,2004
All AI research,CAN,Canada,All works,Dissertation,6,2005
All AI research,CAN,Canada,All works,Dissertation,5,2006
All AI research,CAN,Canada,All works,Dissertation,7.999999970197678,2007
All AI research,CAN,Canada,All works,Dissertation,17.999999940395355,2008
All AI research,CAN,Canada,All works,Dissertation,5,2009
All AI research,CAN,Canada,All works,Dissertation,10,2010
All AI research,CAN,Canada,All works,Dissertation,2,2011
All AI research,CAN,Canada,All works,Dissertation,7,2012
All AI research,CAN,Canada,All works,Dissertation,4.000000059604645,2013
All AI research,CAN,Canada,All works,Dissertation,10,2014
All AI research,CAN,Canada,All works,Dissertation,5.999999940395355,2015
All AI research,CAN,Canada,All works,Dissertation,8,2016
All AI research,CAN,Canada,All works,Dissertation,6,2017
All AI research,CAN,Canada,All works,Dissertation,17.000000059604645,2018
All AI research,CAN,Canada,All works,Dissertation,7,2019
All AI research,CAN,Canada,All works,Dissertation,12,2020
All AI research,CAN,Canada,All works,Dissertation,20,2021
All AI research,CAN,Canada,All works,Dissertation,17,2022
All AI research,CAN,Canada,All works,Dissertation,27.999999940395355,2023
All AI research,CAN,Canada,All works,Dissertation,4,2024
All AI research,FRA,France,All works,Dissertation,2,2002
All AI research,FRA,France,All works,Dissertation,2,2003
All AI research,FRA,France,All works,Dissertation,3.9999999403953552,2008
All AI research,FRA,France,All works,Dissertation,0,2011
All AI research,FRA,France,All works,Dissertation,2,2012
All AI research,FRA,France,All works,Dissertation,14.666666686534882,2013
All AI research,FRA,France,All works,Dissertation,3.9999999701976776,2014
All AI research,FRA,France,All works,Dissertation,3,2015
All AI research,FRA,France,All works,Dissertation,12,2016
All AI research,FRA,France,All works,Dissertation,4,2017
All AI research,FRA,France,All works,Dissertation,9.400000005960464,2018
All AI research,FRA,France,All works,Dissertation,11.000000059604645,2019
All AI research,FRA,France,All works,Dissertation,9.666666686534882,2020
All AI research,FRA,France,All works,Dissertation,4,2021
All AI research,FRA,France,All works,Dissertation,2,2023
All AI research,FRA,France,All works,Dissertation,1.0000000298023224,2024
All AI research,DEU,Germany,All works,Dissertation,2,2005
All AI research,DEU,Germany,All works,Dissertation,4,2010
All AI research,DEU,Germany,All works,Dissertation,0,2011
All AI research,DEU,Germany,All works,Dissertation,4,2012
All AI research,DEU,Germany,All works,Dissertation,0.6666666865348816,2013
All AI research,DEU,Germany,All works,Dissertation,0,2014
All AI research,DEU,Germany,All works,Dissertation,2,2015
All AI research,DEU,Germany,All works,Dissertation,2,2016
All AI research,DEU,Germany,All works,Dissertation,0.4000000059604645,2018
All AI research,DEU,Germany,All works,Dissertation,4.666666666666666,2020
All AI research,DEU,Germany,All works,Dissertation,4,2021
All AI research,DEU,Germany,All works,Dissertation,5.666666686534882,2022
All AI research,DEU,Germany,All works,Dissertation,6,2023
All AI research,DEU,Germany,All works,Dissertation,4,2024
All AI research,GBR,United Kingdom,All works,Dissertation,2,2005
All AI research,GBR,United Kingdom,All works,Dissertation,2,2007
All AI research,GBR,United Kingdom,All works,Dissertation,4.666666686534882,2008
All AI research,GBR,United Kingdom,All works,Dissertation,0,2009
All AI research,GBR,United Kingdom,All works,Dissertation,4,2011
All AI research,GBR,United Kingdom,All works,Dissertation,2,2012
All AI research,GBR,United Kingdom,All works,Dissertation,2,2013
All AI research,GBR,United Kingdom,All works,Dissertation,4,2014
All AI research,GBR,United Kingdom,All works,Dissertation,1,2018
All AI research,GBR,United Kingdom,All works,Dissertation,5.666666686534882,2021
All AI research,GBR,United Kingdom,All works,Dissertation,5.999999940395355,2022
All AI research,GBR,United Kingdom,All works,Dissertation,6,2023
All AI research,JPN,Japan,All works,Dissertation,2,2009
All AI research,JPN,Japan,All works,Dissertation,1,2013
All AI research,JPN,Japan,All works,Dissertation,3.333333373069763,2017
All AI research,CHN,China (People's Republic of),All works,Dissertation,2,2005
All AI research,CHN,China (People's Republic of),All works,Dissertation,3,2020
All AI research,IND,India,All works,Dissertation,2.6666666865348816,2013
All AI research,IND,India,All works,Dissertation,0.6666666865348816,2022
All AI research,IND,India,All works,Dissertation,1,2023
All AI research,KOR,Korea,All works,Dissertation,2,2018
