ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,All works,Dissertation,75,2000
All AI research,USA,United States,All works,Dissertation,33.333333333333336,2001
All AI research,USA,United States,All works,Dissertation,49.99999975164731,2002
All AI research,USA,United States,All works,Dissertation,50,2003
All AI research,USA,United States,All works,Dissertation,65.62499993888196,2004
All AI research,USA,United States,All works,Dissertation,63.04347830875609,2005
All AI research,USA,United States,All works,Dissertation,64.81481477597777,2006
All AI research,USA,United States,All works,Dissertation,67.74193548542155,2007
All AI research,USA,United States,All works,Dissertation,58.02469138527876,2008
All AI research,USA,United States,All works,Dissertation,69.35483873913861,2009
All AI research,USA,United States,All works,Dissertation,60.90909094203356,2010
All AI research,USA,United States,All works,Dissertation,65.3846153074644,2011
All AI research,USA,United States,All works,Dissertation,57.62711867617314,2012
All AI research,USA,United States,All works,Dissertation,44.444444411980044,2013
All AI research,USA,United States,All works,Dissertation,43.33333338521145,2014
All AI research,USA,United States,All works,Dissertation,44.11764717483603,2015
All AI research,USA,United States,All works,Dissertation,43.90243897208992,2016
All AI research,USA,United States,All works,Dissertation,45.28301880426702,2017
All AI research,USA,United States,All works,Dissertation,38.46153839629077,2018
All AI research,USA,United States,All works,Dissertation,53.38983052688164,2019
All AI research,USA,United States,All works,Dissertation,47.40259744058962,2020
All AI research,USA,United States,All works,Dissertation,41.10169483499087,2021
All AI research,USA,United States,All works,Dissertation,39.07103824856289,2022
All AI research,USA,United States,All works,Dissertation,45.0000000504347,2023
All AI research,USA,United States,All works,Dissertation,54.838709554922815,2024
All AI research,USA,United States,All works,Dissertation,66.66666666666667,2025
All AI research,CAN,Canada,All works,Dissertation,6.249999994179234,2004
All AI research,CAN,Canada,All works,Dissertation,13.043478243968437,2005
All AI research,CAN,Canada,All works,Dissertation,9.259259269479534,2006
All AI research,CAN,Canada,All works,Dissertation,12.90322577699042,2007
All AI research,CAN,Canada,All works,Dissertation,16.666666629873674,2008
All AI research,CAN,Canada,All works,Dissertation,8.064516121279313,2009
All AI research,CAN,Canada,All works,Dissertation,11.363636352091042,2010
All AI research,CAN,Canada,All works,Dissertation,3.84615384835816,2011
All AI research,CAN,Canada,All works,Dissertation,5.93220338533576,2012
All AI research,CAN,Canada,All works,Dissertation,3.921568674428882,2013
All AI research,CAN,Canada,All works,Dissertation,11.111111107431812,2014
All AI research,CAN,Canada,All works,Dissertation,8.823529347313317,2015
All AI research,CAN,Canada,All works,Dissertation,9.756097557429825,2016
All AI research,CAN,Canada,All works,Dissertation,5.660377350533378,2017
All AI research,CAN,Canada,All works,Dissertation,13.07692311228027,2018
All AI research,CAN,Canada,All works,Dissertation,5.9322033778445125,2019
All AI research,CAN,Canada,All works,Dissertation,7.7922077846679905,2020
All AI research,CAN,Canada,All works,Dissertation,16.949152550934308,2021
All AI research,CAN,Canada,All works,Dissertation,13.934426222700356,2022
All AI research,CAN,Canada,All works,Dissertation,21.53846147286116,2023
All AI research,CAN,Canada,All works,Dissertation,6.451612900124628,2024
All AI research,FRA,France,All works,Dissertation,16.666666749450897,2002
All AI research,FRA,France,All works,Dissertation,16.666666666666668,2003
All AI research,FRA,France,All works,Dissertation,3.7037036526023277,2008
All AI research,FRA,France,All works,Dissertation,0,2011
All AI research,FRA,France,All works,Dissertation,1.6949152529530742,2012
All AI research,FRA,France,All works,Dissertation,14.379084944786147,2013
All AI research,FRA,France,All works,Dissertation,4.444444409859034,2014
All AI research,FRA,France,All works,Dissertation,4.411764717483603,2015
All AI research,FRA,France,All works,Dissertation,14.634146336144736,2016
All AI research,FRA,France,All works,Dissertation,3.7735849003555852,2017
All AI research,FRA,France,All works,Dissertation,7.2307692295524495,2018
All AI research,FRA,France,All works,Dissertation,9.322033929982359,2019
All AI research,FRA,France,All works,Dissertation,6.2770562838839865,2020
All AI research,FRA,France,All works,Dissertation,3.3898305101868615,2021
All AI research,FRA,France,All works,Dissertation,1.5384615370507777,2023
All AI research,FRA,France,All works,Dissertation,1.612903273099419,2024
All AI research,GBR,United Kingdom,All works,Dissertation,4.347826081322812,2005
All AI research,GBR,United Kingdom,All works,Dissertation,3.2258064562646704,2007
All AI research,GBR,United Kingdom,All works,Dissertation,4.3209876774869445,2008
All AI research,GBR,United Kingdom,All works,Dissertation,0,2009
All AI research,GBR,United Kingdom,All works,Dissertation,7.69230769671632,2011
All AI research,GBR,United Kingdom,All works,Dissertation,1.6949152529530742,2012
All AI research,GBR,United Kingdom,All works,Dissertation,1.9607843079964777,2013
All AI research,GBR,United Kingdom,All works,Dissertation,4.444444442972725,2014
All AI research,GBR,United Kingdom,All works,Dissertation,0.7692307686135613,2018
All AI research,GBR,United Kingdom,All works,Dissertation,4.802259906268858,2021
All AI research,GBR,United Kingdom,All works,Dissertation,4.918032735626213,2022
All AI research,GBR,United Kingdom,All works,Dissertation,4.615384611152333,2023
All AI research,DEU,Germany,All works,Dissertation,4.347826081322812,2005
All AI research,DEU,Germany,All works,Dissertation,4.545454540836417,2010
All AI research,DEU,Germany,All works,Dissertation,0,2011
All AI research,DEU,Germany,All works,Dissertation,3.3898305059061484,2012
All AI research,DEU,Germany,All works,Dissertation,0.6535947888108014,2013
All AI research,DEU,Germany,All works,Dissertation,0,2014
All AI research,DEU,Germany,All works,Dissertation,2.941176478322402,2015
All AI research,DEU,Germany,All works,Dissertation,2.4390243893574564,2016
All AI research,DEU,Germany,All works,Dissertation,0.3076923120303972,2018
All AI research,DEU,Germany,All works,Dissertation,3.030303027370885,2020
All AI research,DEU,Germany,All works,Dissertation,3.3898305101868615,2021
All AI research,DEU,Germany,All works,Dissertation,4.644808757185541,2022
All AI research,DEU,Germany,All works,Dissertation,4.615384611152333,2023
All AI research,DEU,Germany,All works,Dissertation,6.451612900124628,2024
All AI research,JPN,Japan,All works,Dissertation,3.225806448511725,2009
All AI research,JPN,Japan,All works,Dissertation,0.9803921539982389,2013
All AI research,JPN,Japan,All works,Dissertation,3.144654121116852,2017
All AI research,CHN,China (People's Republic of),All works,Dissertation,4.347826081322812,2005
All AI research,CHN,China (People's Republic of),All works,Dissertation,1.9480519461669976,2020
All AI research,IND,India,All works,Dissertation,2.614379096807279,2013
All AI research,IND,India,All works,Dissertation,0.5464481034501419,2022
All AI research,IND,India,All works,Dissertation,0.7692307685253889,2023
All AI research,KOR,Korea,All works,Dissertation,1.5384615372271226,2018
