ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,CHN,China (People's Republic of),All works,All publication types,638.5833340764045,2000
All AI research,CHN,China (People's Republic of),All works,All publication types,831.1000013321637,2001
All AI research,CHN,China (People's Republic of),All works,All publication types,3143.697621351481,2002
All AI research,CHN,China (People's Republic of),All works,All publication types,2822.3833377311635,2003
All AI research,CHN,China (People's Republic of),All works,All publication types,4152.416669405499,2004
All AI research,CHN,China (People's Republic of),All works,All publication types,6455.002385802568,2005
All AI research,CHN,China (People's Republic of),All works,All publication types,8976.69401739985,2006
All AI research,CHN,China (People's Republic of),All works,All publication types,9757.45430819002,2007
All AI research,CHN,China (People's Republic of),All works,All publication types,12075.408843673393,2008
All AI research,CHN,China (People's Republic of),All works,All publication types,13090.16575685541,2009
All AI research,CHN,China (People's Republic of),All works,All publication types,14094.852899804064,2010
All AI research,CHN,China (People's Republic of),All works,All publication types,12418.437705346445,2011
All AI research,CHN,China (People's Republic of),All works,All publication types,11099.483953893043,2012
All AI research,CHN,China (People's Republic of),All works,All publication types,10026.767470249866,2013
All AI research,CHN,China (People's Republic of),All works,All publication types,9349.249220430354,2014
All AI research,CHN,China (People's Republic of),All works,All publication types,8444.955733177294,2015
All AI research,CHN,China (People's Republic of),All works,All publication types,8291.047950930752,2016
All AI research,CHN,China (People's Republic of),All works,All publication types,9768.475012635794,2017
All AI research,CHN,China (People's Republic of),All works,All publication types,14421.967556938158,2018
All AI research,CHN,China (People's Republic of),All works,All publication types,19170.152283259562,2019
All AI research,CHN,China (People's Republic of),All works,All publication types,22558.845111166702,2020
All AI research,CHN,China (People's Republic of),All works,All publication types,29356.871662458616,2021
All AI research,CHN,China (People's Republic of),All works,All publication types,33997.4071715309,2022
All AI research,CHN,China (People's Republic of),All works,All publication types,38211.3142507282,2023
All AI research,CHN,China (People's Republic of),All works,All publication types,32983.88453742076,2024
All AI research,CHN,China (People's Republic of),All works,All publication types,15997.182349256993,2025
All AI research,USA,United States,All works,All publication types,3628.9987049468677,2000
All AI research,USA,United States,All works,All publication types,3389.037307086588,2001
All AI research,USA,United States,All works,All publication types,14443.905784648427,2002
All AI research,USA,United States,All works,All publication types,8505.192255939399,2003
All AI research,USA,United States,All works,All publication types,5870.00798006976,2004
All AI research,USA,United States,All works,All publication types,8095.942336568412,2005
All AI research,USA,United States,All works,All publication types,7274.69637557883,2006
All AI research,USA,United States,All works,All publication types,6551.696186737034,2007
All AI research,USA,United States,All works,All publication types,6651.486565076669,2008
All AI research,USA,United States,All works,All publication types,6976.278957486003,2009
All AI research,USA,United States,All works,All publication types,7393.227973334247,2010
All AI research,USA,United States,All works,All publication types,7314.311969205661,2011
All AI research,USA,United States,All works,All publication types,7241.413402332494,2012
All AI research,USA,United States,All works,All publication types,7089.657709941446,2013
All AI research,USA,United States,All works,All publication types,7173.456756326883,2014
All AI research,USA,United States,All works,All publication types,7784.681482426449,2015
All AI research,USA,United States,All works,All publication types,8523.735148458798,2016
All AI research,USA,United States,All works,All publication types,9972.448674382946,2017
All AI research,USA,United States,All works,All publication types,13670.067444765547,2018
All AI research,USA,United States,All works,All publication types,17118.4483702468,2019
All AI research,USA,United States,All works,All publication types,20165.66436091591,2020
All AI research,USA,United States,All works,All publication types,20746.61549576406,2021
All AI research,USA,United States,All works,All publication types,14455.656549614472,2022
All AI research,USA,United States,All works,All publication types,15678.899826134444,2023
All AI research,USA,United States,All works,All publication types,11236.7855133607,2024
All AI research,USA,United States,All works,All publication types,5735.778218762203,2025
All AI research,IND,India,All works,All publication types,154.17979808151722,2000
All AI research,IND,India,All works,All publication types,144.16666674613953,2001
All AI research,IND,India,All works,All publication types,559.7829377862314,2002
