ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,High impact,Article,1365.7539697567622,2000
All AI research,USA,United States,High impact,Article,1359.7420664558806,2001
All AI research,USA,United States,High impact,Article,4914.048705538265,2002
All AI research,USA,United States,High impact,Article,2897.9776416762197,2003
All AI research,USA,United States,High impact,Article,2299.677780862342,2004
All AI research,USA,United States,High impact,Article,2756.3932428220196,2005
All AI research,USA,United States,High impact,Article,2761.0468309351377,2006
All AI research,USA,United States,High impact,Article,2581.9755467765644,2007
All AI research,USA,United States,High impact,Article,2603.1857486738554,2008
All AI research,USA,United States,High impact,Article,2720.279239798081,2009
All AI research,USA,United States,High impact,Article,2919.7063861623083,2010
All AI research,USA,United States,High impact,Article,2787.7753303904087,2011
All AI research,USA,United States,High impact,Article,2770.007738824379,2012
All AI research,USA,United States,High impact,Article,2777.823986918692,2013
All AI research,USA,United States,High impact,Article,2762.5881881097303,2014
All AI research,USA,United States,High impact,Article,2922.7933924934796,2015
All AI research,USA,United States,High impact,Article,3075.183943588902,2016
All AI research,USA,United States,High impact,Article,3526.6559414978656,2017
All AI research,USA,United States,High impact,Article,4756.779659260175,2018
All AI research,USA,United States,High impact,Article,5137.739703722626,2019
All AI research,USA,United States,High impact,Article,5671.994213875295,2020
All AI research,USA,United States,High impact,Article,6004.9107365678765,2021
All AI research,USA,United States,High impact,Article,4838.774667504065,2022
All AI research,USA,United States,High impact,Article,4411.448834232278,2023
All AI research,USA,United States,High impact,Article,2595.7039515415804,2024
All AI research,USA,United States,High impact,Article,366.5494940905235,2025
All AI research,CHN,China (People's Republic of),High impact,Article,72.56666688621044,2000
All AI research,CHN,China (People's Republic of),High impact,Article,81.86666708191235,2001
All AI research,CHN,China (People's Republic of),High impact,Article,301.33095363477867,2002
All AI research,CHN,China (People's Republic of),High impact,Article,326.3500012060007,2003
All AI research,CHN,China (People's Republic of),High impact,Article,340.9388897319635,2004
All AI research,CHN,China (People's Republic of),High impact,Article,536.1261917799711,2005
All AI research,CHN,China (People's Republic of),High impact,Article,690.5833346337079,2006
All AI research,CHN,China (People's Republic of),High impact,Article,740.2138292800104,2007
All AI research,CHN,China (People's Republic of),High impact,Article,975.2135991354784,2008
All AI research,CHN,China (People's Republic of),High impact,Article,1065.3419438491267,2009
All AI research,CHN,China (People's Republic of),High impact,Article,1198.0551312792759,2010
All AI research,CHN,China (People's Republic of),High impact,Article,1084.0555586998662,2011
