ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,High impact,Article,36.497968131353836,2000
All AI research,USA,United States,High impact,Article,38.216471696600074,2001
All AI research,USA,United States,High impact,Article,38.397004974771185,2002
All AI research,USA,United States,High impact,Article,36.31550922735906,2003
All AI research,USA,United States,High impact,Article,32.665877509121266,2004
All AI research,USA,United States,High impact,Article,32.42815572820914,2005
All AI research,USA,United States,High impact,Article,29.5425510845568,2006
All AI research,USA,United States,High impact,Article,28.486049646391002,2007
All AI research,USA,United States,High impact,Article,26.28949445708563,2008
All AI research,USA,United States,High impact,Article,25.813999160118648,2009
All AI research,USA,United States,High impact,Article,24.129804768934843,2010
All AI research,USA,United States,High impact,Article,24.082371471943457,2011
All AI research,USA,United States,High impact,Article,22.97998780031856,2012
All AI research,USA,United States,High impact,Article,22.6354626520593,2013
All AI research,USA,United States,High impact,Article,21.329433114802857,2014
All AI research,USA,United States,High impact,Article,21.71788810082086,2015
All AI research,USA,United States,High impact,Article,21.237458081132154,2016
All AI research,USA,United States,High impact,Article,21.828769035380933,2017
All AI research,USA,United States,High impact,Article,23.588116810714236,2018
All AI research,USA,United States,High impact,Article,21.139481881787745,2019
All AI research,USA,United States,High impact,Article,19.42330724216292,2020
All AI research,USA,United States,High impact,Article,18.17136930565713,2021
All AI research,USA,United States,High impact,Article,14.309974084230316,2022
All AI research,USA,United States,High impact,Article,13.58204681493143,2023
All AI research,USA,United States,High impact,Article,12.955200315526698,2024
All AI research,USA,United States,High impact,Article,14.568739710550892,2025
All AI research,CHN,China (People's Republic of),High impact,Article,1.9392481765095488,2000
All AI research,CHN,China (People's Republic of),High impact,Article,2.3009181245569703,2001
All AI research,CHN,China (People's Republic of),High impact,Article,2.3545159641432143,2002
All AI research,CHN,China (People's Republic of),High impact,Article,4.089599005080692,2003
All AI research,CHN,China (People's Republic of),High impact,Article,4.842881947532624,2004
All AI research,CHN,China (People's Republic of),High impact,Article,6.307366948561052,2005
All AI research,CHN,China (People's Republic of),High impact,Article,7.389079103250881,2006
All AI research,CHN,China (People's Republic of),High impact,Article,8.166525014591961,2007
All AI research,CHN,China (People's Republic of),High impact,Article,9.848652760183334,2008
All AI research,CHN,China (People's Republic of),High impact,Article,10.109526860853384,2009
All AI research,CHN,China (People's Republic of),High impact,Article,9.901282045756526,2010
All AI research,CHN,China (People's Republic of),High impact,Article,9.364681714569636,2011
All AI research,CHN,China (People's Republic of),High impact,Article,9.505034879567413,2012
All AI research,CHN,China (People's Republic of),High impact,Article,10.602314791493466,2013
All AI research,CHN,China (People's Republic of),High impact,Article,12.932626073614145,2014
All AI research,CHN,China (People's Republic of),High impact,Article,14.584036299727488,2015
All AI research,CHN,China (People's Republic of),High impact,Article,15.188148914510338,2016
All AI research,CHN,China (People's Republic of),High impact,Article,17.857151800472018,2017
All AI research,CHN,China (People's Republic of),High impact,Article,21.35926793977911,2018
All AI research,CHN,China (People's Republic of),High impact,Article,24.428900803175104,2019
All AI research,CHN,China (People's Republic of),High impact,Article,25.91515850243872,2020
All AI research,CHN,China (People's Republic of),High impact,Article,27.323497846526333,2021
All AI research,CHN,China (People's Republic of),High impact,Article,32.408476772986845,2022
All AI research,CHN,China (People's Republic of),High impact,Article,33.68899711143772,2023
All AI research,CHN,China (People's Republic of),High impact,Article,36.812173690337154,2024
All AI research,CHN,China (People's Republic of),High impact,Article,36.6156330403233,2025
All AI research,GBR,United Kingdom,High impact,Article,9.323880361572705,2000
All AI research,GBR,United Kingdom,High impact,Article,8.684654300181087,2001
All AI research,GBR,United Kingdom,High impact,Article,7.160909882557148,2002
All AI research,GBR,United Kingdom,High impact,Article,7.88467199761129,2003
All AI research,GBR,United Kingdom,High impact,Article,7.396129526870062,2004
All AI research,GBR,United Kingdom,High impact,Article,7.6205462327625755,2005
All AI research,GBR,United Kingdom,High impact,Article,8.04730632513655,2006
All AI research,GBR,United Kingdom,High impact,Article,7.967977278422244,2007
All AI research,GBR,United Kingdom,High impact,Article,7.171163378621882,2008
All AI research,GBR,United Kingdom,High impact,Article,6.553241473134753,2009
All AI research,GBR,United Kingdom,High impact,Article,6.475742888230558,2010
All AI research,GBR,United Kingdom,High impact,Article,6.10755051374911,2011
All AI research,GBR,United Kingdom,High impact,Article,5.579958673613692,2012
All AI research,GBR,United Kingdom,High impact,Article,6.096896206196442,2013
All AI research,GBR,United Kingdom,High impact,Article,5.755710568578662,2014
All AI research,GBR,United Kingdom,High impact,Article,5.477231736356077,2015
