ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,High impact,Book,24.333333373069763,2000
All AI research,USA,United States,High impact,Book,16.73333340883255,2001
All AI research,USA,United States,High impact,Book,19.666666626930237,2002
All AI research,USA,United States,High impact,Book,10.666666746139526,2003
All AI research,USA,United States,High impact,Book,12.000000049670538,2004
All AI research,USA,United States,High impact,Book,14.233333369096119,2005
All AI research,USA,United States,High impact,Book,15.950000017881393,2006
All AI research,USA,United States,High impact,Book,21.400000164906185,2007
All AI research,USA,United States,High impact,Book,24.642857168401992,2008
All AI research,USA,United States,High impact,Book,14.633333444595337,2009
All AI research,USA,United States,High impact,Book,22.633333384990692,2010
All AI research,USA,United States,High impact,Book,40.566666692495346,2011
All AI research,USA,United States,High impact,Book,23.574570534117136,2012
All AI research,USA,United States,High impact,Book,42.95138904452324,2013
All AI research,USA,United States,High impact,Book,28.550000071525574,2014
All AI research,USA,United States,High impact,Book,22.33333346247673,2015
All AI research,USA,United States,High impact,Book,6.066666692495346,2016
All AI research,USA,United States,High impact,Book,22.138095289468765,2017
All AI research,USA,United States,High impact,Book,25.44166672229767,2018
All AI research,USA,United States,High impact,Book,13.019047566822596,2019
All AI research,USA,United States,High impact,Book,24.369047701358795,2020
All AI research,USA,United States,High impact,Book,21.500000029802322,2021
All AI research,USA,United States,High impact,Book,11.166666686534882,2022
All AI research,USA,United States,High impact,Book,12.56666675209999,2023
All AI research,USA,United States,High impact,Book,6.333333343267441,2024
All AI research,DEU,Germany,High impact,Book,4,2000
All AI research,DEU,Germany,High impact,Book,15.066666692495346,2001
All AI research,DEU,Germany,High impact,Book,12.666666626930237,2002
All AI research,DEU,Germany,High impact,Book,7.5,2003
All AI research,DEU,Germany,High impact,Book,8.333333412806194,2004
All AI research,DEU,Germany,High impact,Book,6.5666666726271306,2005
All AI research,DEU,Germany,High impact,Book,7.166666686534882,2006
All AI research,DEU,Germany,High impact,Book,4.333333392937979,2007
All AI research,DEU,Germany,High impact,Book,6.066666692495346,2008
All AI research,DEU,Germany,High impact,Book,10.300000071525574,2009
All AI research,DEU,Germany,High impact,Book,16.78571429848671,2010
All AI research,DEU,Germany,High impact,Book,14.000000079472859,2011
All AI research,DEU,Germany,High impact,Book,12.101546523766112,2012
All AI research,DEU,Germany,High impact,Book,12.722222223877907,2013
All AI research,DEU,Germany,High impact,Book,19.16666668653488,2014
All AI research,DEU,Germany,High impact,Book,5.5,2015
All AI research,DEU,Germany,High impact,Book,9.696969747543335,2016
All AI research,DEU,Germany,High impact,Book,4.28571429848671,2017
All AI research,DEU,Germany,High impact,Book,7.4416667222976685,2018
