ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,High impact,Book,33.79629629552978,2000
All AI research,USA,United States,High impact,Book,19.920634961041507,2001
All AI research,USA,United States,High impact,Book,22.868217039757297,2002
All AI research,USA,United States,High impact,Book,14.814814888400797,2003
All AI research,USA,United States,High impact,Book,17.64705882696682,2004
All AI research,USA,United States,High impact,Book,22.239583275295445,2005
All AI research,USA,United States,High impact,Book,24.16666661737242,2006
All AI research,USA,United States,High impact,Book,29.722222315929375,2007
All AI research,USA,United States,High impact,Book,26.21580541518383,2008
All AI research,USA,United States,High impact,Book,13.549382721857906,2009
All AI research,USA,United States,High impact,Book,17.146464596560353,2010
All AI research,USA,United States,High impact,Book,31.205128117690425,2011
All AI research,USA,United States,High impact,Book,17.859523045843872,2012
All AI research,USA,United States,High impact,Book,27.532941603158818,2013
All AI research,USA,United States,High impact,Book,20.105633798331183,2014
All AI research,USA,United States,High impact,Book,19.252873654763377,2015
All AI research,USA,United States,High impact,Book,7.222222200442086,2016
All AI research,USA,United States,High impact,Book,19.76615638222339,2017
All AI research,USA,United States,High impact,Book,17.667824013980056,2018
All AI research,USA,United States,High impact,Book,12.76377207958411,2019
All AI research,USA,United States,High impact,Book,20.65173523581768,2020
All AI research,USA,United States,High impact,Book,24.431818116394695,2021
All AI research,USA,United States,High impact,Book,19.9404761728951,2022
All AI research,USA,United States,High impact,Book,17.453703710382015,2023
All AI research,USA,United States,High impact,Book,52.77777759841195,2024
All AI research,DEU,Germany,High impact,Book,5.555555546357308,2000
All AI research,DEU,Germany,High impact,Book,17.936507922710565,2001
All AI research,DEU,Germany,High impact,Book,14.728682144753714,2002
All AI research,DEU,Germany,High impact,Book,10.416666640796596,2003
All AI research,DEU,Germany,High impact,Book,12.254902029317625,2004
All AI research,DEU,Germany,High impact,Book,10.260416623423225,2005
All AI research,DEU,Germany,High impact,Book,10.858585854366828,2006
All AI research,DEU,Germany,High impact,Book,6.018518573899635,2007
All AI research,DEU,Germany,High impact,Book,6.453900716235343,2008
All AI research,DEU,Germany,High impact,Book,9.537037034839678,2009
All AI research,DEU,Germany,High impact,Book,12.716450160091945,2010
All AI research,DEU,Germany,High impact,Book,10.769230793331266,2011
All AI research,DEU,Germany,High impact,Book,9.167838231401598,2012
All AI research,DEU,Germany,High impact,Book,8.155270629067216,2013
All AI research,DEU,Germany,High impact,Book,13.497652559324578,2014
All AI research,DEU,Germany,High impact,Book,4.741379305472272,2015
All AI research,DEU,Germany,High impact,Book,11.544011520256515,2016
All AI research,DEU,Germany,High impact,Book,3.8265305992118126,2017
All AI research,DEU,Germany,High impact,Book,5.167824083829247,2018
All AI research,DEU,Germany,High impact,Book,5.718954267271755,2019
All AI research,DEU,Germany,High impact,Book,4.802259879585748,2020
All AI research,DEU,Germany,High impact,Book,6.818181790473047,2021
All AI research,DEU,Germany,High impact,Book,3.5714285619252797,2022
All AI research,DEU,Germany,High impact,Book,5.902777739906868,2023
All AI research,DEU,Germany,High impact,Book,36.11111101452951,2024
All AI research,DEU,Germany,High impact,Book,16.666666666666668,2025
All AI research,GBR,United Kingdom,High impact,Book,13.055555542218096,2000
All AI research,GBR,United Kingdom,High impact,Book,8.333333312637276,2001
All AI research,GBR,United Kingdom,High impact,Book,13.953488391434714,2002
All AI research,GBR,United Kingdom,High impact,Book,8.796296329639944,2003
All AI research,GBR,United Kingdom,High impact,Book,10.049019582814514,2004
All AI research,GBR,United Kingdom,High impact,Book,12.708333333430344,2005
All AI research,GBR,United Kingdom,High impact,Book,14.217171750502061,2006
All AI research,GBR,United Kingdom,High impact,Book,13.888888825650936,2007
All AI research,GBR,United Kingdom,High impact,Book,5.851063811236671,2008
All AI research,GBR,United Kingdom,High impact,Book,14.259259245257482,2009
All AI research,GBR,United Kingdom,High impact,Book,6.28787880941295,2010
All AI research,GBR,United Kingdom,High impact,Book,6.538461515977538,2011
All AI research,GBR,United Kingdom,High impact,Book,8.333333383485996,2012
All AI research,GBR,United Kingdom,High impact,Book,5.484330511632679,2013
All AI research,GBR,United Kingdom,High impact,Book,6.983568070055233,2014
All AI research,GBR,United Kingdom,High impact,Book,7.758620655990242,2015
All AI research,GBR,United Kingdom,High impact,Book,12.337662331787575,2016
All AI research,GBR,United Kingdom,High impact,Book,3.677721111831573,2017
All AI research,GBR,United Kingdom,High impact,Book,12.465277782628416,2018
All AI research,GBR,United Kingdom,High impact,Book,5.018674236988126,2019
All AI research,GBR,United Kingdom,High impact,Book,4.378531068166782,2020
All AI research,GBR,United Kingdom,High impact,Book,6.899350650340248,2021
All AI research,GBR,United Kingdom,High impact,Book,11.458333325017954,2022
All AI research,GBR,United Kingdom,High impact,Book,11.111111122608921,2023
All AI research,CHN,China (People's Republic of),High impact,Book,2.3809523750392216,2001
All AI research,CHN,China (People's Republic of),High impact,Book,4.411764688480478,2004
All AI research,CHN,China (People's Republic of),High impact,Book,2.0833333847501003,2005
All AI research,CHN,China (People's Republic of),High impact,Book,4.040404102891309,2006
All AI research,CHN,China (People's Republic of),High impact,Book,3.842592635805193,2007
