ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,DEU,Germany,High impact,Dataset,2,2013
All AI research,DEU,Germany,High impact,Dataset,2,2019
All AI research,DEU,Germany,High impact,Dataset,4.6500000059604645,2020
All AI research,DEU,Germany,High impact,Dataset,2,2022
All AI research,DEU,Germany,High impact,Dataset,2,2023
All AI research,USA,United States,High impact,Dataset,2,2012
All AI research,USA,United States,High impact,Dataset,2,2018
All AI research,USA,United States,High impact,Dataset,2.25,2020
All AI research,USA,United States,High impact,Dataset,2.25,2021
All AI research,USA,United States,High impact,Dataset,0.4000000059604645,2022
All AI research,GBR,United Kingdom,High impact,Dataset,1,2013
All AI research,GBR,United Kingdom,High impact,Dataset,1,2017
All AI research,GBR,United Kingdom,High impact,Dataset,1.300000011920929,2020
All AI research,GBR,United Kingdom,High impact,Dataset,1.5,2021
All AI research,GBR,United Kingdom,High impact,Dataset,1.5,2023
All AI research,IND,India,High impact,Dataset,1.600000023841858,2020
All AI research,JPN,Japan,High impact,Dataset,1,2014
All AI research,FRA,France,High impact,Dataset,1,2017
