ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,High impact,Dataset,100,2012
All AI research,USA,United States,High impact,Dataset,50,2018
All AI research,USA,United States,High impact,Dataset,11.249999916180968,2020
All AI research,USA,United States,High impact,Dataset,56.25,2021
All AI research,USA,United States,High impact,Dataset,6.66666673289405,2022
All AI research,DEU,Germany,High impact,Dataset,50,2013
All AI research,DEU,Germany,High impact,Dataset,33.333333333333336,2019
All AI research,DEU,Germany,High impact,Dataset,23.249999856576324,2020
All AI research,DEU,Germany,High impact,Dataset,33.33333316776488,2022
All AI research,DEU,Germany,High impact,Dataset,50,2023
All AI research,GBR,United Kingdom,High impact,Dataset,25,2013
All AI research,GBR,United Kingdom,High impact,Dataset,16.66666650109821,2017
All AI research,GBR,United Kingdom,High impact,Dataset,6.500000011175871,2020
All AI research,GBR,United Kingdom,High impact,Dataset,37.5,2021
All AI research,GBR,United Kingdom,High impact,Dataset,37.5,2023
All AI research,JPN,Japan,High impact,Dataset,50,2014
All AI research,FRA,France,High impact,Dataset,16.66666650109821,2017
All AI research,IND,India,High impact,Dataset,8.000000059604645,2020
