ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,High impact,Dissertation,2,2004
All AI research,USA,United States,High impact,Dissertation,6.000000059604645,2005
All AI research,USA,United States,High impact,Dissertation,6,2006
All AI research,USA,United States,High impact,Dissertation,6,2007
All AI research,USA,United States,High impact,Dissertation,8.666666686534882,2008
All AI research,USA,United States,High impact,Dissertation,6,2010
All AI research,USA,United States,High impact,Dissertation,4,2011
All AI research,USA,United States,High impact,Dissertation,4,2012
All AI research,USA,United States,High impact,Dissertation,2,2013
All AI research,USA,United States,High impact,Dissertation,2,2014
All AI research,USA,United States,High impact,Dissertation,4,2017
All AI research,USA,United States,High impact,Dissertation,4.000000014901161,2018
All AI research,USA,United States,High impact,Dissertation,2,2019
All AI research,USA,United States,High impact,Dissertation,2.0000000596046448,2023
All AI research,CAN,Canada,High impact,Dissertation,0,2004
All AI research,CAN,Canada,High impact,Dissertation,4,2008
All AI research,CAN,Canada,High impact,Dissertation,2,2010
All AI research,CAN,Canada,High impact,Dissertation,2,2013
All AI research,GBR,United Kingdom,High impact,Dissertation,0.6666666865348816,2008
All AI research,GBR,United Kingdom,High impact,Dissertation,2,2011
All AI research,GBR,United Kingdom,High impact,Dissertation,2,2013
