ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,High impact,Dissertation,100,2004
All AI research,USA,United States,High impact,Dissertation,100,2005
All AI research,USA,United States,High impact,Dissertation,75,2006
All AI research,USA,United States,High impact,Dissertation,100,2007
All AI research,USA,United States,High impact,Dissertation,61.904761783119774,2008
All AI research,USA,United States,High impact,Dissertation,60,2010
All AI research,USA,United States,High impact,Dissertation,66.66666666666667,2011
All AI research,USA,United States,High impact,Dissertation,100,2012
All AI research,USA,United States,High impact,Dissertation,25,2013
All AI research,USA,United States,High impact,Dissertation,33.333333333333336,2014
All AI research,USA,United States,High impact,Dissertation,100,2017
All AI research,USA,United States,High impact,Dissertation,100,2018
All AI research,USA,United States,High impact,Dissertation,100,2019
All AI research,USA,United States,High impact,Dissertation,100,2023
All AI research,CAN,Canada,High impact,Dissertation,0,2004
All AI research,CAN,Canada,High impact,Dissertation,28.57142844978644,2008
All AI research,CAN,Canada,High impact,Dissertation,20,2010
All AI research,CAN,Canada,High impact,Dissertation,25,2013
All AI research,GBR,United Kingdom,High impact,Dissertation,4.761904883546894,2008
All AI research,GBR,United Kingdom,High impact,Dissertation,33.333333333333336,2011
All AI research,GBR,United Kingdom,High impact,Dissertation,25,2013
