ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,High impact,All publication types,1526.7292948106926,2000
All AI research,USA,United States,High impact,All publication types,1506.269050819675,2001
All AI research,USA,United States,High impact,All publication types,5151.448705812446,2002
All AI research,USA,United States,High impact,All publication types,3077.4776421053734,2003
All AI research,USA,United States,High impact,All publication types,2519.941669877683,2004
All AI research,USA,United States,High impact,All publication types,3067.359910193512,2005
All AI research,USA,United States,High impact,All publication types,3077.926196558135,2006
All AI research,USA,United States,High impact,All publication types,2894.5088808827713,2007
All AI research,USA,United States,High impact,All publication types,2853.6952728744986,2008
All AI research,USA,United States,High impact,All publication types,2959.1578116404794,2009
All AI research,USA,United States,High impact,All publication types,3140.169085227914,2010
All AI research,USA,United States,High impact,All publication types,3086.798346768692,2011
All AI research,USA,United States,High impact,All publication types,3155.96802439608,2012
All AI research,USA,United States,High impact,All publication types,3156.847599787478,2013
All AI research,USA,United States,High impact,All publication types,3125.6151249308737,2014
All AI research,USA,United States,High impact,All publication types,3466.736107010133,2015
All AI research,USA,United States,High impact,All publication types,3761.9597401058863,2016
All AI research,USA,United States,High impact,All publication types,4461.444988830612,2017
All AI research,USA,United States,High impact,All publication types,5913.314816880373,2018
All AI research,USA,United States,High impact,All publication types,6905.5130005704095,2019
All AI research,USA,United States,High impact,All publication types,7494.118505660602,2020
All AI research,USA,United States,High impact,All publication types,6964.328121697151,2021
All AI research,USA,United States,High impact,All publication types,5444.049484750415,2022
All AI research,USA,United States,High impact,All publication types,4935.133500973799,2023
All AI research,USA,United States,High impact,All publication types,2963.10330707442,2024
All AI research,USA,United States,High impact,All publication types,435.08895160966307,2025
All AI research,CHN,China (People's Republic of),High impact,All publication types,74.56666688621044,2000
All AI research,CHN,China (People's Republic of),High impact,All publication types,85.86666708191235,2001
All AI research,CHN,China (People's Republic of),High impact,All publication types,309.3309536943833,2002
All AI research,CHN,China (People's Republic of),High impact,All publication types,331.51666789253557,2003
All AI research,CHN,China (People's Republic of),High impact,All publication types,377.5222231050333,2004
All AI research,CHN,China (People's Republic of),High impact,All publication types,627.2595252841711,2005
All AI research,CHN,China (People's Republic of),High impact,All publication types,820.1000019997357,2006
