ai_concept,Country/territory,Country/territory_label,impact_level,pub_type,publications,year
All AI research,USA,United States,High impact,All publication types,35.472334854769926,2000
All AI research,USA,United States,High impact,All publication types,36.36574232148688,2001
All AI research,USA,United States,High impact,All publication types,37.4269739668797,2002
All AI research,USA,United States,High impact,All publication types,34.5939482498149,2003
All AI research,USA,United States,High impact,All publication types,31.350356621939763,2004
All AI research,USA,United States,High impact,All publication types,30.86496179645249,2005
All AI research,USA,United States,High impact,All publication types,28.201632662986807,2006
All AI research,USA,United States,High impact,All publication types,27.122459455250848,2007
All AI research,USA,United States,High impact,All publication types,25.222691042376216,2008
All AI research,USA,United States,High impact,All publication types,24.762826800988986,2009
All AI research,USA,United States,High impact,All publication types,23.031898747856662,2010
All AI research,USA,United States,High impact,All publication types,23.149830037035326,2011
All AI research,USA,United States,High impact,All publication types,22.53618975691722,2012
All AI research,USA,United States,High impact,All publication types,22.25953735656977,2013
All AI research,USA,United States,High impact,All publication types,20.923919615406376,2014
All AI research,USA,United States,High impact,All publication types,22.134696032244022,2015
All AI research,USA,United States,High impact,All publication types,22.066868390387953,2016
All AI research,USA,United States,High impact,All publication types,23.106717260746105,2017
All AI research,USA,United States,High impact,All publication types,24.3426427911086,2018
All AI research,USA,United States,High impact,All publication types,22.95257915362847,2019
All AI research,USA,United States,High impact,All publication types,21.262323276304034,2020
All AI research,USA,United States,High impact,All publication types,18.678131414461454,2021
All AI research,USA,United States,High impact,All publication types,14.787986772420968,2022
All AI research,USA,United States,High impact,All publication types,13.97025837141,2023
All AI research,USA,United States,High impact,All publication types,13.682597379115931,2024
All AI research,USA,United States,High impact,All publication types,15.57226013404563,2025
All AI research,CHN,China (People's Republic of),High impact,All publication types,1.7324969041874023,2000
All AI research,CHN,China (People's Republic of),High impact,All publication types,2.0730725944388744,2001
All AI research,CHN,China (People's Republic of),High impact,All publication types,2.2473914062284877,2002
All AI research,CHN,China (People's Republic of),High impact,All publication types,3.7265812417664237,2003
All AI research,CHN,China (People's Republic of),High impact,All publication types,4.696718367939361,2004
All AI research,CHN,China (People's Republic of),High impact,All publication types,6.3117279521122365,2005
All AI research,CHN,China (People's Republic of),High impact,All publication types,7.514201941935502,2006
All AI research,CHN,China (People's Republic of),High impact,All publication types,7.741348242858428,2007
All AI research,CHN,China (People's Republic of),High impact,All publication types,9.017561690023719,2008
All AI research,CHN,China (People's Republic of),High impact,All publication types,9.390030185824127,2009
All AI research,CHN,China (People's Republic of),High impact,All publication types,9.167071004959721,2010
All AI research,CHN,China (People's Republic of),High impact,All publication types,8.706106359302595,2011
All AI research,CHN,China (People's Republic of),High impact,All publication types,8.615421101727721,2012
All AI research,CHN,China (People's Republic of),High impact,All publication types,9.913656477690004,2013
All AI research,CHN,China (People's Republic of),High impact,All publication types,11.895934404440583,2014
All AI research,CHN,China (People's Republic of),High impact,All publication types,13.559113366521872,2015
All AI research,CHN,China (People's Republic of),High impact,All publication types,14.099914866601358,2016
