Country destination,Country destination_label,Country source,Country source_label,Sum_of_deals,year
CHN,China (People's Republic of),USA,United States,0.61,2012
EU27,EU27,USA,United States,1.2145025,2012
FRA,France,USA,United States,1.2145025,2012
GBR,United Kingdom,USA,United States,31.866021,2012
ISR,Israel,USA,United States,11.5,2012
SGP,Singapore,USA,United States,0.75,2012
USA,United States,USA,United States,328.455107,2012
CAN,Canada,USA,United States,3.6666666666666665,2013
CHN,China (People's Republic of),USA,United States,0,2013
EU27,EU27,USA,United States,0.6,2013
USA,United States,USA,United States,263.2225,2013
CAN,Canada,USA,United States,9.32,2014
CHN,China (People's Republic of),USA,United States,82.4072525,2014
EU27,EU27,USA,United States,10.7396795,2014
FRA,France,USA,United States,10.529679499999999,2014
SGP,Singapore,USA,United States,1.2,2014
USA,United States,USA,United States,1139.4042961666667,2014
CHN,China (People's Republic of),USA,United States,156.33333333333331,2015
EU27,EU27,USA,United States,37.794349,2015
GBR,United Kingdom,USA,United States,0.95,2015
ISR,Israel,USA,United States,15.4,2015
SGP,Singapore,USA,United States,5.5,2015
USA,United States,USA,United States,1187.7408333333333,2015
CHE,Switzerland,USA,United States,77.291296,2016
CHN,China (People's Republic of),USA,United States,102.39362025,2016
EU27,EU27,USA,United States,27.5,2016
GBR,United Kingdom,USA,United States,1.7314806666666667,2016
ISR,Israel,USA,United States,17.975,2016
SGP,Singapore,USA,United States,9.129999999999999,2016
USA,United States,USA,United States,794.76,2016
CAN,Canada,USA,United States,5.6936235,2017
CHN,China (People's Republic of),USA,United States,226.98575566666665,2017
EU27,EU27,USA,United States,84.3662255,2017
FRA,France,USA,United States,1.040555,2017
GBR,United Kingdom,USA,United States,10.166017166666666,2017
ISR,Israel,USA,United States,66.15,2017
SGP,Singapore,USA,United States,7.871666666666666,2017
USA,United States,USA,United States,1231.1724916666667,2017
CAN,Canada,USA,United States,41.629444,2018
CHE,Switzerland,USA,United States,66.100573,2018
CHN,China (People's Republic of),USA,United States,596.686146,2018
EU27,EU27,USA,United States,187.47297500000002,2018
FRA,France,USA,United States,1.134785,2018
GBR,United Kingdom,USA,United States,31.28356433333333,2018
ISR,Israel,USA,United States,130.85833333333335,2018
SGP,Singapore,USA,United States,12.666666666666666,2018
USA,United States,USA,United States,1964.6885776666666,2018
USA,United States,USA,United States,1529.5897123333334,2019
SGP,Singapore,USA,United States,13.455,2019
CAN,Canada,USA,United States,33.41852791666666,2019
CHE,Switzerland,USA,United States,14,2019
CHN,China (People's Republic of),USA,United States,179.87359516666666,2019
EU27,EU27,USA,United States,15.889825666666667,2019
FRA,France,USA,United States,0.769145,2019
GBR,United Kingdom,USA,United States,13.687974333333333,2019
ISR,Israel,USA,United States,161.25,2019
KOR,Korea,USA,United States,9.956085,2019
USA,United States,USA,United States,2030.1662465,2020
CAN,Canada,USA,United States,5.4611405,2020
CHE,Switzerland,USA,United States,37.48790866666667,2020
CHN,China (People's Republic of),USA,United States,537.5718183333333,2020
EU27,EU27,USA,United States,9.725768333333335,2020
FRA,France,USA,United States,2.068134,2020
GBR,United Kingdom,USA,United States,20.0839535,2020
ISR,Israel,USA,United States,72.86666666666667,2020
SGP,Singapore,USA,United States,2.5875,2020
CAN,Canada,USA,United States,135.33144041666665,2021
CHE,Switzerland,USA,United States,76.1002945,2021
CHN,China (People's Republic of),USA,United States,1239.2454686166666,2021
EU27,EU27,USA,United States,115.64387831666666,2021
FRA,France,USA,United States,3.1982855,2021
GBR,United Kingdom,USA,United States,340.3477594166667,2021
ISR,Israel,USA,United States,271.8333333333333,2021
KOR,Korea,USA,United States,53.3031035,2021
SGP,Singapore,USA,United States,82.90318916666666,2021
USA,United States,USA,United States,3362.334502166667,2021
GBR,United Kingdom,USA,United States,164.58126586666668,2022
CHE,Switzerland,USA,United States,74.80824466666667,2022
CHN,China (People's Republic of),USA,United States,691.5415743333333,2022
EU27,EU27,USA,United States,283.14056345,2022
FRA,France,USA,United States,11.860863833333333,2022
CAN,Canada,USA,United States,40.09654966666667,2022
ISR,Israel,USA,United States,422.49999999999994,2022
SGP,Singapore,USA,United States,12.6220175,2022
USA,United States,USA,United States,3390.069023,2022
CAN,Canada,USA,United States,28.3,2023
CHN,China (People's Republic of),USA,United States,67.0091065,2023
EU27,EU27,USA,United States,191.5150039166667,2023
FRA,France,USA,United States,110.81068718333333,2023
GBR,United Kingdom,USA,United States,87.65980083333334,2023
ISR,Israel,USA,United States,28.166666666666664,2023
KOR,Korea,USA,United States,11.5579645,2023
SGP,Singapore,USA,United States,150.05533333333335,2023
USA,United States,USA,United States,4817.596729166667,2023
CHE,Switzerland,USA,United States,16.68283016666667,2024
CAN,Canada,USA,United States,62.268344166666665,2024
CHN,China (People's Republic of),USA,United States,43.54351366666667,2024
EU27,EU27,USA,United States,184.5726582,2024
FRA,France,USA,United States,117.87447633333332,2024
GBR,United Kingdom,USA,United States,156.54993216666668,2024
ISR,Israel,USA,United States,20.03333333333333,2024
KOR,Korea,USA,United States,3.0539145000000003,2024
SGP,Singapore,USA,United States,950.2698,2024
USA,United States,USA,United States,7350.75542505,2024
CAN,Canada,USA,United States,17.927348000000002,2025
CHE,Switzerland,USA,United States,82.4558875,2025
CHN,China (People's Republic of),USA,United States,130.48703466666666,2025
EU27,EU27,USA,United States,639.4842920380953,2025
FRA,France,USA,United States,396.77113713333335,2025
GBR,United Kingdom,USA,United States,632.6486616333334,2025
ISR,Israel,USA,United States,85.71666666666667,2025
KOR,Korea,USA,United States,7.5485435,2025
SGP,Singapore,USA,United States,8.066666666666666,2025
USA,United States,USA,United States,24485.01152328333,2025
CHN,China (People's Republic of),CHN,China (People's Republic of),50.443181,2012
CHN,China (People's Republic of),CHN,China (People's Republic of),28.415496,2013
EU27,EU27,CHN,China (People's Republic of),1.29072,2013
USA,United States,CHN,China (People's Republic of),9.5,2013
CHN,China (People's Republic of),CHN,China (People's Republic of),617.2960015,2014
GBR,United Kingdom,CHN,China (People's Republic of),12,2014
ISR,Israel,CHN,China (People's Republic of),2,2014
USA,United States,CHN,China (People's Republic of),335.0733333333333,2014
CHN,China (People's Republic of),CHN,China (People's Republic of),565.8128953333332,2015
USA,United States,CHN,China (People's Republic of),310.215,2015
SGP,Singapore,CHN,China (People's Republic of),9.02,2016
EU27,EU27,CHN,China (People's Republic of),21.754078,2016
FRA,France,CHN,China (People's Republic of),21.754078,2016
ISR,Israel,CHN,China (People's Republic of),1.75,2016
CHN,China (People's Republic of),CHN,China (People's Republic of),1063.4400972499998,2016
USA,United States,CHN,China (People's Republic of),30.906944,2016
CHN,China (People's Republic of),CHN,China (People's Republic of),1897.2385936666667,2017
GBR,United Kingdom,CHN,China (People's Republic of),12.944291,2017
SGP,Singapore,CHN,China (People's Republic of),44.348271,2017
USA,United States,CHN,China (People's Republic of),140.63627833333334,2017
CHN,China (People's Republic of),CHN,China (People's Republic of),3453.9240375,2018
SGP,Singapore,CHN,China (People's Republic of),15.233333333333333,2018
USA,United States,CHN,China (People's Republic of),272.66564766666664,2018
CHN,China (People's Republic of),CHN,China (People's Republic of),1887.6021916666666,2019
EU27,EU27,CHN,China (People's Republic of),2.75,2019
GBR,United Kingdom,CHN,China (People's Republic of),0.925408,2019
ISR,Israel,CHN,China (People's Republic of),5,2019
USA,United States,CHN,China (People's Republic of),16.5,2019
USA,United States,CHN,China (People's Republic of),181.90882183333332,2020
SGP,Singapore,CHN,China (People's Republic of),1.64,2020
ISR,Israel,CHN,China (People's Republic of),124,2020
CHN,China (People's Republic of),CHN,China (People's Republic of),4862.687883833333,2020
CAN,Canada,CHN,China (People's Republic of),76.977275,2020
CHN,China (People's Republic of),CHN,China (People's Republic of),7814.788423116666,2021
CHE,Switzerland,CHN,China (People's Republic of),2.1891815,2021
CAN,Canada,CHN,China (People's Republic of),79.121724,2021
GBR,United Kingdom,CHN,China (People's Republic of),30.963579333333335,2021
SGP,Singapore,CHN,China (People's Republic of),75.6565225,2021
USA,United States,CHN,China (People's Republic of),152.99416916666667,2021
CAN,Canada,CHN,China (People's Republic of),2.1185376666666667,2022
CHN,China (People's Republic of),CHN,China (People's Republic of),5378.290159583334,2022
EU27,EU27,CHN,China (People's Republic of),6.793243333333333,2022
FRA,France,CHN,China (People's Republic of),0.0375,2022
GBR,United Kingdom,CHN,China (People's Republic of),23.424004666666665,2022
ISR,Israel,CHN,China (People's Republic of),5.833333333333333,2022
SGP,Singapore,CHN,China (People's Republic of),8.832017500000001,2022
USA,United States,CHN,China (People's Republic of),203.10978749999998,2022
CAN,Canada,CHN,China (People's Republic of),5,2023
CHN,China (People's Republic of),CHN,China (People's Republic of),2706.7045575,2023
EU27,EU27,CHN,China (People's Republic of),0.875,2023
GBR,United Kingdom,CHN,China (People's Republic of),6.817419833333333,2023
KOR,Korea,CHN,China (People's Republic of),5.88845,2023
SGP,Singapore,CHN,China (People's Republic of),132.63333333333333,2023
USA,United States,CHN,China (People's Republic of),97.39327766666668,2023
CHE,Switzerland,CHN,China (People's Republic of),2.3307015,2024
CHN,China (People's Republic of),CHN,China (People's Republic of),1956.9168121666664,2024
EU27,EU27,CHN,China (People's Republic of),1.25,2024
ISR,Israel,CHN,China (People's Republic of),4,2024
SGP,Singapore,CHN,China (People's Republic of),242.9098,2024
USA,United States,CHN,China (People's Republic of),194.938761,2024
CHN,China (People's Republic of),CHN,China (People's Republic of),2175.7362381666667,2025
GBR,United Kingdom,CHN,China (People's Republic of),13.1564955,2025
ISR,Israel,CHN,China (People's Republic of),22,2025
SGP,Singapore,CHN,China (People's Republic of),10,2025
USA,United States,CHN,China (People's Republic of),223.00120353333332,2025
GBR,United Kingdom,GBR,United Kingdom,31.075,2012
USA,United States,GBR,United Kingdom,26.1875,2012
GBR,United Kingdom,GBR,United Kingdom,11.875392999999999,2013
USA,United States,GBR,United Kingdom,5.02,2013
EU27,EU27,GBR,United Kingdom,9.074240999999999,2014
FRA,France,GBR,United Kingdom,9.074240999999999,2014
GBR,United Kingdom,GBR,United Kingdom,3.2438130000000003,2014
USA,United States,GBR,United Kingdom,180.13333333333335,2014
CHN,China (People's Republic of),GBR,United Kingdom,0,2015
EU27,EU27,GBR,United Kingdom,24.287197499999998,2015
FRA,France,GBR,United Kingdom,23.761176,2015
GBR,United Kingdom,GBR,United Kingdom,3.618293,2015
KOR,Korea,GBR,United Kingdom,3.31007,2015
USA,United States,GBR,United Kingdom,40,2015
GBR,United Kingdom,GBR,United Kingdom,4.8730356666666665,2016
USA,United States,GBR,United Kingdom,26.424999999999997,2016
ISR,Israel,GBR,United Kingdom,5,2017
GBR,United Kingdom,GBR,United Kingdom,17.349558166666668,2017
SGP,Singapore,GBR,United Kingdom,1.5,2017
USA,United States,GBR,United Kingdom,128.96666666666664,2017
GBR,United Kingdom,GBR,United Kingdom,28.452754333333335,2018
ISR,Israel,GBR,United Kingdom,2.25,2018
SGP,Singapore,GBR,United Kingdom,0.04,2018
USA,United States,GBR,United Kingdom,163.86469166666666,2018
CHE,Switzerland,GBR,United Kingdom,14,2019
EU27,EU27,GBR,United Kingdom,3.8971986666666667,2019
GBR,United Kingdom,GBR,United Kingdom,34.61361433333333,2019
ISR,Israel,GBR,United Kingdom,16.25,2019
SGP,Singapore,GBR,United Kingdom,0.8833333333333333,2019
USA,United States,GBR,United Kingdom,452.199958,2019
CHN,China (People's Republic of),GBR,United Kingdom,135,2020
EU27,EU27,GBR,United Kingdom,3.68460925,2020
GBR,United Kingdom,GBR,United Kingdom,14.89991975,2020
SGP,Singapore,GBR,United Kingdom,0.9974999999999999,2020
USA,United States,GBR,United Kingdom,137.7503463333333,2020
CHN,China (People's Republic of),GBR,United Kingdom,67.5,2021
EU27,EU27,GBR,United Kingdom,30.286421649999998,2021
GBR,United Kingdom,GBR,United Kingdom,413.54038225,2021
CHE,Switzerland,GBR,United Kingdom,125,2021
ISR,Israel,GBR,United Kingdom,60.41666666666666,2021
KOR,Korea,GBR,United Kingdom,1.724564,2021
SGP,Singapore,GBR,United Kingdom,75,2021
USA,United States,GBR,United Kingdom,462.44983833333333,2021
CHE,Switzerland,GBR,United Kingdom,52.5,2022
CHN,China (People's Republic of),GBR,United Kingdom,133.18871566666667,2022
EU27,EU27,GBR,United Kingdom,28.79362575,2022
FRA,France,GBR,United Kingdom,0.8333333333333333,2022
GBR,United Kingdom,GBR,United Kingdom,210.03471595000002,2022
ISR,Israel,GBR,United Kingdom,99.16666666666666,2022
KOR,Korea,GBR,United Kingdom,8.35,2022
