Date,Country,AI_projects_fractional_count_based_on_contributions
2011,ARE,1.001389366
2012,ARE,2.051741375
2013,ARE,3.327467214
2014,ARE,14.0832739
2015,ARE,35.36963104
2016,ARE,81.52124208
2017,ARE,199.1280344
2018,ARE,309.6617022
2019,ARE,436.0768359
2020,ARE,586.5167986
2021,ARE,638.0949602
2022,ARE,653.0063057
2023,ARE,825.7055729816176
2011,CAN,56.57073777
2012,CAN,172.9172849
2013,CAN,320.9009952
2014,CAN,600.0984041
2015,CAN,1185.652167
2016,CAN,2127.645563
2017,CAN,4330.486185
2018,CAN,5654.005044
2019,CAN,6834.042664
2020,CAN,9439.298707
2021,CAN,7994.255662
2022,CAN,7294.801032
2023,CAN,7472.325284154411
2011,CHN,25.83986728
2012,CHN,106.6257284
2013,CHN,364.3291277
2014,CHN,661.2069585
2015,CHN,1235.953719
2016,CHN,2779.604994
2017,CHN,6599.978209
2018,CHN,7819.024924
2019,CHN,7264.331769
2020,CHN,5762.306754
2021,CHN,5319.723245
2022,CHN,5518.969349
2023,CHN,5883.067385955882
2011,DEU,84.53518609
2012,DEU,145.7399782
2013,DEU,301.9328724
2014,DEU,608.9858401
2015,DEU,1108.910807
2016,DEU,2024.56201
2017,DEU,3875.256742
2018,DEU,5009.944623
2019,DEU,5920.869102
2020,DEU,8000.778329
2021,DEU,7220.405026
2022,DEU,7174.051602
2023,DEU,6712.966978823529
2011,FRA,60.30343814
2012,FRA,83.48693396
2013,FRA,145.572553
2014,FRA,346.035281
2015,FRA,645.3487384
2016,FRA,1171.403229
2017,FRA,2193.421057
2018,FRA,3039.797333
2019,FRA,3719.170145
2020,FRA,5025.339387
2021,FRA,4888.390046
2022,FRA,4951.470364
2023,FRA,4823.618661047794
2011,GBR,102.9594625
2012,GBR,197.5770644
2013,GBR,495.1905288
2014,GBR,884.0106632
2015,GBR,1629.530487
2016,GBR,2673.349406
2017,GBR,4939.19826
2018,GBR,6000.90406
2019,GBR,7013.762968
2020,GBR,8881.754615
2021,GBR,8497.699407
2022,GBR,9037.777227
2023,GBR,9481.534070569853
2011,IND,17.09476324
2012,IND,61.93527906
2013,IND,189.3669453
2014,IND,624.694609
2015,IND,1491.013463
2016,IND,3570.077522
2017,IND,10406.60472
2018,IND,21709.21417
2019,IND,30875.83634
2020,IND,57303.05117
2021,IND,56231.87037
2022,IND,52338.2476
2023,IND,70919.34621691176
2011,JPN,71.66269123
2012,JPN,129.7595769
2013,JPN,206.9643078
2014,JPN,384.2471675
2015,JPN,813.3623715
2016,JPN,1380.933606
2017,JPN,2590.181311
2018,JPN,3235.306307
2019,JPN,3299.637145
2020,JPN,3825.545392
2021,JPN,3220.04711
2022,JPN,2721.367702
2023,JPN,3133.7291946875
2011,KOR,0.03786754903
2012,KOR,13.44140765
2013,KOR,47.24685473
2014,KOR,73.86409246
2015,KOR,208.505832
2016,KOR,653.2904977
2017,KOR,1696.803339
2018,KOR,2243.354112
2019,KOR,3302.571157
2020,KOR,4124.612175
2021,KOR,4679.069158
2022,KOR,4084.49924
2023,KOR,3613.1636645772055
2011,USA,428.6721417
2012,USA,852.8678554
2013,USA,2008.313361
2014,USA,4139.455984
2015,USA,8186.445209
2016,USA,15011.70212
2017,USA,28151.85933
2018,USA,34637.47609
2019,USA,35349.49976
2020,USA,43785.54878
2021,USA,34987.01611
2022,USA,32494.68409
2023,USA,34313.70614558823
