Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
CHN,China (People's Republic of),Education and training,VC,17.377316,2013
CHN,China (People's Republic of),Education and training,VC,81.50298,2014
CHN,China (People's Republic of),Education and training,VC,139.875905,2015
CHN,China (People's Republic of),Education and training,VC,407.909314,2016
CHN,China (People's Republic of),Education and training,VC,910.3051955,2017
CHN,China (People's Republic of),Education and training,VC,2213.3673870000002,2018
CHN,China (People's Republic of),Education and training,VC,848.446747,2019
CHN,China (People's Republic of),Education and training,VC,3568.2600310000003,2020
CHN,China (People's Republic of),Education and training,VC,602.942876,2021
CHN,China (People's Republic of),Education and training,VC,250.7982585,2022
CHN,China (People's Republic of),Education and training,VC,81.68038899999999,2023
CHN,China (People's Republic of),Education and training,VC,10.546015,2024
CHN,China (People's Republic of),Education and training,VC,42.65768,2025
USA,United States,Education and training,VC,129.78,2012
USA,United States,Education and training,VC,164.65,2013
USA,United States,Education and training,VC,377.205001,2014
USA,United States,Education and training,VC,468.63,2015
USA,United States,Education and training,VC,336.854251,2016
USA,United States,Education and training,VC,207.06,2017
USA,United States,Education and training,VC,392.590752,2018
USA,United States,Education and training,VC,463.435267,2019
USA,United States,Education and training,VC,742.038954,2020
USA,United States,Education and training,VC,1610.306414,2021
USA,United States,Education and training,VC,501.123295,2022
USA,United States,Education and training,VC,276.957572,2023
USA,United States,Education and training,VC,639.484739,2024
USA,United States,Education and training,VC,1126.372993,2025
IND,India,Education and training,VC,5.145197,2012
IND,India,Education and training,VC,7.0421305,2013
IND,India,Education and training,VC,0.563911,2014
IND,India,Education and training,VC,28.246059,2015
IND,India,Education and training,VC,14.569086500000001,2016
IND,India,Education and training,VC,53.120546999999995,2017
IND,India,Education and training,VC,82.500389,2018
IND,India,Education and training,VC,203.679067,2019
IND,India,Education and training,VC,190.28454,2020
IND,India,Education and training,VC,603.9930455,2021
IND,India,Education and training,VC,510.7772165,2022
IND,India,Education and training,VC,162.375518,2023
IND,India,Education and training,VC,75.371633,2024
IND,India,Education and training,VC,107.891463,2025
GBR,United Kingdom,Education and training,VC,5.534718999999999,2012
GBR,United Kingdom,Education and training,VC,0.822383,2013
GBR,United Kingdom,Education and training,VC,1.773419,2014
GBR,United Kingdom,Education and training,VC,6.377732,2015
