Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
USA,United States,Financial and insurance services,VC,241.54000000000002,2012
USA,United States,Financial and insurance services,VC,325.492576,2013
USA,United States,Financial and insurance services,VC,1496.072696,2014
USA,United States,Financial and insurance services,VC,2533.071333,2015
USA,United States,Financial and insurance services,VC,1300.387006,2016
USA,United States,Financial and insurance services,VC,2052.75007,2017
USA,United States,Financial and insurance services,VC,3587.622837,2018
USA,United States,Financial and insurance services,VC,4400.89022,2019
USA,United States,Financial and insurance services,VC,4661.563496,2020
USA,United States,Financial and insurance services,VC,10978.215261,2021
USA,United States,Financial and insurance services,VC,8970.395596,2022
USA,United States,Financial and insurance services,VC,10497.80818,2023
USA,United States,Financial and insurance services,VC,2611.447952,2024
USA,United States,Financial and insurance services,VC,5931.5903035,2025
CHN,China (People's Republic of),Financial and insurance services,VC,6.117452,2013
CHN,China (People's Republic of),Financial and insurance services,VC,53.3019005,2014
CHN,China (People's Republic of),Financial and insurance services,VC,773.03039,2015
CHN,China (People's Republic of),Financial and insurance services,VC,2611.6431035,2016
CHN,China (People's Republic of),Financial and insurance services,VC,2919.569294,2017
CHN,China (People's Republic of),Financial and insurance services,VC,6155.907155,2018
CHN,China (People's Republic of),Financial and insurance services,VC,860.492618,2019
CHN,China (People's Republic of),Financial and insurance services,VC,414.1151715,2020
CHN,China (People's Republic of),Financial and insurance services,VC,1634.8575779999999,2021
CHN,China (People's Republic of),Financial and insurance services,VC,319.409518,2022
CHN,China (People's Republic of),Financial and insurance services,VC,379.115397,2023
CHN,China (People's Republic of),Financial and insurance services,VC,358.488027,2024
CHN,China (People's Republic of),Financial and insurance services,VC,162.551168,2025
GBR,United Kingdom,Financial and insurance services,VC,6.253577,2012
GBR,United Kingdom,Financial and insurance services,VC,85.54574699999999,2013
GBR,United Kingdom,Financial and insurance services,VC,15.826901,2014
GBR,United Kingdom,Financial and insurance services,VC,198.12633799999998,2015
GBR,United Kingdom,Financial and insurance services,VC,145.63862,2016
GBR,United Kingdom,Financial and insurance services,VC,390.640487,2017
GBR,United Kingdom,Financial and insurance services,VC,242.25480199999998,2018
GBR,United Kingdom,Financial and insurance services,VC,866.5500605,2019
GBR,United Kingdom,Financial and insurance services,VC,152.97490299999998,2020
GBR,United Kingdom,Financial and insurance services,VC,794.2930225,2021
GBR,United Kingdom,Financial and insurance services,VC,677.029233,2022
GBR,United Kingdom,Financial and insurance services,VC,385.305553,2023
GBR,United Kingdom,Financial and insurance services,VC,267.6469075,2024
GBR,United Kingdom,Financial and insurance services,VC,6046.106209,2025
IND,India,Financial and insurance services,VC,14.127801,2012
IND,India,Financial and insurance services,VC,26.714209,2013
IND,India,Financial and insurance services,VC,5.7506235000000006,2014
IND,India,Financial and insurance services,VC,61.334374,2015
IND,India,Financial and insurance services,VC,74.900829,2016
IND,India,Financial and insurance services,VC,78.8842195,2017
IND,India,Financial and insurance services,VC,152.031832,2018
IND,India,Financial and insurance services,VC,368.790861,2019
IND,India,Financial and insurance services,VC,750.719661,2020
IND,India,Financial and insurance services,VC,1048.9078515,2021
IND,India,Financial and insurance services,VC,1089.2617195,2022
