Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
USA,United States,Healthcare, drugs and biotechnology,VC,531.16,2012
USA,United States,Healthcare, drugs and biotechnology,VC,730.215,2013
USA,United States,Healthcare, drugs and biotechnology,VC,1779.464989,2014
USA,United States,Healthcare, drugs and biotechnology,VC,2268.153308,2015
USA,United States,Healthcare, drugs and biotechnology,VC,1694.565053,2016
USA,United States,Healthcare, drugs and biotechnology,VC,6276.421407,2017
USA,United States,Healthcare, drugs and biotechnology,VC,4581.106189,2018
USA,United States,Healthcare, drugs and biotechnology,VC,4666.894166,2019
USA,United States,Healthcare, drugs and biotechnology,VC,10095.5594395,2020
USA,United States,Healthcare, drugs and biotechnology,VC,15938.169144,2021
USA,United States,Healthcare, drugs and biotechnology,VC,11136.4164535,2022
USA,United States,Healthcare, drugs and biotechnology,VC,8035.750349,2023
USA,United States,Healthcare, drugs and biotechnology,VC,7980.754831,2024
USA,United States,Healthcare, drugs and biotechnology,VC,12533.725111,2025
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,15.011249999999999,2012
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,32.798486,2013
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,260.0956465,2014
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,746.1185365,2015
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,1273.2704975000001,2016
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,835.519033,2017
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,2277.259337,2018
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,1031.827857,2019
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,3465.268719,2020
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,3941.276945,2021
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,1801.129434,2022
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,1279.411128,2023
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,959.5765055,2024
CHN,China (People's Republic of),Healthcare, drugs and biotechnology,VC,1065.18202,2025
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,6.811585,2012
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,11.462237,2013
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,29.606704,2014
GBR,United Kingdom,Healthcare, drugs and biotechnology,VC,108.831369,2015
