Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,5,2012
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,30,2013
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,321.152661,2014
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,328.164125,2015
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,1888.2030325,2016
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,1795.154297,2017
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,3538.5830189999997,2018
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,4051.060656,2019
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,1413.144783,2020
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,1741.169772,2021
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,825.507353,2022
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,323.135903,2023
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,151.244728,2024
CHN,China (People's Republic of),Logistics, wholesale and retail,VC,176.420363,2025
USA,United States,Logistics, wholesale and retail,VC,97.09,2012
USA,United States,Logistics, wholesale and retail,VC,23.571531,2013
USA,United States,Logistics, wholesale and retail,VC,383.98794399999997,2014
USA,United States,Logistics, wholesale and retail,VC,615.44115,2015
USA,United States,Logistics, wholesale and retail,VC,741.24,2016
USA,United States,Logistics, wholesale and retail,VC,514.100712,2017
USA,United States,Logistics, wholesale and retail,VC,1343.118417,2018
USA,United States,Logistics, wholesale and retail,VC,2228.9654,2019
USA,United States,Logistics, wholesale and retail,VC,1236.932861,2020
USA,United States,Logistics, wholesale and retail,VC,2042.6537819999999,2021
USA,United States,Logistics, wholesale and retail,VC,1392.109432,2022
USA,United States,Logistics, wholesale and retail,VC,1581.6255449999999,2023
USA,United States,Logistics, wholesale and retail,VC,876.416409,2024
USA,United States,Logistics, wholesale and retail,VC,949.4199475,2025
IND,India,Logistics, wholesale and retail,VC,1.2,2012
IND,India,Logistics, wholesale and retail,VC,1.475677,2013
IND,India,Logistics, wholesale and retail,VC,6.871867,2014
IND,India,Logistics, wholesale and retail,VC,43.601375,2015
IND,India,Logistics, wholesale and retail,VC,90.698497,2016
IND,India,Logistics, wholesale and retail,VC,100.671149,2017
IND,India,Logistics, wholesale and retail,VC,176.91654,2018
IND,India,Logistics, wholesale and retail,VC,349.267371,2019
IND,India,Logistics, wholesale and retail,VC,394.6797815,2020
IND,India,Logistics, wholesale and retail,VC,1818.438216,2021
IND,India,Logistics, wholesale and retail,VC,538.623619,2022
IND,India,Logistics, wholesale and retail,VC,316.129217,2023
IND,India,Logistics, wholesale and retail,VC,134.335077,2024
IND,India,Logistics, wholesale and retail,VC,216.8181355,2025
DEU,Germany,Logistics, wholesale and retail,VC,0,2013
DEU,Germany,Logistics, wholesale and retail,VC,34.561381,2015
DEU,Germany,Logistics, wholesale and retail,VC,21.9211275,2016
DEU,Germany,Logistics, wholesale and retail,VC,20,2017
DEU,Germany,Logistics, wholesale and retail,VC,25.876123,2018
DEU,Germany,Logistics, wholesale and retail,VC,209.2,2019
DEU,Germany,Logistics, wholesale and retail,VC,135.143605,2020
DEU,Germany,Logistics, wholesale and retail,VC,266.893144,2021
DEU,Germany,Logistics, wholesale and retail,VC,269.358723,2022
DEU,Germany,Logistics, wholesale and retail,VC,122.417541,2023
DEU,Germany,Logistics, wholesale and retail,VC,41.933236,2024
DEU,Germany,Logistics, wholesale and retail,VC,52.98306,2025
KOR,Korea,Logistics, wholesale and retail,VC,1.859433,2012
KOR,Korea,Logistics, wholesale and retail,VC,49.266736,2014
KOR,Korea,Logistics, wholesale and retail,VC,0.177789,2015
