Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
USA,United States,Mobility and autonomous vehicles,VC,171.65,2012
USA,United States,Mobility and autonomous vehicles,VC,392.2,2013
USA,United States,Mobility and autonomous vehicles,VC,4546.51,2014
USA,United States,Mobility and autonomous vehicles,VC,4981.730897,2015
USA,United States,Mobility and autonomous vehicles,VC,5244.910853,2016
USA,United States,Mobility and autonomous vehicles,VC,4735.143389,2017
USA,United States,Mobility and autonomous vehicles,VC,8766.172212,2018
USA,United States,Mobility and autonomous vehicles,VC,9195.591293,2019
USA,United States,Mobility and autonomous vehicles,VC,11659.8559945,2020
USA,United States,Mobility and autonomous vehicles,VC,21826.505603,2021
USA,United States,Mobility and autonomous vehicles,VC,4282.397014,2022
USA,United States,Mobility and autonomous vehicles,VC,4106.273685,2023
USA,United States,Mobility and autonomous vehicles,VC,7752.292964,2024
USA,United States,Mobility and autonomous vehicles,VC,2859.867533,2025
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,10.686806,2012
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,24.931676,2013
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,84.536224,2014
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,4824.9592395,2015
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,6831.5284865,2016
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,13687.873870000001,2017
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,3486.8460635,2018
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,6119.084862,2019
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,9940.035265,2020
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,13013.5427345,2021
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,6228.598583,2022
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,8351.900381,2023
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,6347.612872,2024
CHN,China (People's Republic of),Mobility and autonomous vehicles,VC,2705.741743,2025
KOR,Korea,Mobility and autonomous vehicles,VC,86.26434800000001,2012
KOR,Korea,Mobility and autonomous vehicles,VC,5.8103235,2016
