Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,68.240657,2013
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,167.0893005,2014
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,664.050945,2015
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,666.315141,2016
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,136.282039,2017
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,82.295586,2018
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,261.612449,2019
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,62.964205,2020
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,144.87948749999998,2021
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,32.7957405,2022
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,58.719648,2023
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,22.317773000000003,2024
CHN,China (People's Republic of),Travel, leisure and hospitality,VC,42.128883,2025
USA,United States,Travel, leisure and hospitality,VC,30.35,2012
USA,United States,Travel, leisure and hospitality,VC,2.25,2013
USA,United States,Travel, leisure and hospitality,VC,36.692019,2014
USA,United States,Travel, leisure and hospitality,VC,89.34,2015
USA,United States,Travel, leisure and hospitality,VC,66.802221,2016
USA,United States,Travel, leisure and hospitality,VC,45.94,2017
USA,United States,Travel, leisure and hospitality,VC,154.877011,2018
USA,United States,Travel, leisure and hospitality,VC,232.15,2019
USA,United States,Travel, leisure and hospitality,VC,64.909226,2020
USA,United States,Travel, leisure and hospitality,VC,142.77,2021
USA,United States,Travel, leisure and hospitality,VC,423.008875,2022
USA,United States,Travel, leisure and hospitality,VC,144.663583,2023
USA,United States,Travel, leisure and hospitality,VC,187.306106,2024
USA,United States,Travel, leisure and hospitality,VC,290.7371545,2025
DEU,Germany,Travel, leisure and hospitality,VC,2.145676,2014
DEU,Germany,Travel, leisure and hospitality,VC,35.726451,2015
DEU,Germany,Travel, leisure and hospitality,VC,22.371963,2016
DEU,Germany,Travel, leisure and hospitality,VC,1.560258,2017
DEU,Germany,Travel, leisure and hospitality,VC,38.487122,2018
DEU,Germany,Travel, leisure and hospitality,VC,93.236153,2019
DEU,Germany,Travel, leisure and hospitality,VC,49.202121,2020
DEU,Germany,Travel, leisure and hospitality,VC,178.432072,2021
DEU,Germany,Travel, leisure and hospitality,VC,107.507463,2022
DEU,Germany,Travel, leisure and hospitality,VC,2.138496,2023
DEU,Germany,Travel, leisure and hospitality,VC,33.154624999999996,2024
DEU,Germany,Travel, leisure and hospitality,VC,51.601106,2025
GBR,United Kingdom,Travel, leisure and hospitality,VC,0.538728,2014
GBR,United Kingdom,Travel, leisure and hospitality,VC,3.9010124999999998,2016
GBR,United Kingdom,Travel, leisure and hospitality,VC,1.111516,2017
GBR,United Kingdom,Travel, leisure and hospitality,VC,6.509091,2018
GBR,United Kingdom,Travel, leisure and hospitality,VC,3.840113,2019
GBR,United Kingdom,Travel, leisure and hospitality,VC,4.013706,2020
