Country destination,Country destination_label,Country source,Country source_label,Sum_of_deals,year
USA,United States,USA,United States,196.740055,2012
CAN,Canada,USA,United States,93.440137,2013
USA,United States,USA,United States,318.498468,2013
CAN,Canada,USA,United States,26.4862545,2014
CHN,China (People's Republic of),USA,United States,0,2014
EU27,EU27,USA,United States,0,2014
USA,United States,USA,United States,280.54871299999996,2014
CHN,China (People's Republic of),USA,United States,12.5,2015
ISR,Israel,USA,United States,7.5,2015
USA,United States,USA,United States,343.1483343333333,2015
CAN,Canada,USA,United States,10.25,2016
DEU,Germany,USA,United States,4.833333333333333,2016
EU27,EU27,USA,United States,4.833333333333333,2016
ISR,Israel,USA,United States,4,2016
USA,United States,USA,United States,243.18256933333333,2016
DEU,Germany,USA,United States,9.333333333333332,2017
EU27,EU27,USA,United States,10.082044666666665,2017
ISR,Israel,USA,United States,13.5,2017
JPN,Japan,USA,United States,2.0212545,2017
USA,United States,USA,United States,510.4949725,2017
CHN,China (People's Republic of),USA,United States,4,2018
CAN,Canada,USA,United States,7.5,2018
DEU,Germany,USA,United States,11.166666666666666,2018
EU27,EU27,USA,United States,11.644457666666666,2018
GBR,United Kingdom,USA,United States,1.8878095,2018
ISR,Israel,USA,United States,85.66666666666667,2018
JPN,Japan,USA,United States,14.41281425,2018
USA,United States,USA,United States,217.34759733333334,2018
CAN,Canada,USA,United States,45.5943345,2019
CHN,China (People's Republic of),USA,United States,5,2019
EU27,EU27,USA,United States,2.18972,2019
FRA,France,USA,United States,2.18972,2019
JPN,Japan,USA,United States,7.783596,2019
USA,United States,USA,United States,2104.1439843333333,2019
CAN,Canada,USA,United States,14.2914815,2020
CHN,China (People's Republic of),USA,United States,10,2020
DEU,Germany,USA,United States,40.93518066666667,2020
EU27,EU27,USA,United States,50.99511416666667,2020
FRA,France,USA,United States,7.895117166666667,2020
ISR,Israel,USA,United States,20.5,2020
JPN,Japan,USA,United States,4.102753,2020
USA,United States,USA,United States,670.5744973333334,2020
DEU,Germany,USA,United States,184.33333333333334,2021
EU27,EU27,USA,United States,244.82249666666664,2021
FRA,France,USA,United States,50.44067716666666,2021
CAN,Canada,USA,United States,57.5086315,2021
GBR,United Kingdom,USA,United States,19.740752083333334,2021
ISR,Israel,USA,United States,81.13333333333333,2021
KOR,Korea,USA,United States,6.408305,2021
USA,United States,USA,United States,2399.577769416667,2021
CAN,Canada,USA,United States,4,2022
CHN,China (People's Republic of),USA,United States,0,2022
DEU,Germany,USA,United States,9.078315,2022
EU27,EU27,USA,United States,118.69069300000001,2022
FRA,France,USA,United States,74.796779,2022
GBR,United Kingdom,USA,United States,115.022916,2022
ISR,Israel,USA,United States,144.08333333333331,2022
JPN,Japan,USA,United States,6.635848,2022
USA,United States,USA,United States,915.1948699999999,2022
ISR,Israel,USA,United States,108.2,2023
CHN,China (People's Republic of),USA,United States,6.5,2023
DEU,Germany,USA,United States,1.65,2023
EU27,EU27,USA,United States,167.4673581,2023
FRA,France,USA,United States,156.3400666,2023
GBR,United Kingdom,USA,United States,22.599359833333335,2023
CAN,Canada,USA,United States,32.758710666666666,2023
JPN,Japan,USA,United States,5.5656085,2023
USA,United States,USA,United States,11916.619169166666,2023
ISR,Israel,USA,United States,124.65,2024
CHN,China (People's Republic of),USA,United States,8.4912215,2024
DEU,Germany,USA,United States,1.5,2024
EU27,EU27,USA,United States,200.66098233333332,2024
FRA,France,USA,United States,187.45073933333333,2024
GBR,United Kingdom,USA,United States,135.1778835,2024
CAN,Canada,USA,United States,134.77656516666667,2024
JPN,Japan,USA,United States,0,2024
KOR,Korea,USA,United States,3.17022625,2024
USA,United States,USA,United States,6430.961536869047,2024
CAN,Canada,USA,United States,82.0169855,2025
CHN,China (People's Republic of),USA,United States,4.6235083333333336,2025
DEU,Germany,USA,United States,10.25,2025
EU27,EU27,USA,United States,509.16772296666664,2025
FRA,France,USA,United States,383.2240593,2025
GBR,United Kingdom,USA,United States,687.143611,2025
ISR,Israel,USA,United States,200.66666666666666,2025
JPN,Japan,USA,United States,3.40079,2025
KOR,Korea,USA,United States,11.706658000000001,2025
USA,United States,USA,United States,17641.421554333334,2025
DEU,Germany,GBR,United Kingdom,1.8282685,2013
EU27,EU27,GBR,United Kingdom,1.8282685,2013
GBR,United Kingdom,GBR,United Kingdom,2.2794415,2013
USA,United States,GBR,United Kingdom,12,2013
GBR,United Kingdom,GBR,United Kingdom,6.51884,2014
USA,United States,GBR,United Kingdom,35.57,2014
GBR,United Kingdom,GBR,United Kingdom,0.491955,2015
USA,United States,GBR,United Kingdom,350,2015
DEU,Germany,GBR,United Kingdom,4.333333333333333,2016
EU27,EU27,GBR,United Kingdom,4.333333333333333,2016
GBR,United Kingdom,GBR,United Kingdom,2.666845,2016
USA,United States,GBR,United Kingdom,6.755,2016
USA,United States,GBR,United Kingdom,4,2017
EU27,EU27,GBR,United Kingdom,9.333333333333332,2017
GBR,United Kingdom,GBR,United Kingdom,9.686876,2017
DEU,Germany,GBR,United Kingdom,9.333333333333332,2017
DEU,Germany,GBR,United Kingdom,11.166666666666666,2018
EU27,EU27,GBR,United Kingdom,11.166666666666666,2018
GBR,United Kingdom,GBR,United Kingdom,7.191326,2018
USA,United States,GBR,United Kingdom,39.60526883333333,2018
DEU,Germany,GBR,United Kingdom,3.4103325,2019
EU27,EU27,GBR,United Kingdom,3.4103325,2019
GBR,United Kingdom,GBR,United Kingdom,9.972281,2019
USA,United States,GBR,United Kingdom,326.66810666666663,2019
DEU,Germany,GBR,United Kingdom,0.9351806666666667,2020
EU27,EU27,GBR,United Kingdom,9.730697666666668,2020
FRA,France,GBR,United Kingdom,6.630700666666667,2020
GBR,United Kingdom,GBR,United Kingdom,10.679976,2020
ISR,Israel,GBR,United Kingdom,4,2020
USA,United States,GBR,United Kingdom,59.55283066666666,2020
EU27,EU27,GBR,United Kingdom,50.137681,2021
GBR,United Kingdom,GBR,United Kingdom,57.18939175,2021
FRA,France,GBR,United Kingdom,45.037681,2021
USA,United States,GBR,United Kingdom,917.5835197499999,2021
DEU,Germany,GBR,United Kingdom,4.333333333333333,2021
CAN,Canada,GBR,United Kingdom,3.1,2021
DEU,Germany,GBR,United Kingdom,9.078315,2022
EU27,EU27,GBR,United Kingdom,33.578315,2022
FRA,France,GBR,United Kingdom,9.5,2022
GBR,United Kingdom,GBR,United Kingdom,4.515345,2022
ISR,Israel,GBR,United Kingdom,27.833333333333332,2022
USA,United States,GBR,United Kingdom,129.46416666666664,2022
CAN,Canada,GBR,United Kingdom,23.738664666666665,2023
DEU,Germany,GBR,United Kingdom,0.356107,2023
