Country,Country_label,INDUSTRY,Quarter,STAGE,Sum_of_deals
USA,United States,-- All industries --,2012,VC,226.63089300000001
USA,United States,-- All industries --,2013,VC,352.318468
USA,United States,-- All industries --,2014,VC,450.968543
USA,United States,-- All industries --,2015,VC,713.210001
USA,United States,-- All industries --,2016,VC,298.968472
USA,United States,-- All industries --,2017,VC,596.584945
USA,United States,-- All industries --,2018,VC,438.437684
USA,United States,-- All industries --,2019,VC,2621.928106
USA,United States,-- All industries --,2020,VC,1100.916507
USA,United States,-- All industries --,2021,VC,5479.309022
USA,United States,-- All industries --,2022,VC,1566.4366559999999
USA,United States,-- All industries --,2023,VC,13141.831763000002
USA,United States,-- All industries --,2024,VC,20755.727132999997
USA,United States,-- All industries --,2025,VC,29158.1841325
CHN,China (People's Republic of),-- All industries --,2014,VC,0
CHN,China (People's Republic of),-- All industries --,2015,VC,26.722674
CHN,China (People's Republic of),-- All industries --,2016,VC,0
CHN,China (People's Republic of),-- All industries --,2017,VC,21.494016
CHN,China (People's Republic of),-- All industries --,2018,VC,8
CHN,China (People's Republic of),-- All industries --,2019,VC,10
CHN,China (People's Republic of),-- All industries --,2020,VC,20
CHN,China (People's Republic of),-- All industries --,2021,VC,114.024565
CHN,China (People's Republic of),-- All industries --,2022,VC,215.51730750000002
CHN,China (People's Republic of),-- All industries --,2023,VC,597.38889
CHN,China (People's Republic of),-- All industries --,2024,VC,1987.869571
CHN,China (People's Republic of),-- All industries --,2025,VC,1285.4371629999998
FRA,France,-- All industries --,2014,VC,3.999381
FRA,France,-- All industries --,2016,VC,1.029643
FRA,France,-- All industries --,2017,VC,6.69774
FRA,France,-- All industries --,2018,VC,19.033162
FRA,France,-- All industries --,2019,VC,12.981216
FRA,France,-- All industries --,2020,VC,31.391967
FRA,France,-- All industries --,2021,VC,125.846275
FRA,France,-- All industries --,2022,VC,111.62654649999999
FRA,France,-- All industries --,2023,VC,639.166771
FRA,France,-- All industries --,2024,VC,746.356873
FRA,France,-- All industries --,2025,VC,1913.11236
GBR,United Kingdom,-- All industries --,2012,VC,0.223135
GBR,United Kingdom,-- All industries --,2013,VC,2.2794415
GBR,United Kingdom,-- All industries --,2014,VC,6.832416
GBR,United Kingdom,-- All industries --,2015,VC,1.6119629999999998
GBR,United Kingdom,-- All industries --,2016,VC,5.853453999999999
GBR,United Kingdom,-- All industries --,2017,VC,13.737844
GBR,United Kingdom,-- All industries --,2018,VC,10.48876
GBR,United Kingdom,-- All industries --,2019,VC,11.042573
GBR,United Kingdom,-- All industries --,2020,VC,17.066911
GBR,United Kingdom,-- All industries --,2021,VC,83.2310075
GBR,United Kingdom,-- All industries --,2022,VC,129.47684199999998
GBR,United Kingdom,-- All industries --,2023,VC,157.718644
GBR,United Kingdom,-- All industries --,2024,VC,285.823849
GBR,United Kingdom,-- All industries --,2025,VC,755.310217
KOR,Korea,-- All industries --,2016,VC,1.7189649999999999
KOR,Korea,-- All industries --,2017,VC,4.557892
KOR,Korea,-- All industries --,2018,VC,43.5961715
KOR,Korea,-- All industries --,2019,VC,32.3840215
KOR,Korea,-- All industries --,2020,VC,42.416214999999994
KOR,Korea,-- All industries --,2021,VC,153.122825
KOR,Korea,-- All industries --,2022,VC,121.17951
KOR,Korea,-- All industries --,2023,VC,163.63228099999998
KOR,Korea,-- All industries --,2024,VC,298.3609845
KOR,Korea,-- All industries --,2025,VC,416.9060995
