Entity,Code,Year,Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked),Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked)
Canada,CAN,1985,0,0,0,0.001,303.645,60.521,6.777,6.808,79.445,0,0,0,0.001,303.645,60.521,6.777,6.808,79.445
Canada,CAN,1986,0,0,0,0.001,310.635,71.267,6.166,6.886,71.627,0,0,0,0.001,310.635,71.267,6.166,6.886,71.627
Canada,CAN,1987,0,0,0,0.001,316.206,77.261,10.061,6.159,84.238,0,0,0,0.001,316.206,77.261,10.061,6.159,84.238
Canada,CAN,1988,0,0,0,0.001,307.435,82.867,11.842,9.432,91.758,0,0,0,0.001,307.435,82.867,11.842,9.432,91.758
Canada,CAN,1989,0,0,0,0.001,290.44974,79.31684,18.174,14.835,91.737,0,0,0,0.001,290.44974,79.31684,18.174,14.835,91.737
Canada,CAN,1990,0,0,0,0.001919192,295.68332,72.46,16.468,9.654,82.22,0,0,0,0.001919192,295.68332,72.46,16.468,9.654,82.22
Canada,CAN,1991,0,0,0,0.001919192,307.276,84.33895,14.135,8.622,88.485,0,0,0,0.001919192,307.276,84.33895,14.135,8.622,88.485
Canada,CAN,1992,0,0,0.002052632,0.059,315.17465,80.0221,15.594,13.122,90.03,0,0,0.002052632,0.059,315.17465,80.0221,15.594,13.122,90.03
Canada,CAN,1993,0,0,0.002052632,0.059,322.2139,93.28421,12.008,15.299,82.384,0,0,0.002052632,0.059,322.2139,93.28421,12.008,15.299,82.384
Canada,CAN,1994,0,0,0.002052632,0.059,327.8556,107.08421,10.068,15.437,86.651,0,0,0.002052632,0.059,327.8556,107.08421,10.068,15.437,86.651
