,A1_Hardware_Compute_log,A2_Energy_IDC_log,A3_Connectivity_norm,B1_Talent_Stock_log,B3_STEM_Supply_norm,C1_Research_Qty_log,C2_High_Impact_Res_log,D1_GitHub_Activity_log,D3_OpenSource_Impact_log,E1_Vertical_VC_log,E2_Capital_Flow_log,E3_Ind_Adoption_norm,F1_Gov_RD_Exp_norm,F2_IP_Protection_log
A1_Hardware_Compute_log,1.0,0.6564248509562047,0.22197291581442954,0.3638705208045866,0.6622322695729257,0.5924755133030455,0.5652574792575664,0.2298202120685711,0.47045175872087924,0.6717441755033566,0.6456588002499709,0.7404968761238109,0.4967116377798009,0.33005545633744315
A2_Energy_IDC_log,0.6564248509562047,1.0,0.0613265621946473,-0.05918577178814276,0.6695378579015352,0.8474215751332043,0.6784503664313392,0.6936316424828257,0.6388919780449349,0.851724123092249,0.7920867457653433,0.7622738101167097,0.154602609491076,0.2716435904628999
A3_Connectivity_norm,0.22197291581442954,0.0613265621946473,1.0,0.5033632884024841,0.3251663594951907,-0.19383640571010094,-0.19260301379490186,-0.3361380679348928,-0.25048738721156677,0.2513467274682697,0.16350628981336998,0.14054586272776456,0.501774950556771,-0.052802358788719826
B1_Talent_Stock_log,0.3638705208045866,-0.05918577178814276,0.5033632884024841,1.0,0.14569633732428477,-0.16777661391180462,-0.10605625987753377,-0.34953556115744583,-0.054377140867082216,0.029652556994195316,-0.1290993714796749,0.03770721774169161,0.4932538041317365,0.24520199262402878
B3_STEM_Supply_norm,0.6622322695729257,0.6695378579015352,0.3251663594951907,0.14569633732428477,1.0,0.5066231996549025,0.5036332700963242,0.43576162163809384,0.46331457038984325,0.7366576053425911,0.7909436453100094,0.7042875905144186,0.40703407296959804,0.15560870289980278
C1_Research_Qty_log,0.5924755133030455,0.8474215751332043,-0.19383640571010094,-0.16777661391180462,0.5066231996549025,1.0,0.9119745450872199,0.7711414710066087,0.7951443343670191,0.7276188870763998,0.6765431047827226,0.6536102719464343,0.10580871233939926,0.25073262397712187
C2_High_Impact_Res_log,0.5652574792575664,0.6784503664313392,-0.19260301379490186,-0.10605625987753377,0.5036332700963242,0.9119745450872199,1.0,0.6280320119157946,0.8286211038335033,0.5810323162522697,0.6115077759115894,0.5869057458666029,0.07624861390014759,0.15820155577211456
D1_GitHub_Activity_log,0.2298202120685711,0.6936316424828257,-0.3361380679348928,-0.34953556115744583,0.43576162163809384,0.7711414710066087,0.6280320119157946,1.0,0.7236514905084723,0.6212301487066454,0.6050346627334549,0.31235194209197137,-0.028380246987585254,0.14261048510172775
D3_OpenSource_Impact_log,0.47045175872087924,0.6388919780449349,-0.25048738721156677,-0.054377140867082216,0.46331457038984325,0.7951443343670191,0.8286211038335033,0.7236514905084723,1.0,0.5331657083833757,0.5654235753008192,0.44091096447377215,0.09906361666632235,0.4009521021394562
E1_Vertical_VC_log,0.6717441755033566,0.851724123092249,0.2513467274682697,0.029652556994195316,0.7366576053425911,0.7276188870763998,0.5810323162522697,0.6212301487066454,0.5331657083833757,1.0,0.8738581136345256,0.7400225753872148,0.3648870384829144,0.23559397769356685
E2_Capital_Flow_log,0.6456588002499709,0.7920867457653433,0.16350628981336998,-0.1290993714796749,0.7909436453100094,0.6765431047827226,0.6115077759115894,0.6050346627334549,0.5654235753008192,0.8738581136345256,1.0,0.773037599893198,0.24440428956182433,0.17447447336606273
E3_Ind_Adoption_norm,0.7404968761238109,0.7622738101167097,0.14054586272776456,0.03770721774169161,0.7042875905144186,0.6536102719464343,0.5869057458666029,0.31235194209197137,0.44091096447377215,0.7400225753872148,0.773037599893198,1.0,0.23675629119269437,0.26490144277492533
F1_Gov_RD_Exp_norm,0.4967116377798009,0.154602609491076,0.501774950556771,0.4932538041317365,0.40703407296959804,0.10580871233939926,0.07624861390014759,-0.028380246987585254,0.09906361666632235,0.3648870384829144,0.24440428956182433,0.23675629119269437,1.0,0.3973891269192439
F2_IP_Protection_log,0.33005545633744315,0.2716435904628999,-0.052802358788719826,0.24520199262402878,0.15560870289980278,0.25073262397712187,0.15820155577211456,0.14261048510172775,0.4009521021394562,0.23559397769356685,0.17447447336606273,0.26490144277492533,0.3973891269192439,1.0
