Country,Period,Year_Start,Year_End,EC,TC,MPI
USA,2016-2017,2016,2017,0.9858919109623001,1.18953355622962,1.1727515109050008
CHN,2016-2017,2016,2017,1.0,1.1784558054096088,1.1784558054096088
GBR,2016-2017,2016,2017,0.966046201483618,1.1519475483890633,1.112834553429621
DEU,2016-2017,2016,2017,0.9016224945219118,1.1579435214366545,1.0440279263132033
FRA,2016-2017,2016,2017,0.9334380191252845,1.1292184312422435,1.0540554156185211
CAN,2016-2017,2016,2017,0.9999999999999996,1.1097610766526427,1.1097610766526422
JPN,2016-2017,2016,2017,0.8817257182488465,1.1435937878919396,1.0083360540139394
KOR,2016-2017,2016,2017,0.8770731982718337,1.1413287088792266,1.0010288209761657
ARE,2016-2017,2016,2017,1.0117138865683297,1.051352688601565,1.0636681147391522
IND,2016-2017,2016,2017,1.0,1.1517804017039677,1.1517804017039677
USA,2017-2018,2017,2018,1.0265664098610754,1.0953274600750045,1.1244263783114476
CHN,2017-2018,2017,2018,1.0,1.0988897903667705,1.0988897903667705
GBR,2017-2018,2017,2018,1.9276940449600972,1.137969502471135,2.1936570332598113
DEU,2017-2018,2017,2018,0.9925179273194326,1.0672629895457806,1.0592776502887193
FRA,2017-2018,2017,2018,1.0607255441021188,1.0452048090202704,1.1086754397461775
CAN,2017-2018,2017,2018,0.7918611038227378,1.0097408980924225,0.7995745421384283
JPN,2017-2018,2017,2018,1.0795972426463039,1.038124046469692,1.1207558580935029
KOR,2017-2018,2017,2018,0.967343659564105,1.067885083653406,1.033011864815206
ARE,2017-2018,2017,2018,1.0131359928410826,0.9372510268723758,0.9495627496516686
IND,2017-2018,2017,2018,1.0,0.8840324599977231,0.8840324599977231
USA,2018-2019,2018,2019,1.15468893211731,0.9325499329709548,1.0768050862483007
CHN,2018-2019,2018,2019,1.0,0.8743501516273194,0.8743501516273194
GBR,2018-2019,2018,2019,1.0000000000000004,1.0962649156611672,1.0962649156611677
DEU,2018-2019,2018,2019,1.0683267132055236,0.9849917067857363,1.0522929526451046
FRA,2018-2019,2018,2019,0.8988660380207402,1.022540623441476,0.9191270389080971
CAN,2018-2019,2018,2019,0.9971550345549569,1.1059634353567291,1.1028170075996582
JPN,2018-2019,2018,2019,1.0007885203095033,1.032134050793101,1.0329479094542813
KOR,2018-2019,2018,2019,1.005886403026571,0.9934629401421045,0.9993108633997432
ARE,2018-2019,2018,2019,1.0092696451877623,1.1080645377883613,1.1183359028988014
IND,2018-2019,2018,2019,1.0,1.3592250034204938,1.3592250034204938
USA,2019-2020,2019,2020,1.0370929539994547,1.1195988060736808,1.1611280330852163
CHN,2019-2020,2019,2020,1.0,1.0814723910273445,1.0814723910273445
GBR,2019-2020,2019,2020,0.9999999999999998,0.9487914777687653,0.948791477768765
DEU,2019-2020,2019,2020,0.7887099655577892,1.1070789974048,0.8731642379128917
FRA,2019-2020,2019,2020,0.8596088523750113,1.091279077806525,0.9380731556941276
CAN,2019-2020,2019,2020,0.8566181906479325,1.0670281775116006,0.9140357467903483
JPN,2019-2020,2019,2020,0.7481696998970622,1.0331973524820228,0.7730069531409142
KOR,2019-2020,2019,2020,0.88022226398396,1.1017569192803929,0.9697909698489805
ARE,2019-2020,2019,2020,1.1396427031078034,1.0537183501138412,1.2008624288380327
IND,2019-2020,2019,2020,1.0,0.8691621617485545,0.8691621617485545
USA,2020-2021,2020,2021,1.3061267927132147,1.2657284293571698,1.6532018138822149
CHN,2020-2021,2020,2021,1.0,1.2243346449006687,1.2243346449006687
