Country,DEMATEL_Rank,DEMATEL_Score,Equal_Rank,Equal_Score,Entropy_Rank,Entropy_Score,Country_CN,Spearman_DEMATEL_Equal,Spearman_DEMATEL_Entropy,Spearman_Equal_Entropy
USA,1,0.8493101091533624,1,0.841367683527371,1,0.9083821800642679,United States,0.8666666666666665,0.9636363636363635,0.9030303030303028
CHN,2,0.602324711015752,2,0.6419041445015151,2,0.5746186716569391,China,0.8666666666666665,0.9636363636363635,0.9030303030303028
DEU,3,0.4169485112437829,3,0.4901953490222058,3,0.3666699873602992,Germany,0.8666666666666665,0.9636363636363635,0.9030303030303028
KOR,4,0.4024353508839844,4,0.47479438070678115,5,0.3000563463664088,South Korea,0.8666666666666665,0.9636363636363635,0.9030303030303028
IND,5,0.3864703187029914,9,0.3733781186867075,6,0.29235167226864,India,0.8666666666666665,0.9636363636363635,0.9030303030303028
GBR,6,0.3819682352248366,5,0.4349344372100973,4,0.3243254331029824,United Kingdom,0.8666666666666665,0.9636363636363635,0.9030303030303028
JPN,7,0.35295363116974604,7,0.41482464389200885,7,0.2854012154098737,Japan,0.8666666666666665,0.9636363636363635,0.9030303030303028
FRA,8,0.3438252797425598,6,0.41825185672067494,8,0.2613893985352604,France,0.8666666666666665,0.9636363636363635,0.9030303030303028
CAN,9,0.3058700102722211,8,0.3785640618896425,9,0.22846087990516994,Canada,0.8666666666666665,0.9636363636363635,0.9030303030303028
ARE,10,0.14358109460352073,10,0.2409524946580898,10,0.1227274193293084,UAE,0.8666666666666665,0.9636363636363635,0.9030303030303028
