Country,Year,Population_Million,GDP_Billion_USD,PPP_Factor,AI_Publications,AI_High_Impact_Publications,AI_High_Impact_Ratio,AI_VC_Investment,AI_VC_Investment_Constant2020,GenAI_VC_Investment,GenAI_VC_Investment_Constant2020,AI_Compute_VC_Investment,AI_Compute_VC_Investment_Constant2020,GitHub_AI_Projects,GitHub_High_Impact_Projects,Electricity_Production_TWh,AI_Publications_log,AI_High_Impact_Publications_log,AI_VC_Investment_log,AI_VC_Investment_Constant2020_log,GenAI_VC_Investment_log,GenAI_VC_Investment_Constant2020_log,AI_Compute_VC_Investment_log,AI_Compute_VC_Investment_Constant2020_log,GitHub_AI_Projects_log,GitHub_High_Impact_Projects_log,Electricity_Production_TWh_log,AI_VC_Investment_Constant2020_lag1,AI_VC_Investment_Constant2020_lag2,AI_VC_Investment_Constant2020_lag3,GenAI_VC_Investment_Constant2020_lag1,GenAI_VC_Investment_Constant2020_lag2,GenAI_VC_Investment_Constant2020_lag3,Electricity_Production_TWh_lag1,Electricity_Production_TWh_lag2,Electricity_Production_TWh_lag3,AI_Publications_YoY_Growth,AI_VC_Investment_Constant2020_YoY_Growth,GitHub_AI_Projects_YoY_Growth,AI_Publications_PerCapita,AI_VC_Investment_Constant2020_PerCapita,GitHub_AI_Projects_PerCapita,AI_VC_Investment_Constant2020_PPP,GenAI_VC_Investment_Constant2020_PPP,researchers_per_million,tertiary_gross_enrollment_pct,stem_graduates_pct,AI_Talent_Index,rd_expenditure_pct_gdp,patent_applications_resident,high_tech_exports_usd,fixed_broadband_per_100,secure_internet_servers_per_million,Innovation_Foundation_Index,Rmax_Total,Rmax_Share,Chip_Index,Top_AI_Depts,CS_Score,Industry_VC_Total,Industry_Count,AI_Researchers_Per_Million,Crossborder_VC_Total,Crossborder_AI_Compute,Crossborder_GenAI,A1_Hardware_Compute,A2_Energy_IDC,A3_Connectivity,B1_Talent_Stock,B3_STEM_Supply,C1_Research_Qty,C2_High_Impact_Res,D1_GitHub_Activity,D3_OpenSource_Impact,E1_Vertical_VC,E2_Capital_Flow,E3_Ind_Adoption,F1_Gov_RD_Exp,F2_IP_Protection,A1_Hardware_Compute_log,A2_Energy_IDC_log,B1_Talent_Stock_log,C1_Research_Qty_log,C2_High_Impact_Res_log,D1_GitHub_Activity_log,D3_OpenSource_Impact_log,E1_Vertical_VC_log,E2_Capital_Flow_log,F2_IP_Protection_log,A3_Connectivity_norm,B3_STEM_Supply_norm,E3_Ind_Adoption_norm,F1_Gov_RD_Exp_norm,TOPSIS_Score
USA,2016,331.9,25462,1.0,8523.735148458798,3761.9597401058863,0.4413510831323868,20297.234634,21887.18468033,298.968472,322.38766897333335,1035.065914,1116.1460772633334,15011.70212,983.4373179,4087.56,9.050727234039645,8.232961091653898,9.91828919740594,9.993702257901758,5.703677375800177,5.778851817081907,6.94318604434766,7.0185325669406735,9.616651929744735,6.892070227083206,8.315948108803143,,,,,,,,,,,,,25.68163648225007,65.94511804859899,45.2295936125339,21887.18468033,322.38766897333335,3809.11997,88.8350524902344,,0.5291181209891979,2.83676,295327.0,173983447240.0,32.1144,11389.9150845803,0.5911465992930367,228032809.47,0.33927780101534105,58817321979.8,126,183.66,40594.469268,22,3809.11997,14777,1030.7813969166666,267.099236,48.72124012529595,24.460854807916697,32.1144,38.54198166848151,67.86615644753081,8523.735148458798,3761.9597401058863,15011.70212,983.4373179,1438.5337462366667,36664.18468033,13.5171495797469,2.83676,295327.0,3.906432208513598,3.237142167110687,3.6773629345564434,9.050727234039643,8.232961091653898,9.616651929744735,6.892070227083206,7.272074552803961,10.50958293748044,12.595841882065303,0.6249278391467437,0.7520247915357681,0.250968813873056,0.4535042885943693,0.6422678970570252
CHN,2016,1411.8,17963,0.237,8291.047950930752,2403.753497264694,0.2899215529195979,19325.2535635,20839.06509264083,0.0,0.0,1281.5671355,1381.9565611141666,2779.604994,264.2924566,6133.16,9.0230522563333,7.785202681346957,9.869219738803308,9.94463261930968,0.0,0.0,7.15661892304327,7.231978921998787,7.930423806749078,5.580832827267914,8.721628428455304,,,,,,,,,,,,,5.872678814938909,14.760635424734971,1.9688376498087548,87928.54469468705,0.0,1208.86205,49.309077375597,,0.2177897890493475,2.10033,1204981.0,594754428555.0,22.9761,47.5965383811672,0.2731725108474128,223571135.68,0.3326395156044071,148870374408.69998,38,58.58,38650.507127,22,1208.86205,16089,1148.62519725,0.0,56.67072953845183,34.281985575278604,22.9761,12.231680634312752,21.943363243656982,8291.047950930752,2403.753497264694,2779.604994,264.2924566,1381.9565611141666,36928.06509264083,30.79546869951953,2.10033,1204981.0,4.054749757771893,3.5633725100333224,2.5826140021309882,9.0230522563333,7.7852026813469575,7.930423806749078,5.580832827267914,7.231978921998787,10.516754191865203,14.001975187035987,0.44248664064283516,0.22760226674256004,0.5591497473341888,0.30495315814369384,0.6371174397617063
GBR,2016,67.5,3070,0.69,2294.2267676355173,998.4261778957372,0.435190710866275,970.9711965,1047.0306068925,5.853453999999999,6.311974563333333,14.818711,15.979510028333335,2673.349406,218.6147601,339.18,7.738586927040556,6.907181292178962,6.879326170790914,6.954668069504624,1.924752758767744,1.989513355389416,2.761193479879574,2.832007324656107,7.891461417038819,5.391874920946773,5.829474889285946,,,,,,,,,,,,,33.98854470571137,15.511564546555558,39.60517638518518,1517.4356621630438,9.147789222222222,4434.65942,58.110481262207,,0.4791181786070687,2.32052,13876.0,73847891849.0,38.6589,8697.02928041215,0.5125299026542001,27602596.0,0.041068423859536324,4915746787.9,36,45.9,1941.942393,15,4434.65942,1251,31.298035666666667,18.088511666666665,5.682410097359438,2.616113941627268,38.6589,44.8714042660092,22.024564332796224,2294.2267676355173,998.4261778957372,2673.349406,218.6147601,22.291484591666666,2298.0306068925,3.359539953646119,2.32052,13876.0,1.8994787154962842,1.2853999524392588,3.8258419221803583,7.738586927040556,6.907181292178962,7.891461417038819,5.391874920946773,3.148087825603075,7.740242837807447,9.53798807237101,0.7555852287716003,0.2285295552895199,0.06979484697234976,0.34936942773338225,0.41378334247308335
DEU,2016,83.2,4072,0.75,2516.796321540846,901.5100091003118,0.3581974438632304,312.9451555,337.4591926808333,14.0,15.096666666666668,2.0,2.1566666666666667,2024.56201,187.7235845,641.52,7.831139322349618,6.805179780561396,5.749218306639979,5.824403531705078,2.70805020110221,2.778612211217341,1.0986122886681098,1.1495166185298773,7.613602476837173,5.240283428666391,6.465397944689565,,,,,,,,,,,,,30.24995578775055,4.055999912029247,24.33367800480769,449.9455902411111,20.12888888888889,4839.84645,67.9464111328125,,0.4914704276782523,2.94039,48480.0,205114885619.0,38.4991,11624.9602042748,0.5538384070632062,36501434.8,0.054308529380628884,24550030826.793198,42,49.92,625.890311,11,4839.84645,312,26.841480666666666,9.666666666666666,9.276251265356716,4.822438758475036,38.4991,48.971225538523875,26.668118121278567,2516.796321540846,901.5100091003118,2024.56201,187.7235845,17.253333333333334,649.4591926808333,8.640142420908196,2.94039,48480.0,2.3298355306182907,1.7617192046403285,3.911447350541138,7.831139322349618,6.805179780561396,7.613602476837173,5.240283428666391,2.9043477117521386,6.477678563749351,10.788927247593167,0.7523949085237505,0.2815573445826929,0.16398114983647943,0.4744083170133684,0.43170821756574396
FRA,2016,67.6,2782,0.73,2043.7950841324669,471.9266457154992,0.2309070265309003,239.8787755,258.66927958083335,1.029643,1.1102983683333334,23.645301,25.497516245,1171.403229,92.44745565,558.84,7.623052860098003,6.1589402934114,5.484293800716519,5.559408819722615,0.7078599155191836,0.746829344284026,3.2045862535134737,3.2770510019957904,7.066810963012405,4.537399306671631,6.327651028619378,,,,,,,,,,,,,30.23365509071697,3.8264686328525648,17.328450133136098,354.3414788778539,1.5209566689497718,4392.04699,64.7276763916016,,0.3912279880066172,2.22238,14206.0,108836528649.0,42.5278,6688.01787132278,0.4819754118446174,25398803.0,0.03778951831664176,8849857331.9,6,6.96,479.75755100000003,17,4392.04699,366,10.706159333333332,4.468879,5.651060886852717,3.5410508309130124,42.5278,44.440237091217,14.725516474761143,2043.7950841324669,471.9266457154992,1171.403229,92.44745565,26.607814613333332,624.6692795808333,4.595282040758615,2.22238,14206.0,1.8947763738014607,1.5131584458239224,3.8163979920757143,7.623052860098003,6.1589402934113995,7.066810963012405,4.537399306671631,3.31809887081131,6.438821924117724,9.561490079872078,0.8328257169249516,0.145176935833125,0.09183588853916098,0.32957283071475274,0.3775432272112244
CAN,2016,38.9,2139,0.84,1145.1861678906378,456.3650820447103,0.3985073299351027,762.557715,822.2914026750001,32.649321,35.206851145,10.36,11.171533333333333,2127.645563,121.6779808,667.1300000000001,7.044195334247436,6.12548193858873,6.637988714467062,6.713310211731941,3.51599287758106,3.5892483590738324,2.430098413293005,2.499099891941663,7.663241170526781,4.809562880030064,6.504482765380868,,,,,,,,,,,,,29.43923310772848,21.138596469794347,54.69525868894602,978.9183365178573,41.91291802976191,4400.49278,69.2459411621094,,0.4315183667201802,1.72903,4078.0,26203266317.0,36.8233,10221.068747765,0.5053961555902784,715551.0,0.0010646299993346668,2209823281.5759997,24,29.76,1525.11543,17,4400.49278,389,26.241666666666667,18.1896605,1.0,4.738540661045839,36.8233,44.525694489755125,22.102927913875288,1145.1861678906378,456.3650820447103,2127.645563,121.6779808,46.37838447833333,1211.291402675,1.304638832730058,1.72903,4078.0,0.6931471805599453,1.7472049377710308,3.8182768806264757,7.044195334247436,6.12548193858873,7.663241170526781,4.809562880030064,3.858166101026764,7.100267568980299,8.313607139317558,0.7189384712812821,0.22942444046906194,0.03314305571740429,0.23005529312415932,0.3521835909164105
JPN,2016,125.1,4231,0.98,2748.3345425414545,455.3874248070021,0.1656957760265582,332.398028,358.4358735266667,4.344574,4.6848989633333336,4.169657,4.4962801316666665,1380.933606,93.99084642,1063.7,7.919114176847256,6.123342064600008,5.809337055482165,5.88453578441186,1.676081840645925,1.7378133545438337,1.642806342025454,1.704071523720583,7.231238961205401,4.553780533484562,6.97044834832056,,,,,,,,,,,,,21.96910105948405,2.865194832347456,11.03863793764988,365.7508913537415,4.780509146258503,5232.70894,63.1872291564941,,0.3580776220577059,3.10666,260244.0,99260695081.0,31.3036,2108.1872265416,0.5835680239322052,54486820.0,0.08106802050496485,44997467930.799995,8,10.64,664.796056,16,5232.70894,355,5.92,2.824641,14.66210881814044,5.673065263505927,31.3036,52.946342890318405,15.076899653740734,2748.3345425414545,455.3874248070021,1380.933606,93.99084642,9.181179095000001,713.4358735266667,4.223826997400669,3.10666,260244.0,2.7512443442129504,1.8980793141083094,3.9879899023873784,7.919114176847256,6.123342064600008,7.231238961205401,4.553780533484562,2.320540829071408,6.571493243204512,12.469378773996787,0.6087406573134737,0.14918961104371728,0.08521051247061179,0.5079479561644539,0.4204131684679631
KOR,2016,51.7,1665,0.78,918.959128977855,272.8519850596785,0.2969141678402692,192.0928965,207.1401733925,1.718965,1.8536172583333332,16.00172,17.255188066666665,653.2904977,44.9767773,560.98,6.824329244032195,5.612587759915083,5.263171402118776,5.338211763266443,1.0002512931879326,1.0485874029603388,2.8333145154088104,2.904449317254844,6.483551438921389,3.828136427709471,6.33146626207184,,,,,,,,,,,,,17.774838084678045,4.006579756141199,12.636179839458412,265.5643248621795,2.3764323824786326,7057.16003,93.6577224731445,,0.6401302920765215,3.98704,163424.0,135906055229.0,40.0712,720.999297841807,0.7669614290728444,,0.0,57740917330.2,7,9.76,384.185793,16,7057.16003,189,17.25172,2.618965,5.636316444093819,2.575132206101541,40.0712,71.40676446265893,26.12487501630513,918.959128977855,272.8519850596785,653.2904977,44.9767773,19.108805325,396.1401733925,5.711408833143797,3.98704,163424.0,1.892557057160791,1.2740021561899046,4.282299726831873,6.824329244032195,5.612587759915083,6.483551438921389,3.8281364277094707,3.001157795008457,5.984289299961753,12.00410944848093,0.7837810315628271,0.2753536949174404,0.11174343824662185,0.6855363817122531,0.3768069954306498
ARE,2016,9.4,507,0.43,76.98181853443384,38.533333510160446,0.500551094320077,18.0,19.41,,,,,81.52124208,4.662811563,129.61,4.356475703806177,3.677144202368377,2.9444389791664403,3.016024976821753,,,,,4.413055739955987,1.733920511458844,4.8722157835894295,,,,,,,,,,,,,8.189555163237642,2.0648936170212764,8.672472561702127,45.13953488372093,,2509.55341,,,0.137784002429603,0.9318,57.0,484214896.0,14.3683,983.425470014588,0.3812699500983761,,0.0,370218624.6727,3,4.68,36.0,3,2509.55341,63,20.0,0.0,1.0,0.15502031536265368,14.3683,25.3925217073946,8.708454221457417,76.98181853443384,38.533333510160446,81.52124208,4.662811563,0.0,261.0576421043409,0.007111767700185467,0.9318,57.0,0.6931471805599453,0.1441179328776458,3.27308070136483,4.356475703806177,3.6771442023683765,4.413055739955987,1.733920511458844,0.0,5.568564487594714,4.060443010546419,0.27063658664133133,0.07646415164539687,0.01,0.0692397129207563,0.16247045821753034
IND,2016,1428.6,3385,0.145,4589.274680775332,1168.0401537910104,0.2545151979427121,405.113905,436.8478275583333,0.877559,0.9463011216666668,2.754017,2.969748331666667,3570.077522,131.6596596,1394.9299999999998,8.431695144570224,7.063938309719638,6.006633674440958,6.0818714243442615,0.6299725289293825,0.6659307105734075,1.3228264666569938,1.37870270016242,8.180622656123868,4.88778689813603,7.241316138798626,,,,,,,,,,,,,3.212428027982173,0.3057873635435625,2.4990042853142937,3012.7436383333334,6.526214632183908,,27.0875990028504,,0.135897856816515,0.66984,13199.0,14266747536.0,1.38795,37.7418916475687,0.0021541029170958,3092368.0,0.004600968682571256,2572838348.7999997,13,15.280000000000001,810.22781,18,,232,100.0,0.0,1.0,7.224998204817612,1.38795,1.0,2.888300915330775,4589.274680775332,1168.0401537910104,3570.077522,131.6596596,3.9160494533333337,668.8478275583333,0.6954662381912731,0.66984,13199.0,0.6931471805599453,2.1071780783921548,0.6931471805599453,8.431695144570224,7.063938309719638,8.180622656123868,4.88778689813603,1.592505251322298,6.507050563541402,9.487972108574462,0.011490945657756026,0.01,0.022277682904080928,0.0163976856637747,0.327550749771033
USA,2017,331.9,25462,1.0,9972.448674382946,4461.444988830612,0.4473770820491756,30720.361849,32437.49345785884,596.584945,629.9313903141574,2157.761452,2278.3707212468385,28151.85933,1818.91055,4052.31,9.207681708298244,8.403452098578995,10.332713517301151,10.387101066271123,6.3928964410648605,6.447197124956212,7.677289934368647,7.731654684400487,10.245404203187444,7.5065426305113725,8.307289110256532,21887.18468033,,,322.38766897333335,,,4087.56,,,16.996228774026314,48.20313316499949,87.53276014245878,30.04654617168709,97.73273111738123,84.82030530280205,32437.49345785884,629.9313903141574,3931.60035,88.1673889160156,,0.5586897341889664,2.88357,293904.0,154602417969.0,32.5703,30199.9571603454,0.5995456249388449,249829.54269,0.295614106283639,65935889994.59999,130,190.9,61440.723698,22,3931.60035,26341,1633.4463351666668,545.431605,43.884776511710214,27.342995660411496,32.5703,39.781280141065096,69.4313201667395,9972.448674382946,4461.444988830612,28151.85933,1818.91055,2908.302111560996,58778.49345785884,15.92948542242285,2.88357,293904.0,3.8040986840653708,3.344379932995616,3.7082231560480454,9.207681708298244,8.403452098578995,10.245404203187443,7.5065426305113725,7.9756685071972715,10.981548322342357,12.591011864851613,0.6340296351479617,0.7698984236055374,0.2939959108183175,0.46294670459642817,0.6725059063224459
