Dimension,Target_Country,Source_Country,Alpha_Value
A_Compute,USA,CHN,-0.03
A_Compute,USA,KOR,0.05
A_Compute,CHN,USA,-0.08
A_Compute,CHN,KOR,0.03
A_Compute,KOR,JPN,-0.02
A_Compute,JPN,KOR,-0.02
B_Talent,USA,IND,0.08
B_Talent,CHN,USA,0.03
B_Talent,GBR,IND,0.05
E_Capital,USA,ARE,0.1
E_Capital,CHN,ARE,0.1
E_Capital,GBR,USA,0.05
E_Capital,GBR,ARE,0.1
E_Capital,DEU,ARE,0.1
E_Capital,KOR,ARE,0.1
E_Capital,JPN,ARE,0.1
E_Capital,FRA,ARE,0.1
E_Capital,CAN,USA,0.08
E_Capital,CAN,ARE,0.1
E_Capital,ARE,CHN,0.05
E_Capital,IND,USA,0.06
E_Capital,IND,ARE,0.1
