Country,Country_EN,Score_2024,Score_2025,Rank_2024,Rank_2025,Rank_Change
ARE,UAE,0.1319114069254149,0.1270042111508882,10,10,0
CAN,Canada,0.24301942640440574,0.21661617161474744,8,8,0
CHN,China,0.7528677830571443,0.5875755171610951,2,2,0
DEU,Germany,0.38991272695333795,0.38442251756421325,4,3,-1
FRA,France,0.3139819264065987,0.2716685613322024,6,7,1
GBR,United Kingdom,0.27835208441489157,0.2873086028625521,7,6,-1
IND,India,0.22703524231483171,0.19561925104823924,9,9,0
JPN,Japan,0.36731469090183766,0.32884580679934355,5,5,0
KOR,South Korea,0.46813963734118125,0.376173988254206,3,4,1
USA,United States,0.8751270591095625,0.8815848942309442,1,1,0
