Parameter,Country,S1,ST
r (growth rate),USA,0.005193872455844331,0.006492340569805413
r (growth rate),CHN,0.004200735549218315,0.005250919436522893
r (growth rate),GBR,0.018416187156953548,0.023020233946191935
r (growth rate),DEU,0.01871628617640712,0.0233953577205089
r (growth rate),KOR,0.02248206564744132,0.028102582059301648
r (growth rate),JPN,0.025213942910456016,0.03151742863807002
r (growth rate),FRA,0.02689388025138786,0.03361735031423482
r (growth rate),CAN,0.028399207184051485,0.035499008980064355
r (growth rate),ARE,0.022693801326605187,0.028367251658256484
r (growth rate),IND,0.008945612519017791,0.011182015648772239
K (carrying capacity),USA,0.18641264637876973,0.23301580797346216
K (carrying capacity),CHN,0.18922704606897556,0.23653380758621945
K (carrying capacity),GBR,0.16804751010405944,0.2100593876300743
K (carrying capacity),DEU,0.16705960882830603,0.20882451103538255
K (carrying capacity),KOR,0.16161763814071428,0.20202204767589285
K (carrying capacity),JPN,0.15725031741165124,0.19656289676456407
K (carrying capacity),FRA,0.15504175972146578,0.1938021996518322
K (carrying capacity),CAN,0.152019915585822,0.1900248944822775
K (carrying capacity),ARE,0.15633061029226694,0.19541326286533367
K (carrying capacity),IND,0.18239830853153657,0.22799788566442072
α (competition),USA,0.19918469741784858,0.24898087177231074
α (competition),CHN,0.2075780192115913,0.2594725240144891
α (competition),GBR,0.17893267720286526,0.22366584650358157
α (competition),DEU,0.176569826560608,0.22071228320075997
α (competition),KOR,0.17329789612322252,0.21662237015402816
α (competition),JPN,0.16529041777832637,0.20661302222290795
α (competition),FRA,0.16444791625960128,0.2055598953245016
α (competition),CAN,0.16254717297163004,0.20318396621453755
α (competition),ARE,0.17133532755960287,0.2141691594495036
α (competition),IND,0.1974265642813404,0.2467832053516755
δ (governance),USA,0.02914563792159412,0.03643204740199265
δ (governance),CHN,0.02230545206034757,0.02788181507543446
δ (governance),GBR,0.1238720887623822,0.15484011095297776
δ (governance),DEU,0.12378776464451345,0.1547347058056418
δ (governance),KOR,0.15411933661152655,0.19264917076440818
δ (governance),JPN,0.16882497289016468,0.21103121611270587
δ (governance),FRA,0.1831113215977455,0.2288891519971819
δ (governance),CAN,0.19692137137017224,0.2461517142127153
δ (governance),ARE,0.1630072971532388,0.2037591214415485
δ (governance),IND,0.05933524428130523,0.07416905535163154
η (energy),USA,0.5567492115395234,0.6959365144244043
η (energy),CHN,0.5406463105918099,0.6758078882397623
η (energy),GBR,0.4959835022307142,0.6199793777883927
η (energy),DEU,0.5000977246003446,0.6251221557504307
η (energy),KOR,0.46890049095087755,0.586125613688597
η (energy),JPN,0.4720346823923045,0.5900433529903806
η (energy),FRA,0.45717634358690684,0.5714704294836336
η (energy),CAN,0.44036099716703925,0.5504512464587991
η (energy),ARE,0.43114678131739875,0.5389334766467484
η (energy),IND,0.5278880540767588,0.6598600675959485
