Year,Infrastructure,Talent,Research,OpenSource,Industry,Governance
2026,250.00000048879897,250.0000005136363,250.0000004856488,250.0000004856488,250.00000054646836,250.00000048796448
2027,249.9999998567665,249.9999998793588,249.99999985192005,249.99999985192005,249.99999991398084,249.99999985425913
2028,249.9999998593761,249.99999987882077,249.99999985192005,249.99999985192005,249.99999991524737,249.99999985428278
2029,249.99999986339088,249.99999987829332,249.99999985192005,249.99999985192005,249.99999991653976,249.99999985430662
2030,249.9999998695675,249.9999998777762,249.99999985192005,249.99999985192005,249.99999991785853,249.99999985433075
2031,249.99999987906995,249.9999998772692,249.99999985192005,249.99999985192005,249.99999991920424,249.99999985435508
2032,249.99999989368914,249.99999985192005,249.99999985192005,249.99999985192005,249.99999992057738,249.9999998543797
2033,249.99999991618014,249.99999985192005,249.99999985192005,249.99999985192005,249.99999992197854,249.99999985440454
2034,249.99999995078176,249.99999985192005,249.99999985192005,249.99999985192005,249.9999999234083,249.99999985442963
2035,250.00000063774368,250.0000004856488,250.0000004856488,250.0000004856488,250.00000055859599,250.0000004881837
