Year,Infrastructure,Talent,Research,OpenSource,Industry,Governance
2026,73.66588849330508,103.16068770885555,163.07050415625184,139.2306739960954,87.30885592258802,33.948240552515394
2027,73.58773936806014,103.08209229492273,162.99341860108612,139.15218314252917,87.23058452323545,33.86975281643578
2028,73.58266853793559,103.07642921998276,162.98944321217633,139.14663017901844,87.22527022340066,33.86420322010314
2029,73.5829980854812,103.07598146173319,162.99077148490548,139.14629194323362,87.22517636621174,33.86386839861928
2030,73.5839326679408,103.07584467250601,162.992509856413,139.1462758161119,87.22540964283371,33.86385572090653
2031,73.585318991267,103.0755224630137,162.99435670729534,139.1462758161121,87.22566413765358,33.86385920518105
2032,73.58739266949398,103.07237845061249,162.99631687129192,139.14629194323348,87.22593995096427,33.863878851746136
2033,73.59082003576658,103.07249350392492,162.99870102057196,139.1466301790181,87.22654311413655,33.86422064184606
2034,73.60100983066262,103.07803289316298,163.0063982572154,139.1521831425288,87.23236522327872,33.869777181236714
2035,73.68587516159867,103.15652310006543,163.08699125575683,139.23067399609508,87.3111117116293,33.948271408246235
